Id;CourseId;Title;Description;SortOrder;IsVisible;DueDate;TargetSquadronId;CreatedById;CreatedAt;UpdatedAt;ActivityType;AdditionalFileUrls;AiPromptUsed;AiSummary;ContentType;DifficultyLevel;FileUrl;GradingMode;Instructions;MaxGrade;PassingScore;QuizScope;SourceLectureIds;ThumbnailUrl;TotalMarks;Transcript;AllowLateSubmission;TranscriptGeneratedAt;SummaryGeneratedAt;TimeLimitMinutes;MaxAttempts;ShuffleQuestions;ShowCorrectAnswers;ShowExplanations;IsAiGenerated;EstimatedCompletionMinutes;SummaryStatus;AssignmentFileUrls
1415;133;Indexing & Performance;;1;1;2024-08-17 04:24:06;;6;2024-07-28 04:24:06;2024-10-08 04:24:06;Assignment;;;;;;;Manual;;10.0;5.6;;;;;Auto-generated transcript...;;;2024-07-30 04:24:06;;;;;;0;60.0;Pending;/uploads/assignments/ee16b1b3-a98f-42bd-adf9-58ad76a4d36d.pdf
664;66;Sorting Algorithms;Description for Sorting Algorithms;4;0;2022-07-06 03:46:47;;7;2022-06-09 03:46:47;2022-08-24 03:46:47;Quiz;/uploads/extra/8fdabe9a-0bc3-4b0c-9fc9-b08b72e0c5fd.pdf;;AI summary for Sorting Algorithms;;Hard;;;;20.0;10.6;FullCourse;;/uploads/thumbnails/0c0e476c-1f1d-41cc-a7e1-a3888dfa3dac.jpg;20.0;;;;;45.0;2.0;1.0;0.0;0.0;0;10.0;Done;
834;81;OOP Concepts;Description for OOP Concepts;33;1;2022-05-13 01:08:04;;8;2022-04-12 01:08:04;2022-06-17 01:08:04;Lecture;;;AI summary for OOP Concepts;Pdf;;/uploads/lectures/81/15ad6976-a7cd-481d-9f8b-c455433757c6.pdf;;;;;;;;;Auto-generated transcript...;;;2022-04-14 01:08:04;;;;;;0;15.0;Done;
299;29;Encryption Methods;Description for Encryption Methods;30;1;2026-02-21 02:23:25;;1;2026-01-02 02:23:25;2026-03-29 02:23:25;Quiz;;;AI summary for Encryption Methods;;;;;;20.0;9.0;;;/uploads/thumbnails/01ccd445-18ed-45f2-942c-4a89403a7bf1.jpg;20.0;;;;;20.0;3.0;1.0;0.0;0.0;1;15.0;;
1524;144;Database Normalization;Description for Database Normalization;13;1;2023-03-25 15:03:06;30.0;12;2023-02-18 15:03:06;2023-03-24 15:03:06;Lecture;;;AI summary for Database Normalization;Pdf;;/uploads/lectures/144/47053310-4f08-4cc1-9944-d3a131ad525a.pdf;;;;;;;;;;;2023-02-19 15:03:06;;;;;;;0;;Failed;
1885;175;Big Data Overview;Description for Big Data Overview;19;0;;;11;2025-08-06 08:59:40;2025-10-27 08:59:40;Quiz;/uploads/extra/1a4de4f8-0a01-4c64-b6cc-6bb8f372120e.pdf;;AI summary for Big Data Overview;;;;;Please complete the quiz carefully.;100.0;53.9;SingleLecture;;;100.0;;;;2025-08-08 08:59:40;60.0;2.0;0.0;0.0;1.0;1;30.0;Failed;
938;90;Data Structures Overview;Description for Data Structures Overview;4;0;;;6;2025-09-10 22:01:43;2025-10-24 22:01:43;Assignment;;;;;;;;Please complete the assignment carefully.;50.0;24.9;;;;;Auto-generated transcript...;1.0;;;;;;;;1;10.0;;
457;44;OOP Concepts;Description for OOP Concepts;4;1;2023-04-11 07:50:13;;3;2023-03-29 07:50:13;;Lecture;;;AI summary for OOP Concepts;Pdf;;/uploads/lectures/44/7ae442f8-93ec-48e8-8882-59e3c42d32e1.pdf;;;;;;;;;;;;;;;;;;0;;Failed;
509;48;OS Scheduling;Description for OS Scheduling;3;1;;;13;2023-01-14 11:01:31;2023-04-09 11:01:31;Assignment;/uploads/extra/d4073c8b-5d0b-444e-bfc9-dbd1ff077cad.pdf;;;;;;Auto;Please complete the assignment carefully.;20.0;11.3;;;;;;1.0;;;;;;;;0;60.0;Done;
665;66;OOP Concepts;Description for OOP Concepts;7;1;2022-07-10 01:37:41;;7;2022-06-25 01:37:41;;Assignment;;Summarize this lecture;;;;;Manual;Please complete the assignment carefully.;100.0;52.9;;;;;;;;;;;;;;0;45.0;;
