Id;CommentId;UserId;CreatedAt
6218;1831;133;2022-08-31 02:38:38
874;3810;1529;2023-08-14 15:53:00
5349;2916;1376;2023-05-09 16:23:09
2845;702;935;2023-06-04 20:36:01
5208;3107;310;2024-10-09 03:58:09
8581;2365;1206;2023-07-27 07:09:19
5549;2769;1873;2024-03-20 10:29:11
6029;1114;1137;2022-12-09 01:12:28
10064;778;230;2026-02-03 21:01:03
3195;1959;761;2022-08-10 19:18:46
3025;2559;1153;2025-07-22 03:44:56
6362;3266;82;2023-07-09 03:55:27
1132;1810;79;2023-03-17 22:03:07
9847;770;1441;2022-08-05 17:15:40
2331;774;510;2023-11-07 18:45:30
3947;4307;721;2022-08-15 13:34:51
6927;2054;714;2023-10-22 08:12:02
9648;1084;1541;2022-06-20 13:39:06
4559;1266;1134;2023-10-26 20:31:49
10072;2216;780;2025-01-05 13:38:47
4165;2586;1143;2025-11-05 03:36:30
9362;3612;1431;2023-12-06 19:03:59
5914;2308;1137;2025-08-20 18:24:03
2518;1020;780;2022-08-10 19:47:16
6081;1027;1285;2025-04-16 07:40:24
4885;2690;764;2023-03-25 02:13:00
3693;4181;861;2023-04-20 14:11:37
8654;1276;797;2024-08-01 17:38:06
6272;224;1004;2022-12-08 01:42:18
10566;1005;1907;2023-08-06 03:27:40
1006;2642;1015;2025-03-03 06:23:17
6505;3568;1337;2023-08-01 15:21:00
10850;4272;671;2022-09-24 16:49:17
2213;886;138;2023-03-01 05:39:36
9207;363;1763;2022-09-05 05:06:50
6950;1767;1423;2026-01-30 05:45:18
3817;2571;773;2025-06-05 12:50:48
10360;4023;471;2025-05-16 14:39:32
10502;215;1407;2024-11-22 00:51:36
382;3154;874;2025-11-15 17:14:26
2691;1423;1114;2023-11-08 19:45:24
1990;1847;521;2025-05-30 17:22:27
8768;1134;1988;2023-09-03 08:23:11
6786;3268;466;2024-01-05 03:46:14
1956;2118;190;2023-08-06 18:43:27
9432;2132;1112;2025-12-13 18:37:43
8035;3581;1973;2025-10-23 02:09:27
441;914;317;2024-04-10 07:09:39
872;3810;387;2023-05-17 05:10:18
4096;1597;773;2023-02-27 06:30:31
1431;2241;1691;2022-09-28 05:37:30
7429;4384;618;2025-09-16 15:54:11
3939;3123;1100;2024-12-10 18:33:45
8989;87;1752;2024-09-18 15:27:31
4590;339;1093;2023-03-09 08:04:02
8001;1177;259;2023-03-09 07:41:19
4263;1795;1414;2024-08-30 01:22:43
5735;3103;825;2023-02-20 19:55:31
8427;4408;1274;2025-10-05 15:06:32
6794;1869;509;2023-08-18 07:35:23
567;2895;1334;2023-07-19 19:50:13
9042;1958;156;2025-05-12 04:47:43
6128;715;441;2026-01-07 08:54:20
1910;1475;1675;2025-04-18 20:38:26
10679;2154;684;2025-12-19 15:53:30
2938;4202;849;2024-03-12 18:54:54
6137;4292;977;2023-04-24 16:32:14
475;1858;302;2025-08-21 13:30:58
3156;3062;124;2025-06-22 12:44:31
3425;3331;1693;2025-05-10 19:08:03
500;422;1232;2022-06-09 07:03:21
2602;4166;679;2025-03-23 13:11:35
10493;1385;515;2023-07-31 02:37:57
8918;979;1477;2024-12-28 17:53:33
594;1111;305;2025-05-17 23:20:20
