Id,StudentProfileId,CourseId,EnrolledById,EnrollmentDate
9561,2163.0,141,2.0,2025-01-11 01:29:07
1867,4722.0,178,2.0,2024-11-28 03:23:11
1925,2543.0,56,2.0,2023-08-28 03:21:27
4156,3264.0,181,3.0,2024-01-23 12:19:10
8057,184.0,187,2.0,2023-09-27 04:52:45
1091,4793.0,180,3.0,2025-12-30 22:49:27
853,1122.0,169,3.0,2022-09-19 00:39:25
726,32.0,121,3.0,2025-06-21 02:19:57
8234,3544.0,140,,2022-11-12 16:24:50
8123,4796.0,154,2.0,2025-02-04 06:37:05
9691,1116.0,107,3.0,2025-08-15 11:16:32
2290,2714.0,137,2.0,2026-01-14 02:12:17
9116,2147.0,37,1.0,2023-07-24 05:03:32
3798,694.0,89,,2023-08-20 06:39:08
2942,3910.0,43,1.0,2025-09-12 02:42:40
9163,3997.0,24,,2025-07-30 08:32:01
1431,747.0,79,2.0,2025-02-22 08:28:34
3138,3700.0,188,2.0,2024-06-28 10:39:26
7973,2150.0,136,3.0,2026-03-12 23:43:00
411,2292.0,145,1.0,2023-05-09 18:17:38
1371,3405.0,62,2.0,2025-12-30 02:09:46
2777,3237.0,26,2.0,2022-07-28 00:55:05
2734,4728.0,94,2.0,2022-09-02 22:01:42
3800,4318.0,48,2.0,2023-05-06 23:34:29
3888,1355.0,26,2.0,2022-06-08 12:57:14
921,2284.0,62,2.0,2026-01-30 06:31:01
6790,2365.0,53,1.0,2025-12-24 15:21:35
619,2685.0,101,2.0,2025-08-28 00:52:05
10006,3436.0,62,3.0,2025-05-15 13:15:52
251,3064.0,16,1.0,2025-06-20 08:02:33
8052,4108.0,56,3.0,2024-02-14 05:13:57
4171,2519.0,119,3.0,2024-11-13 21:22:08
6560,4420.0,164,2.0,2025-07-25 13:47:43
982,4529.0,1,3.0,2024-11-12 04:33:14
7317,1176.0,108,3.0,2025-08-02 05:40:38
9221,4666.0,84,3.0,2024-03-08 23:53:34
7228,771.0,18,2.0,2024-12-25 09:01:04
7472,2212.0,73,1.0,2024-03-23 11:58:37
1866,55.0,109,1.0,2025-10-05 13:05:35
8899,2823.0,78,1.0,2023-06-22 04:30:42
5660,1301.0,160,3.0,2025-10-20 21:49:47
8448,2522.0,126,1.0,2025-09-10 23:05:48
8805,3952.0,157,3.0,2023-01-29 17:58:40
4070,705.0,56,3.0,2023-08-05 19:49:39
6779,1522.0,62,2.0,2025-07-05 01:13:14
4659,3864.0,118,2.0,2023-09-17 04:25:45
5588,3194.0,7,2.0,2023-11-12 20:23:05
1367,4700.0,31,,2023-12-16 05:55:28
8613,793.0,110,1.0,2025-02-08 03:42:47
8355,1144.0,3,1.0,2024-02-23 07:57:50
4062,3760.0,126,1.0,2025-06-04 22:44:44
6262,3527.0,124,2.0,2023-10-20 16:09:00
8627,3821.0,18,2.0,2024-10-04 11:09:42
5929,2573.0,86,3.0,2025-07-29 14:44:56
9740,3025.0,24,1.0,2025-09-01 13:16:46
4330,2760.0,48,2.0,2023-10-19 09:35:50
7130,375.0,151,1.0,2024-11-27 01:46:57
373,1813.0,171,3.0,2022-04-26 07:57:54
8516,1719.0,54,2.0,2025-01-05 07:22:16
4198,4139.0,141,1.0,2024-11-28 17:39:13
2680,803.0,23,2.0,2024-08-12 01:56:02
9322,1212.0,92,2.0,2023-12-28 16:21:19
255,4171.0,156,1.0,2024-01-08 08:07:02
8329,1606.0,166,3.0,2024-03-27 21:14:34
296,1641.0,2,3.0,2025-12-24 19:12:50
3767,3201.0,198,2.0,2025-04-23 01:42:43
7093,4593.0,78,3.0,2024-02-26 02:09:25
9960,2891.0,198,1.0,2025-04-03 05:59:58
4447,4568.0,99,1.0,2025-07-11 21:07:47
3620,2087.0,162,2.0,2025-10-18 12:54:38
6331,3668.0,138,3.0,2025-09-14 01:21:04
5694,1080.0,173,3.0,2022-11-27 15:25:11
628,1771.0,109,3.0,2025-10-29 23:03:32
7246,3156.0,84,2.0,2024-04-05 14:36:17
4741,2029.0,67,,2023-03-03 02:36:31
6057,3829.0,158,3.0,2023-08-30 19:04:14
6377,4973.0,26,1.0,2023-01-23 12:12:04
998,853.0,57,3.0,2025-06-06 08:44:37
1609,611.0,25,2.0,2023-04-25 15:37:01
2430,3623.0,78,2.0,2023-08-13 12:13:15
1606,2304.0,18,2.0,2024-07-29 09:47:54
7023,404.0,41,1.0,2025-05-29 04:58:25
6231,2195.0,49,2.0,2023-12-01 21:50:52
9217,2891.0,89,2.0,2023-10-15 22:26:35
3395,4310.0,71,1.0,2025-11-05 04:33:18
2979,4361.0,18,2.0,2025-04-09 02:45:06
7753,4579.0,43,3.0,2025-08-10 22:23:03
2232,4857.0,128,1.0,2025-12-25 11:32:49
3163,3828.0,16,1.0,2024-11-15 16:24:40
8144,3496.0,35,3.0,2025-10-10 17:28:48
8706,4875.0,35,1.0,2025-10-19 05:55:24
8424,2756.0,43,2.0,2025-06-29 05:56:21
7482,4897.0,38,1.0,2023-04-14 13:23:42
20,4377.0,178,2.0,2025-01-02 16:34:47
5794,590.0,159,1.0,2026-05-07 21:18:12
3274,3689.0,31,2.0,2023-07-07 10:41:08
6549,187.0,77,2.0,2025-10-27 21:04:19
8074,4807.0,135,1.0,2024-10-10 01:27:32
43,1374.0,192,1.0,2025-05-22 19:56:49
