Id;QuizId;StudentId;AttemptNumber;StartedAt;SubmittedAt;Score;MaxScore;ScorePercent;Status;IsGraded;GradedById;GradedAt;TimeSpentSeconds
1417;888;4951;3;2023-06-30 00:54:11;2023-06-30 01:17:00;1.4;10;14.0;Completed;1;;;
10126;1150;2191;1;2023-03-01 03:53:18;2023-03-01 03:56:00;;50;;Abandoned;0;4.0;;162.0
8271;1607;2944;3;2025-07-24 10:23:32;2025-07-24 11:24:36;16.5;20;82.5;Completed;1;4.0;2025-07-25 07:24:36;3664.0
3821;1719;1255;1;2023-06-23 07:36:34;2023-06-23 07:40:34;;50;;InProgress;0;13.0;2023-06-24 07:40:34;240.0
4747;1190;1240;2;2023-08-08 03:40:13;2023-08-08 03:45:21;7.7;10;77.0;Completed;1;4.0;;308.0
7156;286;758;2;2023-07-08 02:28:46;2023-07-08 03:16:50;24.1;100;24.1;Completed;1;14.0;2023-07-09 20:16:50;2884.0
7711;1732;2041;1;2022-11-05 01:15:48;2022-11-05 01:28:52;-1.1;-5;22.0;Completed;1;6.0;2022-11-06 20:28:52;784.0
8265;2155;571;2;2022-07-02 17:24:44;2022-07-02 17:26:44;32.2;100;32.2;Completed;1;5.0;2022-07-03 14:26:44;120.0
7167;657;3835;1;2026-01-24 14:07:36;2026-01-24 14:30:18;3.3;25;13.2;Completed;0;;;1362.0
4815;999;3192;2;2023-11-24 00:24:34;2023-11-24 00:50:46;;10;;Abandoned;0;10.0;;1572.0
1571;726;1302;1;2023-09-09 08:20:19;;;20;;InProgress;0;;;348.0
57;1264;3841;1;2023-01-18 07:31:45;2023-01-18 08:08:08;;10;;Abandoned;0;;;2183.0
1605;776;2067;1;2025-08-06 05:55:50;;;100;;InProgress;0;3.0;;101.0
5479;1858;4282;2;2022-07-23 20:45:25;2022-07-23 21:01:36;28.1;50;56.2;Completed;1;;2022-07-24 05:01:36;971.0
5558;1500;2843;2;2023-09-04 19:40:07;2023-09-04 20:18:06;88.0;50;176.0;Completed;1;15.0;;2279.0
4170;535;880;3;2022-11-09 04:45:30;2022-11-09 04:59:44;;25;;InProgress;0;1.0;2022-11-09 19:59:44;854.0
9326;2056;1218;1;2023-05-10 09:05:15;;;100;;InProgress;0;12.0;;735.0
2443;893;1854;3;2025-08-18 03:27:16;2025-08-18 03:55:24;;10;;Abandoned;0;10.0;2025-08-20 00:55:24;1688.0
874;143;435;1;2023-04-10 13:32:50;;;50;;InProgress;0;9.0;;2785.0
