Id;ActivityId;StudentId;Status;ProgressPercent;FirstAccessedAt;LastAccessedAt;TotalTimeSpentSeconds;CompletedAt
12187;447;105.0;InProgress;46;2025-02-17 23:45:23;;1572.0;
25081;1375;3952.0;Completed;100;2024-01-07 13:42:32;2024-03-29 13:42:32;7027.0;2024-03-29 13:42:32
16574;177;;Completed;100;2024-03-16 17:17:01;2024-05-19 17:17:01;1607.0;2024-05-19 17:17:01
16018;1970;4892.0;InProgress;13;2022-08-08 03:53:02;2022-10-13 03:53:02;2624.0;
9266;1167;933.0;Completed;100;2023-07-15 02:18:31;2023-11-09 02:18:31;3576.0;2023-11-09 02:18:31
7985;1465;;NotStarted;0;;;;
6586;502;4473.0;Completed;100;2023-08-05 05:40:46;2023-12-02 05:40:46;1702.0;2023-12-02 05:40:46
15614;723;1885.0;Completed;100;2023-07-05 07:38:59;2023-07-17 07:38:59;5427.0;2023-07-17 07:38:59
4234;1438;3366.0;Completed;100;2023-05-04 11:36:47;2023-07-16 11:36:47;1622.0;2023-07-16 11:36:47
19426;228;1867.0;Completed;100;2025-10-14 03:33:24;2025-12-15 03:33:24;3120.0;2025-12-15 03:33:24
25589;1136;4409.0;Completed;100;2023-10-21 22:39:59;2023-10-30 22:39:59;5105.0;2023-10-30 22:39:59
16635;1831;1562.0;InProgress;86;2023-01-29 15:37:41;2023-04-09 15:37:41;3226.0;
24100;1905;4423.0;Completed;100;2022-10-30 19:14:17;2022-12-20 19:14:17;6449.0;2022-12-20 19:14:17
18062;959;2105.0;Completed;100;2024-11-17 13:59:17;2025-03-02 13:59:17;2835.0;2025-03-02 13:59:17
22194;272;4162.0;Completed;100;2022-06-09 00:38:28;2022-06-16 00:38:28;5171.0;2022-06-16 00:38:28
26644;1647;3744.0;Completed;100;2024-02-21 20:39:28;;1898.0;2024-02-22 20:39:28
18831;1980;669.0;Completed;100;2022-08-31 04:57:38;2022-10-31 04:57:38;1872.0;2022-10-31 04:57:38
1719;355;1857.0;Completed;100;2023-01-29 07:15:16;2023-03-17 07:15:16;2772.0;2023-03-17 07:15:16
1299;2106;317.0;InProgress;58;2025-11-09 17:15:31;2026-02-08 17:15:31;1048.0;
11868;1262;3680.0;InProgress;77;2024-09-07 09:12:19;2024-10-16 09:12:19;;
21785;737;585.0;InProgress;72;2025-09-16 19:49:57;2025-11-03 19:49:57;2582.0;
7628;1295;4485.0;Completed;100;2022-06-21 21:49:11;2022-09-14 21:49:11;5774.0;2022-09-14 21:49:11
21256;1029;3249.0;InProgress;24;2024-06-22 10:36:04;2024-09-16 10:36:04;186.0;
5159;865;4436.0;InProgress;72;2022-09-04 14:04:08;;3153.0;
19083;147;3888.0;InProgress;17;2025-12-16 18:57:15;2026-02-05 18:57:15;865.0;
2632;9132;1583.0;InProgress;29;2023-03-12 20:02:02;2023-07-09 20:02:02;1732.0;
8640;183;2840.0;InProgress;60;2022-07-09 17:14:04;2022-11-05 17:14:04;;
7336;281;2240.0;Completed;100;2025-06-23 13:34:47;2025-09-16 13:34:47;622.0;2025-09-16 13:34:47
25258;166;700.0;InProgress;92;2025-03-05 04:11:56;2025-04-05 04:11:56;2104.0;
10321;307;4058.0;NotStarted;0;;;;
9686;166;4737.0;InProgress;19;2024-05-31 20:02:08;2024-09-10 20:02:08;926.0;
13678;2092;233.0;NotStarted;0;;;;
25560;9514;1132.0;Completed;100;2024-05-14 07:02:21;2024-05-17 07:02:21;4471.0;2024-05-17 07:02:21
25028;1338;2444.0;NotStarted;0;;;;
18146;1335;4608.0;Completed;100;2024-11-08 11:18:08;2024-12-07 11:18:08;4526.0;2024-12-07 11:18:08
8719;306;4579.0;Completed;53;2025-09-03 00:24:38;2025-11-20 00:24:38;4963.0;2025-11-20 00:24:38
199;1809;2359.0;Completed;100;2022-07-29 02:38:22;2022-10-30 02:38:22;6183.0;2022-10-30 02:38:22
16370;349;;Completed;100;2024-06-28 22:44:22;2024-08-30 22:44:22;2722.0;2024-08-30 22:44:22
4825;390;1025.0;Completed;100;2022-07-28 10:40:12;2022-09-24 10:40:12;5824.0;2022-09-24 10:40:12
2569;1651;3414.0;InProgress;10;2025-04-18 03:10:16;2025-08-16 03:10:16;947.0;
2895;1922;;InProgress;44;2023-02-22 22:50:57;2023-03-28 22:50:57;3406.0;
10076;1703;2618.0;Completed;-5;2023-08-07 07:56:12;;3704.0;2023-09-06 07:56:12
19278;279;3122.0;Completed;100;2025-09-23 19:17:33;2025-12-04 19:17:33;1638.0;2025-12-04 19:17:33
12130;448;3059.0;InProgress;38;2024-06-20 02:35:53;2024-08-19 02:35:53;1653.0;
3735;965;3028.0;NotStarted;-5;;;;
19547;9508;4833.0;Completed;100;2024-06-25 08:55:31;2024-08-06 08:55:31;5815.0;2024-08-06 08:55:31
3136;1920;925.0;InProgress;61;2024-10-30 06:53:40;2024-12-04 06:53:40;1211.0;
15737;1259;4732.0;Completed;100;2023-12-17 20:39:04;2024-01-28 20:39:04;5472.0;2024-01-28 20:39:04
6720;2077;4505.0;InProgress;39;2024-07-24 09:05:23;2024-09-28 09:05:23;1411.0;
2058;9976;3906.0;Completed;100;2023-03-29 18:51:26;2023-05-30 18:51:26;6905.0;2023-05-30 18:51:26
9539;1599;2582.0;Completed;100;2024-11-29 10:53:09;2025-02-21 10:53:09;;2025-02-21 10:53:09
4869;598;1002.0;Completed;100;2025-09-25 03:31:04;2025-09-25 03:31:04;5263.0;2025-09-25 03:31:04
13492;175;1118.0;Completed;100;2025-01-29 07:16:46;2025-02-08 07:16:46;2584.0;2025-02-08 07:16:46
5097;2143;2587.0;Completed;101;2023-07-22 22:37:43;2023-08-03 22:37:43;3631.0;2023-08-03 22:37:43
9087;1229;577.0;NotStarted;0;;;;
25294;205;2821.0;InProgress;68;2024-03-10 15:50:26;2024-03-28 15:50:26;769.0;
9242;1274;3203.0;Completed;100;2026-01-30 07:58:47;;2643.0;2026-02-28 07:58:47
20393;980;1956.0;Completed;100;2025-12-07 21:37:05;2026-01-30 21:37:05;4958.0;2026-01-30 21:37:05
19211;879;536.0;Completed;100;2024-09-05 03:25:06;;4999.0;2024-09-19 03:25:06
16437;1443;602.0;NotStarted;0;;;;
16333;385;2902.0;Completed;100;2023-09-01 01:59:52;2023-09-29 01:59:52;;2023-09-29 01:59:52
19618;1303;433.0;NotStarted;0;;;;
7780;683;139.0;Completed;100;2025-09-03 00:35:35;2025-10-13 00:35:35;6771.0;2025-10-13 00:35:35
