Id,UserId,DepartmentId,YearId,SquadronId,AdmissionYear,CreatedAt,UpdatedAt
3860,1486.0,2.0,1.0,4.0,2023.0,2025-08-14 19:38:45,2025-11-09 19:38:45
589,370.0,1.0,2.0,3.0,2022.0,2022-01-20 02:00:37,2022-08-05 02:00:37
2482,1560.0,1.0,4.0,1.0,2024.0,2022-12-12 13:46:12,2023-07-07 13:46:12
4243,1184.0,1.0,1.0,1.0,2024.0,2023-04-29 20:02:03,2023-10-20 20:02:03
3840,1106.0,2.0,1.0,3.0,2022.0,2025-10-03 20:17:26,2026-07-20 20:17:26
1042,2037.0,2.0,3.0,3.0,2024.0,2023-08-08 15:25:34,2024-05-03 15:25:34
2079,1814.0,,1.0,2.0,2026.0,2021-01-29 02:00:38,2021-07-26 02:00:38
1898,692.0,1.0,2.0,2.0,2024.0,2022-10-21 19:24:12,2023-08-15 19:24:12
4996,436.0,1.0,3.0,4.0,2025.0,2024-08-24 16:57:04,2024-09-09 16:57:04
2557,1842.0,2.0,1.0,1.0,2024.0,2023-07-09 03:16:00,2023-11-10 03:16:00
2162,887.0,3.0,2.0,2.0,2024.0,2025-04-28 19:45:59,2026-02-14 19:45:59
512,1141.0,1.0,2.0,1.0,2024.0,2024-08-05 18:23:23,2024-12-31 18:23:23
2569,384.0,1.0,2.0,5.0,2023.0,2025-11-24 01:55:56,2026-08-08 01:55:56
4449,331.0,1.0,,5.0,2023.0,2022-04-08 19:37:00,2022-09-30 19:37:00
1490,384.0,2.0,1.0,,2024.0,2024-04-20 06:36:00,2024-09-10 06:36:00
3083,570.0,1.0,3.0,4.0,2025.0,2024-12-04 06:02:54,2025-08-18 06:02:54
3087,1253.0,1.0,4.0,3.0,2026.0,2023-07-30 07:09:15,2024-02-01 07:09:15
2666,1351.0,1.0,3.0,3.0,2025.0,2025-04-03 19:59:51,2025-07-31 19:59:51
2726,882.0,2.0,1.0,4.0,2022.0,2021-02-27 06:38:32,2021-08-22 06:38:32
1813,1464.0,3.0,4.0,2.0,2023.0,2025-03-04 14:16:49,2025-08-03 14:16:49
2467,1569.0,1.0,3.0,5.0,2021.0,2021-09-27 10:29:30,2022-05-14 10:29:30
683,564.0,2.0,2.0,4.0,2025.0,2025-06-26 15:58:24,2025-11-20 15:58:24
3621,452.0,1.0,3.0,4.0,2021.0,2023-03-06 14:55:59,2023-12-07 14:55:59
2327,1704.0,1.0,1.0,4.0,2023.0,2025-06-08 08:09:20,2026-02-10 08:09:20
1276,1879.0,2.0,1.0,5.0,2023.0,2023-02-07 21:22:21,2023-05-14 21:22:21
1749,1593.0,,1.0,5.0,2026.0,2022-11-25 10:54:37,2023-04-17 10:54:37
3289,1194.0,1.0,1.0,2.0,2023.0,2022-05-06 11:59:36,2022-07-28 11:59:36
4619,,3.0,3.0,5.0,2024.0,2021-04-19 00:56:38,2021-10-06 00:56:38
1509,9811.0,1.0,1.0,3.0,2023.0,2025-08-19 16:07:49,2025-09-25 16:07:49
2529,1401.0,2.0,,1.0,2024.0,2025-03-28 06:59:31,2025-10-11 06:59:31
4906,416.0,1.0,4.0,3.0,2022.0,2023-11-16 21:58:38,2023-12-06 21:58:38
1948,352.0,1.0,2.0,,2021.0,2025-12-06 12:29:29,2026-09-10 12:29:29
4425,631.0,2.0,2.0,4.0,2024.0,2024-11-20 06:36:00,2025-05-28 06:36:00
3282,1729.0,1.0,2.0,4.0,2025.0,2025-03-22 21:24:43,2025-06-05 21:24:43
1966,684.0,,,5.0,2023.0,2021-04-19 13:36:30,2021-11-09 13:36:30
3985,1187.0,1.0,2.0,1.0,2024.0,2022-11-27 22:05:08,2023-03-13 22:05:08
4366,1402.0,3.0,4.0,4.0,2024.0,2022-06-08 01:42:23,2022-09-25 01:42:23
4380,987.0,1.0,2.0,,2022.0,2024-12-16 23:33:07,2025-05-11 23:33:07
4108,,1.0,2.0,1.0,2023.0,2022-01-30 21:56:09,2022-09-08 21:56:09
3339,109.0,2.0,1.0,5.0,2024.0,2025-09-16 02:17:22,2025-10-21 02:17:22
3742,9925.0,1.0,3.0,5.0,2024.0,2025-08-31 18:09:44,2026-01-21 18:09:44
1516,1986.0,2.0,3.0,4.0,2026.0,2025-06-10 22:23:17,2025-08-01 22:23:17
4961,1822.0,2.0,1.0,4.0,2023.0,2022-12-07 05:44:40,2023-03-16 05:44:40
3865,1124.0,1.0,1.0,4.0,2021.0,2022-07-14 00:25:15,2022-12-11 00:25:15
4038,1593.0,2.0,1.0,3.0,2026.0,2025-01-09 02:14:29,2025-10-28 02:14:29
3786,1674.0,1.0,3.0,4.0,2024.0,2024-04-23 10:47:39,2024-10-03 10:47:39
3564,609.0,1.0,3.0,,2025.0,2025-08-18 08:40:33,2025-09-29 08:40:33
4599,1489.0,2.0,2.0,5.0,2022.0,2021-03-13 09:09:41,2021-08-25 09:09:41
3628,1647.0,2.0,1.0,4.0,2023.0,2021-09-20 22:25:48,2022-01-14 22:25:48
4863,1637.0,2.0,4.0,3.0,2023.0,2025-11-17 08:28:51,2026-01-08 08:28:51
4722,1841.0,2.0,3.0,1.0,2024.0,2023-03-30 23:50:29,2023-06-22 23:50:29
4964,2008.0,2.0,1.0,2.0,2024.0,2021-02-14 22:44:16,2021-10-29 22:44:16
1076,354.0,1.0,4.0,2.0,2025.0,2025-02-14 10:55:14,2025-07-21 10:55:14
3466,1808.0,2.0,2.0,,2025.0,2022-04-29 09:28:38,2022-06-11 09:28:38
4858,70.0,2.0,4.0,3.0,2025.0,2021-11-06 12:55:22,2022-07-07 12:55:22
3957,207.0,1.0,1.0,,2026.0,2022-09-23 09:06:37,2023-04-04 09:06:37
4052,141.0,,1.0,5.0,,2025-10-27 14:17:16,2025-11-07 14:17:16
4006,1680.0,3.0,2.0,1.0,2024.0,2024-12-06 23:09:56,2025-09-29 23:09:56
4457,122.0,1.0,,5.0,2023.0,2024-08-25 23:00:50,2024-12-16 23:00:50
1394,996.0,1.0,2.0,3.0,2023.0,2023-07-18 14:26:33,2023-12-12 14:26:33
2889,1693.0,1.0,2.0,2.0,2022.0,2025-10-11 00:41:17,2026-06-05 00:41:17
4405,,2.0,4.0,1.0,2023.0,2022-09-12 03:23:25,2023-01-29 03:23:25
455,2024.0,1.0,1.0,,2025.0,2021-10-28 20:50:06,2021-12-30 20:50:06
