Id,Name,Description,DepartmentId,AcademicYear,IsArchived,CreatedById,StartDate,EndDate,TotalCourses,TotalHours,CreatedAt,UpdatedAt
31,Third Year,Third Year for Department 2,2,2024,True,1,2025-10-06,2025-06-30,7,511,2025-04-25,2025-04-27
41,First Year,First Year for Department 2,2,2025,False,1,2025-09-01,2026-06-30,6,464,2025-05-12,2025-07-22
7,Third Year,Third Year for Department 2,2,2022,False,1,2022-09-01,2023-06-30,0,0,2022-03-16,2022-04-29
55,Third Year,Third Year for Department 2,2,2024,True,1,2025-10-06,2025-06-30,7,511,2025-04-25,2025-04-27
18,Second Year,Second Year for Department 2,2,2023,True,1,2023-09-01,2024-06-30,6,614,2023-04-24,2023-06-27
36,Fourth Year,Fourth Year for Department 3,3,2024,False,1,2024-09-01,2025-06-30,6,630,2024-04-09,2024-05-09
15,Third Year,Third Year for Department 1,1,2023,True,1,2023-09-01,2024-06-30,8,694,2023-05-21,2023-06-01
51,Fourth Year,Fourth Year for Department 3,3,2023,True,1,2023-09-01,2024-06-30,8,739,2023-03-22,2023-06-04
28,Fourth Year,Fourth Year for Department 1,1,2024,True,1,2024-09-01,2025-06-30,7,531,2024-03-26,2024-05-12
29,First Year,First Year for Department 2,2,2024,True,1,2024-09-01,2025-06-30,8,614,2024-04-01,2024-05-30
47,Third Year,Third Year for Department 3,3,2025,True,1,2025-09-01,2026-06-30,6,480,2025-07-09,2025-08-03
17,First Year,First Year for Department 2,2,2023,True,1,2024-10-05,2024-06-30,8,521,2024-04-06,2024-06-09
33,First Year,First Year for Department 3,3,2024,True,1,2024-09-01,2025-06-30,5,710,2024-06-08,2024-06-12
50,Third Year,Third Year for Department 2,2,2022,False,1,2022-09-01,2023-06-30,0,0,2022-03-16,2022-04-29
1,First Year,First Year for Department 1,1,2022,False,1,2022-09-01,2023-06-30,7,687,2022-07-13,2022-09-18
16,Fourth Year,Fourth Year for Department 1,1,2023,False,1,2023-09-01,2024-06-30,8,541,2023-05-02,2023-06-30
54,Third Year,Third Year for Department 1,1,2024,True,1,2024-09-01,2025-06-30,6,513,2024-03-11,2024-06-17
11,Third Year,Third Year for Department 3,3,2022,True,1,2022-09-01,2023-06-30,6,743,2022-02-14,2022-05-20
21,First Year,First Year for Department 3,3,2023,True,1,2023-09-01,2024-06-30,5,772,2023-03-28,2023-04-22
46,Second Year,Second Year for Department 3,3,2025,True,1,2026-10-06,2026-06-30,8,751,2026-08-21,2026-11-05
20,Fourth Year,Fourth Year for Department 2,2,2023,False,1,2023-09-01,2024-06-30,5,799,2023-05-04,2023-06-24
43,Third Year,Third Year for Department 2,2,2025,True,1,2025-09-01,2026-06-30,6,499,2025-02-25,2025-06-01
34,Second Year,Second Year for Department 3,3,2024,True,1,2024-09-01,2025-06-30,6,690,2024-03-02,2024-04-12
25,First Year,First Year for Department 1,1,2024,False,1,2024-09-01,2025-06-30,8,732,2024-04-21,2024-06-02
40,Fourth Year,Fourth Year for Department 1,1,2025,True,1,2025-09-01,2026-06-30,5,750,2025-06-10,2025-06-17
27,Third Year,Third Year for Department 1,1,2024,True,1,2024-09-01,2025-06-30,6,513,2024-03-11,2024-06-17
6,Second Year,Second Year for Department 2,2,2022,True,1,2022-09-01,2023-06-30,0,0,2022-04-18,2022-07-08
10,Second Year,Second Year for Department 3,3,2022,False,1,2022-09-01,2023-06-30,0,0,2022-07-04,2022-08-14
45,First Year,First Year for Department 3,3,2025,True,1,2025-09-01,2026-06-30,6,660,2025-06-16,2025-08-20
4,Fourth Year,Fourth Year for Department 1,1,2022,True,1,2022-09-01,2023-06-30,0,0,2022-05-28,2022-08-04
48,Fourth Year,Fourth Year for Department 3,3,2025,False,1,2025-09-01,2026-06-30,6,669,2025-04-30,2025-07-22
49,Fourth Year,Fourth Year for Department 1,1,2022,True,1,2022-09-01,2023-06-30,0,0,2022-05-28,2022-08-04
24,Fourth Year,Fourth Year for Department 3,3,2023,True,1,2023-09-01,2024-06-30,8,739,2023-03-22,2023-06-04
19,Third Year,Third Year for Department 2,2,2023,True,1,2023-09-01,2024-06-30,7,458,2023-07-22,2023-09-24
37,First Year,First Year for Department 1,1,2025,False,1,2025-09-01,2026-06-30,5,695,2025-04-11,2025-07-04
23,Third Year,Third Year for Department 3,3,2023,False,1,2023-09-01,2024-06-30,5,510,2023-03-30,2023-06-07
13,First Year,First Year for Department 1,1,2023,False,1,2024-10-05,2024-06-30,0,0,2024-09-05,2024-12-06
5,First Year,First Year for Department 2,2,2022,False,1,2022-09-01,2023-06-30,5,538,2022-03-29,2022-05-24
14,Second Year,Second Year for Department 1,1,2023,False,1,2023-09-01,2024-06-30,5,696,2023-02-25,2023-03-13
2,Second Year,Second Year for Department 1,1,2022,False,1,2022-09-01,2023-06-30,8,735,2022-05-03,2022-05-19
44,Fourth Year,Fourth Year for Department 2,2,2025,True,1,2025-09-01,2026-06-30,6,494,2025-06-24,2025-09-01
52,Third Year,Third Year for Department 3,3,2024,True,1,2024-09-01,2025-06-30,8,462,2024-03-28,2024-04-06
32,Fourth Year,Fourth Year for Department 2,2,2024,True,1,2024-09-01,2024-07-20,8,460,2024-04-22,2024-05-27
8,Fourth Year,Fourth Year for Department 2,2,2022,True,1,2022-09-01,2023-06-30,8,760,2022-06-06,2022-06-25
26,Second Year,Second Year for Department 1,1,2024,True,1,2024-09-01,2025-06-30,5,595,2024-06-06,2024-09-05
30,Second Year,Second Year for Department 2,2,2024,False,1,2024-09-01,2025-06-30,6,461,2024-06-12,2024-07-04
35,Third Year,Third Year for Department 3,3,2024,True,1,2024-09-01,2025-06-30,8,462,2024-03-28,2024-04-06
39,Third Year,Third Year for Department 1,1,2025,True,1,2025-09-01,2026-06-30,8,724,2025-06-15,2025-08-07
3,Third Year,Third Year for Department 1,1,2022,False,1,2022-09-01,2023-06-30,0,0,2022-05-30,2022-07-24
53,Third Year,Third Year for Department 1,1,2025,True,1,2025-09-01,2026-06-30,8,724,2025-06-15,2025-08-07
56,Third Year,Third Year for Department 3,3,2025,True,1,2025-09-01,2026-06-30,6,480,2025-07-09,2025-08-03
22,Second Year,Second Year for Department 3,3,2023,False,1,2023-09-01,2024-06-30,8,626,2023-04-04,2023-06-15
9,First Year,First Year for Department 3,3,2022,False,1,2022-09-01,2023-06-30,7,459,2022-03-06,2022-04-11
42,Second Year,Second Year for Department 2,2,2025,True,1,2025-09-01,2026-06-30,8,606,2025-05-13,2025-08-09
12,Fourth Year,Fourth Year for Department 3,3,2022,True,1,2022-09-01,2023-06-30,5,590,2022-07-16,2022-09-19
38,Second Year,Second Year for Department 1,1,2025,True,1,2025-09-01,2026-06-30,5,562,2025-05-23,2025-08-10
