Week,TotalActions,UniqueUsers
2021-12-27/2022-01-02,13,8
2022-01-03/2022-01-09,31,9
2022-01-10/2022-01-16,29,8
2022-01-17/2022-01-23,27,9
2022-01-24/2022-01-30,25,8
2022-01-31/2022-02-06,31,9
2022-02-07/2022-02-13,22,8
2022-02-14/2022-02-20,35,9
2022-02-21/2022-02-27,34,9
2022-02-28/2022-03-06,24,8
2022-03-07/2022-03-13,32,9
2022-03-14/2022-03-20,18,9
2022-03-21/2022-03-27,21,9
2022-03-28/2022-04-03,29,8
2022-04-04/2022-04-10,30,9
2022-04-11/2022-04-17,21,7
2022-04-18/2022-04-24,35,8
2022-04-25/2022-05-01,24,9
2022-05-02/2022-05-08,32,8
2022-05-09/2022-05-15,19,8
2022-05-16/2022-05-22,30,9
2022-05-23/2022-05-29,36,9
2022-05-30/2022-06-05,26,9
2022-06-06/2022-06-12,31,8
2022-06-13/2022-06-19,42,9
2022-06-20/2022-06-26,32,9
2022-06-27/2022-07-03,24,9
2022-07-04/2022-07-10,26,9
2022-07-11/2022-07-17,27,8
2022-07-18/2022-07-24,28,8
2022-07-25/2022-07-31,29,9
2022-08-01/2022-08-07,28,9
2022-08-08/2022-08-14,34,9
2022-08-15/2022-08-21,24,9
2022-08-22/2022-08-28,38,9
2022-08-29/2022-09-04,25,9
2022-09-05/2022-09-11,27,7
2022-09-12/2022-09-18,27,9
2022-09-19/2022-09-25,23,9
2022-09-26/2022-10-02,28,9
2022-10-03/2022-10-09,23,9
2022-10-10/2022-10-16,29,9
2022-10-17/2022-10-23,39,9
2022-10-24/2022-10-30,28,9
2022-10-31/2022-11-06,34,9
2022-11-07/2022-11-13,22,8
2022-11-14/2022-11-20,26,8
2022-11-21/2022-11-27,35,9
2022-11-28/2022-12-04,32,8
2022-12-05/2022-12-11,26,7
2022-12-12/2022-12-18,24,7
2022-12-19/2022-12-25,22,9
2022-12-26/2023-01-01,27,9
2023-01-02/2023-01-08,59,9
2023-01-09/2023-01-15,55,9
2023-01-16/2023-01-22,61,9
2023-01-23/2023-01-29,60,9
2023-01-30/2023-02-05,65,9
2023-02-06/2023-02-12,61,9
2023-02-13/2023-02-19,66,8
2023-02-20/2023-02-26,54,9
2023-02-27/2023-03-05,63,9
2023-03-06/2023-03-12,58,9
2023-03-13/2023-03-19,52,9
2023-03-20/2023-03-26,59,9
2023-03-27/2023-04-02,49,9
2023-04-03/2023-04-09,62,9
2023-04-10/2023-04-16,56,9
2023-04-17/2023-04-23,63,9
2023-04-24/2023-04-30,60,9
2023-05-01/2023-05-07,57,9
2023-05-08/2023-05-14,48,9
2023-05-15/2023-05-21,53,9
2023-05-22/2023-05-28,50,9
2023-05-29/2023-06-04,50,9
2023-06-05/2023-06-11,41,9
2023-06-12/2023-06-18,65,9
2023-06-19/2023-06-25,57,9
2023-06-26/2023-07-02,48,9
2023-07-03/2023-07-09,46,9
2023-07-10/2023-07-16,55,9
2023-07-17/2023-07-23,49,9
2023-07-24/2023-07-30,54,9
2023-07-31/2023-08-06,50,9
2023-08-07/2023-08-13,59,9
2023-08-14/2023-08-20,54,9
2023-08-21/2023-08-27,53,9
2023-08-28/2023-09-03,60,9
2023-09-04/2023-09-10,65,9
2023-09-11/2023-09-17,63,9
2023-09-18/2023-09-24,48,9
2023-09-25/2023-10-01,50,9
2023-10-02/2023-10-08,59,9
2023-10-09/2023-10-15,58,9
2023-10-16/2023-10-22,54,9
2023-10-23/2023-10-29,86,9
2023-10-30/2023-11-05,59,9
2023-11-06/2023-11-12,66,9
2023-11-13/2023-11-19,78,9
2023-11-20/2023-11-26,58,9
2023-11-27/2023-12-03,65,9
2023-12-04/2023-12-10,61,9
2023-12-11/2023-12-17,55,9
2023-12-18/2023-12-24,57,9
2023-12-25/2023-12-31,46,8
