CourseId,TotalStudents,TotalActivities,CompletionRate,AvgProgressPct,DropoutRate,CompletionStatus,Title
157,42,1,0.381,57.167,0.619,Low (<40%),Mobile App Development
97,143,3,0.438,63.247,0.562,Medium (40-70%),Computer Networks
58,59,1,0.441,68.169,0.559,Medium (40-70%),Software Engineering
79,61,1,0.443,62.328,0.557,Medium (40-70%),Cyber Security Fundamentals
198,58,1,0.448,62.759,0.552,Medium (40-70%),Machine Learning
93,152,3,0.451,61.111,0.549,Medium (40-70%),Machine Learning
161,53,1,0.472,66.075,0.528,Medium (40-70%),Cyber Security Fundamentals
163,52,1,0.481,64.231,0.519,Medium (40-70%),Data Science
149,89,2,0.483,62.775,0.517,Medium (40-70%),Web Development
190,41,1,0.488,64.537,0.512,Medium (40-70%),Computer Architecture
17,88,2,0.489,66.602,0.511,Medium (40-70%),Operating Systems
26,45,1,0.489,68.178,0.511,Medium (40-70%),Mobile App Development
101,195,4,0.49,64.381,0.51,Medium (40-70%),Web Development
176,59,1,0.492,71.729,0.508,Medium (40-70%),Cyber Security Fundamentals
19,342,7,0.493,65.897,0.507,Medium (40-70%),Machine Learning
39,52,1,0.5,67.808,0.5,Medium (40-70%),Computer Networks
172,48,1,0.5,64.688,0.5,Medium (40-70%),Database Systems
88,129,3,0.5,69.2,0.5,Medium (40-70%),Cloud Computing
139,123,3,0.5,68.367,0.5,Medium (40-70%),Artificial Intelligence
169,195,4,0.502,65.596,0.498,Medium (40-70%),Cyber Security Fundamentals
123,152,3,0.506,66.409,0.494,Medium (40-70%),Cloud Computing
167,133,3,0.507,65.797,0.493,Medium (40-70%),Operating Systems
188,163,3,0.512,68.708,0.488,Medium (40-70%),Web Development
95,79,2,0.512,64.888,0.488,Medium (40-70%),Software Engineering
36,132,3,0.514,69.743,0.486,Medium (40-70%),Software Engineering
137,99,2,0.515,67.717,0.485,Medium (40-70%),Computer Networks
70,157,3,0.515,68.534,0.485,Medium (40-70%),Operating Systems
8,93,2,0.516,69.72,0.484,Medium (40-70%),Data Science
84,104,2,0.519,69.779,0.481,Medium (40-70%),Database Systems
69,106,2,0.519,68.802,0.481,Medium (40-70%),Computer Networks
53,52,1,0.519,67.923,0.481,Medium (40-70%),Discrete Mathematics
9,102,2,0.52,69.206,0.48,Medium (40-70%),Artificial Intelligence
191,75,2,0.52,69.6,0.48,Medium (40-70%),Data Structures
165,141,3,0.521,67.083,0.479,Medium (40-70%),Computer Networks
131,155,3,0.522,66.571,0.478,Medium (40-70%),Machine Learning
107,356,7,0.522,66.995,0.478,Medium (40-70%),Software Engineering
183,230,5,0.522,69.964,0.478,Medium (40-70%),Computer Architecture
177,46,1,0.522,70.217,0.478,Medium (40-70%),Data Science
194,106,2,0.523,64.841,0.477,Medium (40-70%),Algorithms
10,44,1,0.523,70.364,0.477,Medium (40-70%),Operating Systems
128,215,4,0.525,67.489,0.475,Medium (40-70%),Artificial Intelligence
164,101,2,0.525,68.822,0.475,Medium (40-70%),Data Science
16,97,2,0.526,69.619,0.474,Medium (40-70%),Algorithms
160,183,4,0.526,69.708,0.474,Medium (40-70%),Computer Architecture
52,187,4,0.526,69.495,0.474,Medium (40-70%),Operating Systems
30,260,6,0.527,66.809,0.473,Medium (40-70%),Machine Learning
66,108,2,0.527,70.436,0.473,Medium (40-70%),Computer Architecture
28,157,3,0.528,68.174,0.472,Medium (40-70%),Mobile App Development
20,211,4,0.528,66.954,0.472,Medium (40-70%),Computer Architecture
145,51,1,0.529,65.078,0.471,Medium (40-70%),Web Development
155,334,7,0.529,69.378,0.471,Medium (40-70%),Data Structures
51,98,2,0.53,69.14,0.47,Medium (40-70%),Discrete Mathematics
82,98,2,0.531,70.429,0.469,Medium (40-70%),Data Science
38,161,3,0.531,70.475,0.469,Medium (40-70%),Database Systems
166,93,2,0.532,64.979,0.468,Medium (40-70%),Discrete Mathematics
156,160,3,0.533,67.018,0.467,Medium (40-70%),Algorithms
92,157,3,0.534,69.224,0.466,Medium (40-70%),Web Development
24,263,5,0.535,68.436,0.465,Medium (40-70%),Cloud Computing
32,169,3,0.535,72.047,0.465,Medium (40-70%),Computer Architecture
135,108,2,0.536,65.3,0.464,Medium (40-70%),Data Science
46,276,6,0.537,68.793,0.463,Medium (40-70%),Mobile App Development
72,257,5,0.537,68.779,0.463,Medium (40-70%),Artificial Intelligence
120,282,6,0.538,70.645,0.462,Medium (40-70%),Data Science
196,167,3,0.538,68.87,0.462,Medium (40-70%),Database Systems
56,151,3,0.539,71.234,0.461,Medium (40-70%),Data Science
122,111,2,0.54,70.035,0.46,Medium (40-70%),Mobile App Development
7,265,5,0.54,70.707,0.46,Medium (40-70%),Operating Systems
121,207,4,0.541,72.517,0.459,Medium (40-70%),Mobile App Development
11,240,5,0.541,69.992,0.459,Medium (40-70%),Computer Networks
34,199,4,0.541,72.961,0.459,Medium (40-70%),Algorithms
138,260,5,0.541,71.373,0.459,Medium (40-70%),Algorithms
42,96,2,0.541,71.214,0.459,Medium (40-70%),Web Development
132,117,2,0.542,70.059,0.458,Medium (40-70%),Mobile App Development
182,46,1,0.543,67.565,0.457,Medium (40-70%),Data Structures
43,314,6,0.543,71.03,0.457,Medium (40-70%),Database Systems
13,46,1,0.543,77.304,0.457,Medium (40-70%),Software Engineering
141,57,1,0.544,71.175,0.456,Medium (40-70%),Computer Networks
91,102,2,0.544,72.087,0.456,Medium (40-70%),Computer Architecture
40,96,2,0.545,68.242,0.455,Medium (40-70%),Discrete Mathematics
100,100,2,0.545,70.475,0.455,Medium (40-70%),Software Engineering
193,256,5,0.547,69.281,0.453,Medium (40-70%),Operating Systems
77,145,3,0.547,69.845,0.453,Medium (40-70%),Mobile App Development
94,51,1,0.549,65.216,0.451,Medium (40-70%),Data Science
35,100,2,0.549,67.52,0.451,Medium (40-70%),Data Structures
152,51,1,0.549,66.51,0.451,Medium (40-70%),Operating Systems
23,266,5,0.55,71.162,0.45,Medium (40-70%),Data Structures
65,49,1,0.551,65.714,0.449,Medium (40-70%),Algorithms
29,149,3,0.553,72.559,0.447,Medium (40-70%),Algorithms
47,251,5,0.553,68.428,0.447,Medium (40-70%),Machine Learning
111,150,3,0.553,71.322,0.447,Medium (40-70%),Cyber Security Fundamentals
142,140,3,0.555,70.404,0.445,Medium (40-70%),Algorithms
103,189,4,0.556,75.23,0.444,Medium (40-70%),Web Development
76,154,3,0.557,69.886,0.443,Medium (40-70%),Computer Networks
174,201,4,0.557,70.039,0.443,Medium (40-70%),Web Development
112,188,4,0.558,71.396,0.442,Medium (40-70%),Operating Systems
3,52,1,0.558,71.212,0.442,Medium (40-70%),Data Structures
140,189,4,0.56,69.238,0.44,Medium (40-70%),Operating Systems
150,228,5,0.561,72.799,0.439,Medium (40-70%),Cyber Security Fundamentals
74,220,4,0.561,73.052,0.439,Medium (40-70%),Computer Architecture
63,249,5,0.562,73.75,0.438,Medium (40-70%),Computer Networks
113,315,7,0.562,73.994,0.438,Medium (40-70%),Database Systems
110,199,4,0.562,69.886,0.438,Medium (40-70%),Software Engineering
136,210,4,0.563,72.905,0.437,Medium (40-70%),Operating Systems
