CourseId,QuizId,ActivityTitle,TotalAttempts,FailCount,AvgAttempts,AvgScore,FailRate,Title
1,1,SQL Joins,32,23,1.0,67.917,0.719,Cyber Security Fundamentals
2,11,Machine Learning Basics,79,57,1.671,46.579,0.722,Machine Learning
2,21,Trees and Graphs,27,15,1.0,58.937,0.556,Machine Learning
4,43,Data Structures Overview,56,40,1.768,48.325,0.714,Computer Networks
4,32,Dynamic Programming,76,49,1.737,52.573,0.645,Computer Networks
5,53,Neural Networks,27,11,1.0,69.944,0.407,Discrete Mathematics
8,84,Cybersecurity Fundamentals,54,36,1.37,49.081,0.667,Data Science
9,87,Encryption Methods,68,48,1.765,51.124,0.706,Artificial Intelligence
13,122,Cybersecurity Fundamentals,69,52,1.565,48.954,0.754,Software Engineering
14,126,Encryption Methods,16,9,1.0,55.44,0.562,Computer Architecture
16,141,Memory Management,36,28,1.0,55.8,0.778,Algorithms
16,143,Indexing & Performance,42,28,1.0,55.167,0.667,Algorithms
16,138,Computer Vision Intro,52,34,1.365,56.087,0.654,Algorithms
17,160,SQL Joins,22,21,1.0,35.464,0.955,Operating Systems
19,176,REST APIs,90,61,1.722,55.491,0.678,Machine Learning
19,2141,REST APIs,98,59,1.714,57.905,0.602,Machine Learning
20,181,Introduction to the Course,33,25,1.0,52.973,0.758,Computer Architecture
20,196,Linked Lists,55,40,1.727,47.325,0.727,Computer Architecture
20,193,OS Scheduling,56,36,1.321,57.618,0.643,Computer Architecture
23,222,OS Scheduling,61,41,1.361,56.924,0.672,Data Structures
27,277,Sorting Algorithms,64,40,1.625,58.278,0.625,Cloud Computing
28,286,Introduction to the Course,86,66,1.698,46.109,0.767,Mobile App Development
28,2155,Dynamic Programming,60,41,1.7,56.084,0.683,Mobile App Development
29,296,Indexing & Performance,61,46,1.377,43.924,0.754,Algorithms
29,291,Python for Data Science,28,20,1.0,51.714,0.714,Algorithms
30,311,Indexing & Performance,46,34,1.261,55.13,0.739,Machine Learning
31,327,Untitled,38,27,1.0,46.738,0.711,Computer Architecture
31,328,Network Protocols,74,51,1.622,51.012,0.689,Computer Architecture
32,337,Memory Management,52,36,1.365,46.061,0.692,Computer Architecture
33,351,Memory Management,64,51,1.688,41.514,0.797,Data Science
33,350,Introduction to the Course,57,33,1.632,60.543,0.579,Data Science
37,389,REST APIs,58,47,1.552,41.771,0.81,Database Systems
39,410,Cybersecurity Fundamentals,76,56,1.684,47.114,0.737,Computer Networks
40,422,Introduction to the Course,35,26,1.0,46.847,0.743,Discrete Mathematics
40,419,Data Structures Overview,49,34,1.327,56.957,0.694,Discrete Mathematics
40,411,Ethics in AI,72,49,1.681,50.568,0.681,Discrete Mathematics
41,435,Big Data Overview,63,48,1.698,48.903,0.762,Database Systems
43,446,Indexing & Performance,49,35,1.306,45.757,0.714,Database Systems
43,448,Linked Lists,62,36,1.323,51.843,0.581,Database Systems
48,518,Encryption Methods,79,57,1.646,50.218,0.722,Data Structures
48,510,Untitled,66,47,1.758,53.314,0.712,Data Structures
49,524,Search Algorithms,37,22,1.0,58.174,0.595,Data Structures
51,535,Untitled,82,57,1.659,55.096,0.695,Discrete Mathematics
51,537,Database Normalization,44,30,1.0,50.704,0.682,Discrete Mathematics
