CourseId,ActivityId,Title_x,SortOrder,StudentsReached,StudentsCompleted,AvgProgress,CompletionRate,DropoffFromPrev,Title_y
1,3,REST APIs,6,44,26,77.727,0.591,0,Cyber Security Fundamentals
2,9,Cybersecurity Fundamentals,1,43,28,76.628,0.651,0,Machine Learning
3,27,Neural Networks,3,52,29,71.212,0.558,0,Data Structures
4,30,OS Scheduling,3,70,41,73.0,0.586,0,Computer Networks
4,31,Web Development Basics,5,61,30,62.902,0.492,-9,Computer Networks
4,36,OOP Concepts,14,53,25,65.811,0.472,-8,Computer Networks
4,38,Machine Learning Basics,20,54,38,78.648,0.704,1,Computer Networks
4,39,Data Structures Overview,22,60,35,73.283,0.583,6,Computer Networks
4,40,Computer Vision Intro,23,40,25,78.975,0.625,-20,Computer Networks
7,71,Dynamic Programming,3,61,31,68.836,0.508,0,Operating Systems
7,72,Cybersecurity Fundamentals,5,67,42,76.97,0.627,6,Operating Systems
7,73,Network Protocols,6,62,35,71.968,0.565,-5,Operating Systems
7,74,Python for Data Science,8,50,22,64.88,0.44,-12,Operating Systems
7,79,REST APIs,19,47,25,68.745,0.532,-3,Operating Systems
8,81,Big Data Overview,3,50,24,65.18,0.48,0,Data Science
8,84,Cybersecurity Fundamentals,9,43,24,75.0,0.558,-7,Data Science
9,85,Machine Learning Basics,2,45,24,69.978,0.533,0,Artificial Intelligence
9,87,Encryption Methods,7,57,29,68.596,0.509,12,Artificial Intelligence
10,99,Cloud Architecture,5,44,23,70.364,0.523,0,Operating Systems
11,102,Memory Management,1,48,29,74.75,0.604,0,Computer Networks
11,103,Concurrency,2,57,32,75.298,0.561,9,Computer Networks
11,104,Untitled,4,38,13,51.737,0.342,-19,Computer Networks
11,105,Python for Data Science,7,57,36,76.526,0.632,19,Computer Networks
11,108,Computer Vision Intro,13,55,28,66.182,0.509,-2,Computer Networks
13,121,Python for Data Science,7,46,25,77.304,0.543,0,Software Engineering
16,142,Machine Learning Basics,14,44,19,65.295,0.432,0,Algorithms
16,143,Indexing & Performance,15,53,32,73.208,0.604,9,Algorithms
17,147,Indexing & Performance,6,44,19,56.023,0.432,0,Operating Systems
17,156,Python for Data Science,26,44,24,77.182,0.545,0,Operating Systems
18,161,Ethics in AI,1,60,34,76.067,0.567,0,Computer Networks
19,166,Python for Data Science,5,57,33,71.947,0.579,0,Machine Learning
19,2153,OOP Concepts,9,46,18,61.783,0.391,-11,Machine Learning
19,169,Web Development Basics,10,65,31,64.785,0.477,19,Machine Learning
19,172,Concurrency,15,47,22,65.085,0.468,-18,Machine Learning
19,174,Database Normalization,19,59,27,61.881,0.458,12,Machine Learning
19,175,Memory Management,22,55,28,66.055,0.509,-4,Machine Learning
19,177,Big Data Overview,25,48,27,69.708,0.562,-7,Machine Learning
20,183,Search Algorithms,6,54,30,64.5,0.556,0,Computer Architecture
20,187,Big Data Overview,16,58,31,62.879,0.534,4,Computer Architecture
