CourseId,StudentCount,r_ActionCount_vs_AvgQuizScore,r_ActionCount_vs_CompletionRate,r_LoginCount_vs_AvgQuizScore,r_LoginCount_vs_CompletionRate,EngagementImpact,Title
1,63,,,,,,Cyber Security Fundamentals
2,66,,,,,,Machine Learning
3,69,,,,,,Data Structures
4,75,,,,,,Computer Networks
5,55,,,,,,Discrete Mathematics
6,62,,,,,,Artificial Intelligence
7,54,,,,,,Operating Systems
8,62,,,,,,Data Science
9,64,,,,,,Artificial Intelligence
11,69,,,,,,Computer Networks
12,68,,,,,,Discrete Mathematics
14,57,,,,,,Computer Architecture
16,70,,,,,,Algorithms
18,63,,,,,,Computer Networks
20,69,,,,,,Computer Architecture
21,65,,,,,,Algorithms
22,61,,,,,,Data Science
23,64,,,,,,Data Structures
24,62,,,,,,Cloud Computing
25,64,,,,,,Cloud Computing
26,77,,,,,,Mobile App Development
28,65,,,,,,Mobile App Development
29,71,,,,,,Algorithms
30,60,,,,,,Machine Learning
31,76,,,,,,Computer Architecture
32,76,,,,,,Computer Architecture
33,66,,,,,,Data Science
34,59,,,,,,Algorithms
35,55,,,,,,Data Structures
36,71,,,,,,Software Engineering
37,65,,,,,,Database Systems
38,62,,,,,,Database Systems
40,54,,,,,,Discrete Mathematics
41,67,-0.062,0.011,-0.062,0.011,Weak / None,Database Systems
43,55,,,,,,Database Systems
46,73,,,,,,Mobile App Development
47,65,,,,,,Machine Learning
48,68,,,,,,Data Structures
49,75,,,,,,Data Structures
50,64,,,,,,Discrete Mathematics
51,60,,,,,,Discrete Mathematics
52,48,,,,,,Operating Systems
53,78,,,,,,Discrete Mathematics
54,68,,,,,,Artificial Intelligence
56,75,,,,,,Data Science
57,59,,,,,,Web Development
58,62,,,,,,Software Engineering
59,68,,,,,,Machine Learning
61,61,,,,,,Mobile App Development
62,64,,,,,,Machine Learning
63,69,,,,,,Computer Networks
64,68,,,,,,Database Systems
65,62,,,,,,Algorithms
67,56,,,,,,Operating Systems
69,70,,,,,,Computer Networks
70,62,,,,,,Operating Systems
71,69,,,,,,Algorithms
72,72,,,,,,Artificial Intelligence
73,80,,,,,,Web Development
74,50,,,,,,Computer Architecture
75,54,,,,,,Data Science
76,57,,,,,,Computer Networks
77,63,-0.087,0.03,-0.087,0.03,Weak / None,Mobile App Development
78,59,,,,,,Artificial Intelligence
79,69,,,,,,Cyber Security Fundamentals
80,58,,,,,,Computer Architecture
81,61,,,,,,Artificial Intelligence
84,72,,,,,,Database Systems
85,68,,,,,,Artificial Intelligence
86,61,,,,,,Database Systems
87,79,,,,,,Web Development
88,68,,,,,,Cloud Computing
89,65,,,,,,Cyber Security Fundamentals
91,52,,,,,,Computer Architecture
92,68,,,,,,Web Development
93,68,,,,,,Machine Learning
94,53,,,,,,Data Science
95,67,-0.072,0.028,-0.072,0.028,Weak / None,Software Engineering
96,55,,,,,,Database Systems
98,57,,,,,,Machine Learning
99,63,,,,,,Mobile App Development
100,65,,,,,,Software Engineering
101,58,,,,,,Web Development
106,56,0.258,0.198,0.258,0.198,Weak / None,Software Engineering
107,60,,,,,,Software Engineering
