CourseId,Avg_ActionCount,Avg_LoginCount,Avg_CommentsCount,Avg_LikesGiven,Std_ActionCount,Std_LoginCount,Std_CommentsCount,Std_LikesGiven,EngagementCV,EngagementBalance,Title
1,0.0,0.0,0.78,2.05,0.0,0.0,1.18,2.71,,,Cyber Security Fundamentals
2,0.0,0.0,0.7,1.77,0.0,0.0,1.47,2.65,,,Machine Learning
3,0.0,0.0,1.25,2.78,0.0,0.0,1.65,3.04,,,Data Structures
4,0.0,0.0,0.92,2.35,0.0,0.0,1.56,3.23,,,Computer Networks
5,0.0,0.0,1.2,2.75,0.0,0.0,1.64,3.55,,,Discrete Mathematics
6,0.0,0.0,0.9,2.23,0.0,0.0,1.35,3.11,,,Artificial Intelligence
7,0.0,0.0,1.2,2.46,0.0,0.0,1.71,3.11,,,Operating Systems
8,0.0,0.0,0.58,1.89,0.0,0.0,1.06,2.96,,,Data Science
9,0.0,0.0,0.72,2.36,0.0,0.0,1.2,3.31,,,Artificial Intelligence
11,0.0,0.0,0.77,1.81,0.0,0.0,1.26,2.73,,,Computer Networks
12,0.0,0.0,0.63,1.44,0.0,0.0,1.17,2.52,,,Discrete Mathematics
14,0.0,0.0,0.98,2.42,0.0,0.0,1.37,2.95,,,Computer Architecture
16,0.0,0.0,0.73,2.01,0.0,0.0,1.34,3.01,,,Algorithms
18,0.0,0.0,0.79,2.65,0.0,0.0,1.44,3.36,,,Computer Networks
20,0.0,0.0,0.75,1.81,0.0,0.0,1.37,2.79,,,Computer Architecture
21,0.0,0.0,0.65,1.74,0.0,0.0,1.29,2.58,,,Algorithms
22,0.0,0.0,0.84,1.95,0.0,0.0,1.42,3.04,,,Data Science
23,0.0,0.0,0.81,1.94,0.0,0.0,1.28,2.77,,,Data Structures
24,0.0,0.0,0.79,1.94,0.0,0.0,1.28,2.86,,,Cloud Computing
25,0.0,0.0,0.95,2.34,0.0,0.0,1.33,2.81,,,Cloud Computing
26,0.0,0.0,0.83,1.87,0.0,0.0,1.34,2.64,,,Mobile App Development
28,0.0,0.0,0.54,1.54,0.0,0.0,1.25,2.67,,,Mobile App Development
29,0.0,0.0,0.85,1.85,0.0,0.0,1.37,2.65,,,Algorithms
