StudentId,AvgQuizScore,AvgGrade,CompletionRate,QuizPassRate,CourseId,CompositeScore,RankInCourse,Title
4979,67.55,88.1,0.7778,0.2,167,0.7473,1,Operating Systems
4979,67.55,88.1,0.7778,0.2,127,0.7473,1,Computer Architecture
4596,89.0,73.5,0.4615,0.3333,74,0.7304,1,Computer Architecture
4596,89.0,73.5,0.4615,0.3333,110,0.7304,1,Software Engineering
4596,89.0,73.5,0.4615,0.3333,73,0.7304,1,Web Development
4596,89.0,73.5,0.4615,0.3333,30,0.7304,1,Machine Learning
4749,85.1,0.0,1.0,0.5,182,0.7255,1,Data Structures
1336,100.0,0.0,0.7273,0.5,75,0.7182,1,Data Science
1079,88.1,30.35,0.6667,0.5,180,0.7012,1,Discrete Mathematics
4908,89.75,4.4,0.7778,0.6667,18,0.6909,1,Computer Networks
4908,89.75,4.4,0.7778,0.6667,31,0.6909,1,Computer Architecture
4215,92.0,14.0,0.6667,1.0,80,0.688,1,Computer Architecture
4521,86.8,0.0,0.8333,0.625,145,0.684,1,Web Development
4521,86.8,0.0,0.8333,0.625,160,0.684,1,Computer Architecture
4521,86.8,0.0,0.8333,0.625,24,0.684,1,Cloud Computing
898,76.9,22.1833,0.75,0.4,157,0.6539,1,Mobile App Development
898,76.9,22.1833,0.75,0.4,72,0.6539,1,Artificial Intelligence
898,76.9,22.1833,0.75,0.4,136,0.6539,1,Operating Systems
2251,93.0,0.0,0.6154,0.3333,62,0.6496,1,Machine Learning
3243,100.0,24.45,0.3333,1.0,189,0.6489,1,Artificial Intelligence
3243,100.0,24.45,0.3333,1.0,62,0.6489,2,Machine Learning
3243,100.0,24.45,0.3333,1.0,5,0.6489,1,Discrete Mathematics
4660,69.2286,0.0,1.0,0.5556,33,0.6461,1,Data Science
4968,71.3333,10.0,0.8889,0.4286,93,0.6433,1,Machine Learning
796,61.3,16.775,1.0,0.2857,138,0.64,1,Algorithms
796,61.3,16.775,1.0,0.2857,26,0.64,1,Mobile App Development
796,61.3,16.775,1.0,0.2857,25,0.64,1,Cloud Computing
796,61.3,16.775,1.0,0.2857,87,0.64,1,Web Development
796,61.3,16.775,1.0,0.2857,137,0.64,1,Computer Networks
796,61.3,16.775,1.0,0.2857,120,0.64,1,Data Science
796,61.3,16.775,1.0,0.2857,134,0.64,1,Web Development
796,61.3,16.775,1.0,0.2857,159,0.64,1,Data Science
796,61.3,16.775,1.0,0.2857,70,0.64,1,Operating Systems
796,61.3,16.775,1.0,0.2857,34,0.64,1,Algorithms
796,61.3,16.775,1.0,0.2857,2,0.64,1,Machine Learning
796,61.3,16.775,1.0,0.2857,186,0.64,1,Algorithms
796,61.3,16.775,1.0,0.2857,28,0.64,1,Mobile App Development
796,61.3,16.775,1.0,0.2857,98,0.64,1,Machine Learning
3934,82.4667,0.0,0.75,0.5,157,0.6373,2,Mobile App Development
3934,82.4667,0.0,0.75,0.5,38,0.6373,1,Database Systems
3421,80.1,14.0,0.6923,0.75,35,0.6362,1,Data Structures
73,85.8667,0.0,0.6875,0.6,61,0.6356,1,Mobile App Development
73,85.8667,0.0,0.6875,0.6,21,0.6356,1,Algorithms
4672,92.8,0.0,0.5714,0.5,194,0.6354,1,Algorithms
2264,66.6,0.0,1.0,0.5,170,0.633,1,Data Science
2264,66.6,0.0,1.0,0.5,75,0.633,2,Data Science
917,75.95,13.525,0.75,0.6667,169,0.6318,1,Cyber Security Fundamentals
917,75.95,13.525,0.75,0.6667,92,0.6318,1,Web Development
917,75.95,13.525,0.75,0.6667,192,0.6318,1,Computer Networks
917,75.95,13.525,0.75,0.6667,160,0.6318,2,Computer Architecture
4900,88.5,19.4667,0.5,0.3333,54,0.6314,1,Artificial Intelligence
4900,88.5,19.4667,0.5,0.3333,169,0.6314,2,Cyber Security Fundamentals
4127,81.3714,13.2333,0.65,0.4286,20,0.6283,1,Computer Architecture
4127,81.3714,13.2333,0.65,0.4286,179,0.6283,1,Data Science
640,74.225,0.0,0.8571,0.375,100,0.6283,1,Software Engineering
4058,48.6667,92.2,0.6667,0.1667,1,0.6277,1,Cyber Security Fundamentals
1437,95.2,0.0,0.5,0.4,145,0.626,2,Web Development
1437,95.2,0.0,0.5,0.4,98,0.626,2,Machine Learning
6,80.5,31.4667,0.5333,0.6667,124,0.6254,1,Discrete Mathematics
1259,85.04,14.0,0.5625,0.4444,150,0.622,1,Cyber Security Fundamentals
1259,85.04,14.0,0.5625,0.4444,129,0.622,1,Discrete Mathematics
288,60.36,119.0,0.4,0.3,71,0.6218,1,Algorithms
288,60.36,119.0,0.4,0.3,34,0.6218,2,Algorithms
3321,75.4667,9.4,0.75,0.3333,40,0.6211,1,Discrete Mathematics
3321,75.4667,9.4,0.75,0.3333,152,0.6211,1,Operating Systems
435,84.9,0.0,0.6471,0.375,2,0.6186,2,Machine Learning
435,84.9,0.0,0.6471,0.375,115,0.6186,1,Artificial Intelligence
