CreatedById,Id,Title,ActivityType,DifficultyLevel,TotalStudents,CompletionRate,AvgProgress,AvgTimeMinutes,TimeEfficiencyRatio
6,1415,Indexing & Performance,Assignment,,,,,,
7,664,Sorting Algorithms,Quiz,Hard,,,,,
8,834,OOP Concepts,Lecture,,,,,,
1,299,Encryption Methods,Quiz,,54.0,0.63,76.389,52.483,3.5
12,1524,Database Normalization,Lecture,,63.0,0.54,73.079,50.408,
11,1885,Big Data Overview,Quiz,,,,,,
6,938,Data Structures Overview,Assignment,,,,,,
3,457,OOP Concepts,Lecture,,,,,,
13,509,OS Scheduling,Assignment,,,,,,
7,665,OOP Concepts,Assignment,,,,,,
11,2214,Linked Lists,Lecture,,,,,,
14,1626,Concurrency,Lecture,,51.0,0.549,66.51,50.408,1.12
9,1956,Big Data Overview,Lecture,,,,,,
4,1300,Web Development Basics,Quiz,Easy,,,,,
9,81,Big Data Overview,Quiz,Hard,50.0,0.48,65.18,53.394,1.78
5,508,Concurrency,Assignment,,,,,,
12,2078,Design Patterns,Lecture,,,,,,
14,643,Cloud Architecture,Assignment,,,,,,
8,1219,Network Protocols,Lecture,,,,,,
2,831,Data Structures Overview,Quiz,Hard,,,,,
15,313,Computer Vision Intro,Lecture,,30.0,0.567,67.967,50.47,3.36
2,1526,REST APIs,Quiz,Hard,,,,,
7,199,Cloud Architecture,Lecture,,,,,,
1,1098,Design Patterns,Quiz,Easy,,,,,
4,1497,Concurrency,Lecture,,41.0,0.537,65.293,51.198,2.56
3,777,Indexing & Performance,Assignment,,,,,,
10,1924,Concurrency,Quiz,Hard,,,,,
3,1737,SQL Joins,Lecture,,,,,,
5,30,OS Scheduling,Quiz,Hard,70.0,0.586,73.0,50.123,2.51
15,1699,Sorting Algorithms,Lecture,,,,,,
13,654,SQL Joins,Lecture,,49.0,0.551,65.714,46.516,1.55
5,636,Neural Networks,Quiz,Easy,,,,,
8,773,Network Protocols,Quiz,Easy,,,,,
11,206,Linked Lists,Assignment,,,,,,
11,1010,Computer Vision Intro,Lecture,,49.0,0.408,61.551,44.208,1.47
4,2161,Untitled,Quiz,,,,,,
12,1992,Sorting Algorithms,Quiz,,,,,,
12,601,Untitled,Assignment,,,,,,
3,435,Big Data Overview,Quiz,Hard,51.0,0.549,66.02,57.155,0.95
4,748,Indexing & Performance,Lecture,,71.0,0.577,72.324,47.665,1.06
3,1406,Computer Vision Intro,Lecture,,,,,,
10,397,Introduction to the Course,Lecture,,,,,,
10,884,Untitled,Lecture,,,,,,
8,1205,REST APIs,Quiz,Hard,,,,,
10,711,Encryption Methods,Assignment,,,,,,
5,1779,Memory Management,Quiz,Hard,,,,,
14,1746,Linked Lists,Lecture,,,,,,
12,652,Concurrency,Lecture,,,,,,
7,2049,Web Development Basics,Quiz,,,,,,
14,1777,Design Patterns,Lecture,,,,,,
12,1733,Search Algorithms,Quiz,Easy,,,,,
5,212,Introduction to the Course,Assignment,,,,,,
4,139,Big Data Overview,Lecture,,,,,,
13,1868,Design Patterns,Lecture,,,,,,
10,846,OOP Concepts,Quiz,Medium,,,,,
8,380,Dynamic Programming,Assignment,,,,,,
5,989,Indexing & Performance,Assignment,,,,,,
1,683,Concurrency,Lecture,,58.0,0.603,73.276,49.031,1.63
14,1477,Dynamic Programming,Quiz,,,,,,
12,1344,OOP Concepts,Quiz,,,,,,
6,764,OS Scheduling,Quiz,Hard,61.0,0.639,75.016,57.225,5.72
13,207,Big Data Overview,Lecture,,49.0,0.571,71.041,50.631,2.53
13,368,Cybersecurity Fundamentals,Assignment,,,,,,
15,1954,SQL Joins,Assignment,,,,,,
4,716,Data Structures Overview,Quiz,,,,,,
15,304,Design Patterns,Lecture,,,,,,
8,1802,OOP Concepts,Lecture,,,,,,
13,1695,Trees and Graphs,Quiz,,,,,,
5,493,Indexing & Performance,Lecture,,,,,,
9,1641,Web Development Basics,Quiz,Hard,,,,,
5,1009,Neural Networks,Lecture,,,,,,
4,571,Indexing & Performance,Assignment,,,,,,
7,1511,Search Algorithms,Lecture,,,,,,
13,1401,Memory Management,Lecture,,,,,,
2,449,OOP Concepts,Lecture,,,,,,
9,1757,Cloud Architecture,Lecture,,,,,,
6,1555,Indexing & Performance,Quiz,Hard,63.0,0.635,75.841,50.997,0.85
14,922,REST APIs,Lecture,,,,,,
8,1884,Design Patterns,Assignment,,,,,,
1,1305,REST APIs,Lecture,,,,,,
1,774,Big Data Overview,Assignment,,,,,,
8,1540,Ethics in AI,Lecture,,,,,,
1,1910,Introduction to the Course,Lecture,,,,,,
14,1807,SQL Joins,Quiz,Easy,,,,,
14,1342,Trees and Graphs,Lecture,,,,,,
11,1599,Design Patterns,Quiz,Hard,53.0,0.566,72.698,47.526,9.51
10,1586,Database Normalization,Quiz,Medium,,,,,
14,1037,Search Algorithms,Lecture,,51.0,0.569,70.765,52.59,2.63
14,138,Computer Vision Intro,Quiz,Easy,,,,,
9,833,Neural Networks,Quiz,Medium,,,,,
11,1519,Dynamic Programming,Lecture,,40.0,0.65,78.575,44.818,2.99
14,1086,Web Development Basics,Lecture,,,,,,
14,1759,Big Data Overview,Lecture,,,,,,
8,243,Design Patterns,Lecture,,,,,,
7,1559,Design Patterns,Assignment,,,,,,
10,1579,Neural Networks,Assignment,,,,,,
15,829,Network Protocols,Lecture,,,,,,
12,1423,Encryption Methods,Lecture,,,,,,
15,1983,Python for Data Science,Assignment,,,,,,
9,2200,Design Patterns,Quiz,Medium,,,,,
12,135,Design Patterns,Assignment,,,,,,
9,1875,Memory Management,Lecture,,54.0,0.5,66.333,49.53,1.1
11,452,Trees and Graphs,Assignment,,63.0,0.587,79.524,50.411,10.08
10,1838,Database Normalization,Quiz,,,,,,
3,353,Sorting Algorithms,Lecture,,,,,,
10,1422,Linked Lists,Lecture,,,,,,
15,1934,Database Normalization,Assignment,,,,,,
14,1170,Concurrency,Lecture,,,,,,
4,1537,Web Development Basics,Lecture,,,,,,
4,1801,Memory Management,Lecture,,,,,,
7,343,OOP Concepts,Lecture,,,,,,
7,2056,Introduction to the Course,Quiz,Medium,,,,,
12,1624,Indexing & Performance,Lecture,,,,,,
5,2191,OOP Concepts,Lecture,,,,,,
11,1878,Search Algorithms,Lecture,,,,,,
15,700,Trees and Graphs,Lecture,,,,,,
15,259,Sorting Algorithms,Lecture,,,,,,
2,735,Web Development Basics,Lecture,,,,,,
3,1424,Cybersecurity Fundamentals,Quiz,Hard,52.0,0.5,62.923,51.579,1.15
13,937,Data Structures Overview,Lecture,,,,,,
12,280,Design Patterns,Lecture,,53.0,0.528,68.491,53.819,10.76
8,569,Database Normalization,Assignment,,,,,,
15,868,Cloud Architecture,Lecture,,,,,,
10,72,Cybersecurity Fundamentals,Lecture,,67.0,0.627,76.97,44.282,8.86
7,814,Python for Data Science,Quiz,Hard,,,,,
13,1831,Big Data Overview,Lecture,,54.0,0.426,60.889,51.354,3.42
2,126,Encryption Methods,Quiz,Hard,,,,,
9,1613,OS Scheduling,Lecture,,,,,,
9,274,Linked Lists,Quiz,,,,,,
15,330,Neural Networks,Quiz,Hard,,,,,
7,1602,Design Patterns,Lecture,,38.0,0.5,70.421,44.368,2.96
8,2043,Encryption Methods,Lecture,,,,,,
3,1538,SQL Joins,Assignment,,,,,,
10,469,Introduction to the Course,Lecture,,,,,,
10,1455,Neural Networks,Lecture,,,,,,
1,241,Search Algorithms,Lecture,,,,,,
9,2135,Memory Management,Lecture,,,,,,
12,242,Computer Vision Intro,Lecture,,,,,,
6,1507,Web Development Basics,Lecture,,,,,,
2,2184,Cybersecurity Fundamentals,Lecture,,45.0,0.489,60.178,52.282,5.23
14,544,Concurrency,Lecture,,,,,,
4,1945,Computer Vision Intro,Quiz,Easy,,,,,
2,349,Untitled,Lecture,,45.0,0.533,66.756,56.407,
13,630,SQL Joins,Assignment,,,,,,
10,1078,Memory Management,Lecture,,,,,,
2,987,Introduction to the Course,Lecture,,,,,,
11,1834,Network Protocols,Lecture,,,,,,
15,1714,Ethics in AI,Lecture,,,,,,
2,1249,Trees and Graphs,Lecture,,52.0,0.577,71.558,52.598,1.75
3,1456,Cybersecurity Fundamentals,Quiz,Easy,36.0,0.444,67.833,48.631,9.73
11,919,Neural Networks,Assignment,,,,,,
3,103,Concurrency,Lecture,,57.0,0.561,75.298,49.919,1.11
7,1460,Cloud Architecture,Quiz,Hard,,,,,
5,579,Python for Data Science,Lecture,,,,,,
13,995,Sorting Algorithms,Assignment,,,,,,
2,805,Data Structures Overview,Assignment,,,,,,
2,976,Big Data Overview,Lecture,,,,,,
15,2206,Database Normalization,Assignment,,47.0,0.681,76.468,49.749,3.32
2,1468,SQL Joins,Lecture,,,,,,
1,344,Search Algorithms,Quiz,,,,,,
9,264,Cybersecurity Fundamentals,Lecture,,,,,,
9,940,Design Patterns,Quiz,,,,,,
14,462,Computer Vision Intro,Lecture,,44.0,0.591,75.455,54.225,0.9
13,294,Introduction to the Course,Quiz,Easy,,,,,
10,1790,Introduction to the Course,Lecture,,,,,,
14,1921,Data Structures Overview,Lecture,,45.0,0.622,74.978,53.342,2.67
14,693,Search Algorithms,Quiz,Medium,,,,,
8,704,Python for Data Science,Lecture,,,,,,
1,1635,Network Protocols,Quiz,,,,,,
14,964,Linked Lists,Assignment,,,,,,
8,1563,REST APIs,Lecture,,40.0,0.45,67.075,50.87,
12,290,Neural Networks,Quiz,Medium,,,,,
8,2126,Data Structures Overview,Assignment,,,,,,
12,41,Machine Learning Basics,Lecture,,,,,,
1,1705,SQL Joins,Quiz,Hard,48.0,0.542,67.729,45.202,4.52
