InstructorId,Id,Title,DepartmentName,ActualEnrolledCount,CreditHours,AvgQuizScore,QuizPassRate,CompletionRate,TotalAttempts
6,1,Cyber Security Fundamentals,Computer Science,63,4,67.92,0.28,0.59,32.0
1,2,Machine Learning,Computer Science,66,3,50.08,0.32,0.65,106.0
5,3,Data Structures,Cyber Security,69,2,0.0,0.0,0.56,0.0
15,4,Computer Networks,Artificial Intelligence,75,2,50.81,0.33,0.57,132.0
12,5,Discrete Mathematics,Artificial Intelligence,55,4,69.94,0.59,0.0,27.0
14,6,Artificial Intelligence,Computer Science,62,3,0.0,0.0,0.0,0.0
12,7,Operating Systems,Cyber Security,54,2,0.0,0.0,0.54,0.0
7,8,Data Science,Computer Science,62,3,49.08,0.33,0.52,54.0
8,9,Artificial Intelligence,Artificial Intelligence,64,6,51.12,0.29,0.52,68.0
5,10,Operating Systems,Artificial Intelligence,0,4,0.0,0.0,0.52,0.0
2,11,Computer Networks,Artificial Intelligence,69,3,0.0,0.0,0.54,0.0
15,12,Discrete Mathematics,Computer Science,68,4,0.0,0.0,0.0,0.0
7,13,Software Engineering,Artificial Intelligence,0,3,48.95,0.25,0.54,69.0
11,14,Computer Architecture,Computer Science,57,1,55.44,0.44,0.0,16.0
7,15,Discrete Mathematics,Artificial Intelligence,0,2,0.0,0.0,0.0,0.0
15,16,Algorithms,Artificial Intelligence,70,3,55.7,0.31,0.53,130.0
13,17,Operating Systems,Artificial Intelligence,0,1,35.46,0.05,0.49,22.0
8,18,Computer Networks,Cyber Security,63,3,0.0,0.0,0.57,0.0
3,19,Machine Learning,Artificial Intelligence,0,6,56.8,0.36,0.49,188.0
2,20,Computer Architecture,Computer Science,69,6,52.69,0.3,0.53,144.0
13,21,Algorithms,Cyber Security,65,3,0.0,0.0,0.62,0.0
3,22,Data Science,Computer Science,61,4,0.0,0.0,0.57,0.0
3,23,Data Structures,Computer Science,64,4,56.92,0.33,0.55,61.0
3,24,Cloud Computing,Artificial Intelligence,62,3,0.0,0.0,0.53,0.0
10,25,Cloud Computing,Artificial Intelligence,64,3,0.0,0.0,0.62,0.0
6,26,Mobile App Development,Computer Science,77,6,0.0,0.0,0.49,0.0
8,27,Cloud Computing,Artificial Intelligence,0,2,58.28,0.38,0.59,64.0
3,28,Mobile App Development,Computer Science,65,4,50.2,0.27,0.53,146.0
8,29,Algorithms,Cyber Security,71,2,46.02,0.26,0.55,89.0
15,30,Machine Learning,Artificial Intelligence,60,4,55.13,0.26,0.53,46.0
3,31,Computer Architecture,Cyber Security,76,4,49.38,0.3,0.56,112.0
15,32,Computer Architecture,Artificial Intelligence,76,3,46.06,0.31,0.54,52.0
14,33,Data Science,Computer Science,66,4,50.76,0.31,0.57,121.0
5,34,Algorithms,Cyber Security,59,2,0.0,0.0,0.54,0.0
14,35,Data Structures,Artificial Intelligence,55,2,0.0,0.0,0.55,0.0
10,36,Software Engineering,Cyber Security,71,3,0.0,0.0,0.51,0.0
15,37,Database Systems,Cyber Security,65,6,41.77,0.19,0.62,58.0
4,38,Database Systems,Artificial Intelligence,62,2,0.0,0.0,0.53,0.0
12,39,Computer Networks,Artificial Intelligence,0,2,47.11,0.26,0.5,76.0
10,40,Discrete Mathematics,Computer Science,54,3,51.45,0.3,0.55,156.0
10,41,Database Systems,Computer Science,67,4,48.9,0.24,0.6,63.0
2,42,Web Development,Artificial Intelligence,0,2,0.0,0.0,0.54,0.0
12,43,Database Systems,Cyber Security,55,2,49.44,0.36,0.54,111.0
6,44,Database Systems,Artificial Intelligence,0,3,0.0,0.0,0.56,0.0
4,45,Discrete Mathematics,Artificial Intelligence,0,4,0.0,0.0,0.58,0.0
7,46,Mobile App Development,Artificial Intelligence,73,6,0.0,0.0,0.54,0.0
14,47,Machine Learning,Computer Science,65,2,0.0,0.0,0.55,0.0
7,48,Data Structures,Cyber Security,68,4,51.63,0.28,0.57,145.0
10,49,Data Structures,Artificial Intelligence,75,3,58.17,0.41,0.62,37.0
10,50,Discrete Mathematics,Artificial Intelligence,64,2,0.0,0.0,0.0,0.0
