InstructorId,Courses,Avg_CompletionRate,Avg_AvgQuizScore,Avg_QuizPassRate,EffectivenessScore
12,14,0.503,41.67,0.248,0.389
15,16,0.496,37.614,0.216,0.363
8,11,0.461,36.544,0.208,0.345
1,11,0.51,32.285,0.194,0.342
14,15,0.52,32.559,0.178,0.341
4,11,0.516,31.791,0.175,0.336
3,13,0.492,32.714,0.184,0.334
5,10,0.56,28.369,0.156,0.333
7,9,0.481,33.389,0.183,0.333
13,16,0.498,32.774,0.161,0.329
11,13,0.481,32.725,0.177,0.328
9,9,0.444,34.827,0.189,0.327
2,10,0.437,30.375,0.173,0.305
10,30,0.488,25.712,0.142,0.296
6,12,0.381,32.179,0.174,0.292
