StudentId,TotalSubmissions,LateSubmissions,LateRate
4979,1,1,1.0
4976,1,1,1.0
4596,1,1,1.0
663,1,1,1.0
4164,1,1,1.0
4357,1,1,1.0
4393,1,1,1.0
4387,3,3,1.0
406,1,1,1.0
378,1,1,1.0
340,1,1,1.0
288,1,1,1.0
287,2,2,1.0
4831,1,1,1.0
4814,1,1,1.0
2370,1,1,1.0
4230,1,1,1.0
4292,1,1,1.0
797,2,2,1.0
923,1,1,1.0
794,1,1,1.0
4135,1,1,1.0
4113,1,1,1.0
4082,1,1,1.0
4070,1,1,1.0
780,1,1,1.0
1207,1,1,1.0
1151,1,1,1.0
982,1,1,1.0
1290,1,1,1.0
4067,3,3,1.0
3990,2,2,1.0
3997,1,1,1.0
4058,2,2,1.0
3616,1,1,1.0
3627,1,1,1.0
1510,1,1,1.0
3759,1,1,1.0
3913,1,1,1.0
3945,1,1,1.0
965,1,1,1.0
975,1,1,1.0
3421,1,1,1.0
1827,1,1,1.0
1802,1,1,1.0
1784,1,1,1.0
1672,1,1,1.0
3480,2,2,1.0
3467,1,1,1.0
3454,1,1,1.0
1478,1,1,1.0
1372,1,1,1.0
1558,1,1,1.0
3515,1,1,1.0
3574,1,1,1.0
3615,1,1,1.0
1342,2,2,1.0
1370,1,1,1.0
1882,1,1,1.0
2807,1,1,1.0
2843,1,1,1.0
1879,1,1,1.0
2686,1,1,1.0
2677,1,1,1.0
2098,1,1,1.0
2060,1,1,1.0
2914,2,2,1.0
2894,1,1,1.0
2892,1,1,1.0
2867,1,1,1.0
3110,1,1,1.0
2965,1,1,1.0
2942,1,1,1.0
1619,2,2,1.0
2242,1,1,1.0
2780,1,1,1.0
65,1,1,1.0
2250,2,2,1.0
345,1,1,1.0
4811,1,1,1.0
4912,1,1,1.0
2549,1,1,1.0
2672,1,1,1.0
2667,1,1,1.0
2561,1,1,1.0
2569,1,1,1.0
2108,3,3,1.0
2181,1,1,1.0
2185,1,1,1.0
2208,1,1,1.0
2531,1,1,1.0
3371,6,5,0.833
2726,5,4,0.8
471,5,4,0.8
2198,4,3,0.75
4634,4,3,0.75
2699,4,3,0.75
2115,4,3,0.75
2409,4,3,0.75
645,4,3,0.75
1117,4,3,0.75
1618,4,3,0.75
4752,6,4,0.667
666,3,2,0.667
673,6,4,0.667
4509,3,2,0.667
647,3,2,0.667
1648,3,2,0.667
1796,6,4,0.667
3938,3,2,0.667
3721,3,2,0.667
1791,3,2,0.667
3715,3,2,0.667
3670,3,2,0.667
4274,3,2,0.667
776,3,2,0.667
4127,3,2,0.667
4368,3,2,0.667
777,3,2,0.667
3823,3,2,0.667
3003,3,2,0.667
3123,3,2,0.667
2771,3,2,0.667
2710,3,2,0.667
2041,3,2,0.667
2832,3,2,0.667
1986,3,2,0.667
2022,3,2,0.667
2911,6,4,0.667
2078,3,2,0.667
2638,3,2,0.667
2595,3,2,0.667
2156,3,2,0.667
2174,3,2,0.667
4911,3,2,0.667
2258,3,2,0.667
2324,3,2,0.667
239,3,2,0.667
72,5,3,0.6
2305,5,3,0.6
4899,5,3,0.6
2231,5,3,0.6
3152,5,3,0.6
4513,5,3,0.6
4998,5,3,0.6
4663,5,3,0.6
1301,5,3,0.6
3486,5,3,0.6
3256,5,3,0.6
58,5,3,0.6
4514,5,3,0.6
4449,5,3,0.6
293,2,1,0.5
4872,2,1,0.5
4887,2,1,0.5
4848,4,2,0.5
260,4,2,0.5
325,2,1,0.5
317,4,2,0.5
2261,4,2,0.5
4967,2,1,0.5
2292,4,2,0.5
2312,2,1,0.5
4921,6,3,0.5
4813,4,2,0.5
2351,2,1,0.5
2364,2,1,0.5
2392,2,1,0.5
2407,4,2,0.5
2471,2,1,0.5
2478,2,1,0.5
2496,2,1,0.5
4788,2,1,0.5
4923,4,2,0.5
4954,2,1,0.5
2548,2,1,0.5
2605,4,2,0.5
2665,2,1,0.5
2106,6,3,0.5
2314,4,2,0.5
2337,2,1,0.5
2163,4,2,0.5
2113,6,3,0.5
2200,2,1,0.5
