QuizId,AvgAttempts,PassRate,TotalStudents,Title,CourseId
1978,1.812,0.312,33,Data Structures Overview,184.0
1675,1.79,0.296,35,Machine Learning Basics,156.0
1021,1.78,0.237,26,Memory Management,98.0
1190,1.778,0.309,34,Untitled,114.0
1607,1.778,0.296,24,Machine Learning Basics,151.0
1225,1.778,0.306,32,Python for Data Science,117.0
43,1.768,0.286,25,Data Structures Overview,4.0
87,1.765,0.294,30,Encryption Methods,9.0
752,1.761,0.254,32,Concurrency,74.0
802,1.758,0.258,31,OS Scheduling,79.0
510,1.758,0.288,29,Untitled,48.0
1938,1.758,0.306,28,Memory Management,181.0
1371,1.75,0.297,29,Search Algorithms,129.0
1659,1.75,0.341,41,Web Development Basics,155.0
1972,1.746,0.254,29,Design Patterns,184.0
636,1.74,0.36,23,Neural Networks,63.0
32,1.737,0.355,35,Dynamic Programming,4.0
1500,1.73,0.27,35,Big Data Overview,142.0
1080,1.729,0.329,32,SQL Joins,105.0
196,1.727,0.273,26,Linked Lists,20.0
1685,1.726,0.219,33,Neural Networks,157.0
1864,1.725,0.255,48,Sorting Algorithms,173.0
176,1.722,0.322,42,REST APIs,19.0
1732,1.717,0.302,48,OOP Concepts,161.0
2141,1.714,0.398,45,REST APIs,19.0
1669,1.71,0.29,30,Cybersecurity Fundamentals,156.0
1188,1.71,0.275,34,Data Structures Overview,114.0
939,1.708,0.25,35,Concurrency,90.0
1189,1.708,0.319,34,Sorting Algorithms,114.0
1079,1.708,0.246,30,Ethics in AI,105.0
1499,1.708,0.326,42,Network Protocols,142.0
1564,1.706,0.265,33,Big Data Overview,147.0
954,1.701,0.224,32,Computer Vision Intro,91.0
587,1.701,0.224,33,Ethics in AI,56.0
2155,1.7,0.317,28,Dynamic Programming,28.0
1042,1.699,0.274,35,Machine Learning Basics,100.0
435,1.698,0.238,30,Big Data Overview,41.0
286,1.698,0.233,42,Introduction to the Course,28.0
795,1.693,0.213,37,Python for Data Science,78.0
863,1.692,0.286,44,Encryption Methods,84.0
1070,1.688,0.286,37,Cloud Architecture,103.0
1890,1.688,0.288,37,Introduction to the Course,176.0
351,1.688,0.203,31,Memory Management,33.0
1118,1.686,0.314,25,Indexing & Performance,108.0
2124,1.686,0.279,41,Ethics in AI,199.0
410,1.684,0.263,37,Cybersecurity Fundamentals,39.0
411,1.681,0.319,36,Ethics in AI,40.0
1656,1.679,0.283,26,Concurrency,155.0
1927,1.674,0.279,21,Machine Learning Basics,181.0
1489,1.673,0.255,27,Trees and Graphs,141.0
1493,1.672,0.343,35,SQL Joins,141.0
1772,1.672,0.224,33,Memory Management,165.0
1150,1.672,0.224,32,Database Normalization,111.0
2212,1.671,0.282,41,Concurrency,65.0
11,1.671,0.278,38,Machine Learning Basics,2.0
1936,1.667,0.298,29,Cloud Architecture,181.0
655,1.662,0.221,34,Concurrency,65.0
1344,1.661,0.306,33,OOP Concepts,128.0
1095,1.659,0.318,44,Dynamic Programming,106.0
535,1.659,0.305,41,Untitled,51.0
1503,1.653,0.367,25,Computer Vision Intro,143.0
1677,1.651,0.349,33,Encryption Methods,156.0
893,1.65,0.317,31,Sorting Algorithms,86.0
745,1.649,0.299,40,Introduction to the Course,74.0
1048,1.648,0.338,37,Dynamic Programming,101.0
518,1.646,0.278,40,Encryption Methods,48.0
1351,1.636,0.143,41,REST APIs,128.0
595,1.635,0.365,28,Machine Learning Basics,58.0
817,1.634,0.211,36,Ethics in AI,80.0
1289,1.627,0.305,31,REST APIs,120.0
1505,1.625,0.319,38,Dynamic Programming,143.0
1570,1.625,0.359,32,Machine Learning Basics,148.0
2192,1.625,0.328,33,Ethics in AI,56.0
277,1.625,0.375,34,Sorting Algorithms,27.0
878,1.623,0.226,29,Computer Vision Intro,85.0
2079,1.622,0.356,23,Cybersecurity Fundamentals,194.0
328,1.622,0.311,39,Network Protocols,31.0
576,1.619,0.238,21,,
726,1.618,0.164,29,Ethics in AI,72.0
871,1.618,0.218,29,Indexing & Performance,85.0
2056,1.617,0.35,32,Introduction to the Course,191.0
1264,1.615,0.262,35,Neural Networks,119.0
620,1.61,0.22,31,Sorting Algorithms,61.0
888,1.607,0.304,30,Memory Management,86.0
1331,1.6,0.22,27,Memory Management,127.0
2140,1.594,0.25,35,,
1719,1.581,0.27,40,OOP Concepts,160.0
1945,1.58,0.26,28,Computer Vision Intro,182.0
559,1.571,0.327,27,OOP Concepts,53.0
982,1.569,0.308,36,Linked Lists,93.0
122,1.565,0.246,38,Cybersecurity Fundamentals,13.0
389,1.552,0.19,33,REST APIs,37.0
1912,1.542,0.22,34,Encryption Methods,180.0
1916,1.54,0.302,37,Trees and Graphs,180.0
773,1.538,0.246,38,Network Protocols,76.0
999,1.514,0.2,21,,
610,1.493,0.29,40,Python for Data Science,60.0
657,1.483,0.267,37,Indexing & Performance,65.0
1665,1.41,0.328,36,Indexing & Performance,155.0
