StudentId,RiskScore,RiskLevel,AvgQuizScore,QuizPassRate,CompletionRate,ActionCount
1570,0.6868,High,0.0,0.0,0.0909,0.0
2946,0.6867,High,0.0,0.0,0.1111,0.0
4962,0.6867,High,0.0,0.0,0.1111,0.0
2483,0.6864,High,0.0,0.0,0.125,0.0
791,0.6864,High,0.0,0.0,0.125,0.0
84,0.6864,High,0.0,0.0,0.125,0.0
3070,0.6864,High,0.0,0.0,0.125,0.0
2266,0.686,High,0.0,0.0,0.1429,0.0
2640,0.686,High,0.0,0.0,0.1429,0.0
3382,0.686,High,0.0,0.0,0.1429,0.0
2534,0.6858,High,0.0,0.0,0.1538,0.0
2868,0.6854,High,0.0,0.0,0.1667,0.0
380,0.6854,High,0.0,0.0,0.1667,0.0
1223,0.6854,High,0.0,0.0,0.1667,0.0
2778,0.6854,High,0.0,0.0,0.1667,0.0
2299,0.6854,High,0.0,0.0,0.1667,0.0
4015,0.6854,High,0.0,0.0,0.1667,0.0
1428,0.6854,High,0.0,0.0,0.1667,0.0
150,0.6854,High,0.0,0.0,0.1667,0.0
96,0.6842,High,0.0,0.0,0.2,0.0
1960,0.6842,High,0.0,0.0,0.2,0.0
3140,0.6842,High,0.0,0.0,0.2,0.0
2728,0.6842,High,0.0,0.0,0.2,0.0
4501,0.6842,High,0.0,0.0,0.2,0.0
3884,0.6842,High,0.0,0.0,0.2,0.0
3582,0.6842,High,0.0,0.0,0.2,0.0
4934,0.6842,High,0.0,0.0,0.2,0.0
1431,0.6842,High,0.0,0.0,0.2,0.0
2857,0.6842,High,0.0,0.0,0.2,0.0
4417,0.6842,High,0.0,0.0,0.2,0.0
3931,0.6842,High,0.0,0.0,0.2,0.0
1405,0.6842,High,0.0,0.0,0.2,0.0
4994,0.6842,High,0.0,0.0,0.2,0.0
715,0.6833,High,0.0,0.0,0.2143,0.0
925,0.6827,High,0.0,0.0,0.2222,0.0
1821,0.6827,High,0.0,0.0,0.2222,0.0
3930,0.6827,High,0.0,0.0,0.2222,0.0
2704,0.6827,High,0.0,0.0,0.2222,0.0
387,0.6827,High,0.0,0.0,0.2222,0.0
4887,0.6827,High,0.0,0.0,0.2222,0.0
4140,0.6827,High,0.0,0.0,0.2222,0.0
184,0.6827,High,0.0,0.0,0.2222,0.0
344,0.6827,High,0.0,0.0,0.2222,0.0
4419,0.6821,High,0.0,0.0,0.2308,0.0
2845,0.6821,High,0.0,0.0,0.2353,0.0
2452,0.6804,High,0.0,0.0,0.25,0.0
2937,0.6804,High,0.0,0.0,0.25,0.0
4209,0.6804,High,0.0,0.0,0.25,0.0
1634,0.6804,High,0.0,0.0,0.25,0.0
4295,0.6804,High,0.0,0.0,0.25,0.0
1709,0.6804,High,0.0,0.0,0.25,0.0
3257,0.6804,High,0.0,0.0,0.25,0.0
814,0.6804,High,0.0,0.0,0.25,0.0
2455,0.6804,High,0.0,0.0,0.25,0.0
835,0.6804,High,0.0,0.0,0.25,0.0
3662,0.6804,High,0.0,0.0,0.25,0.0
2032,0.6804,High,0.0,0.0,0.25,0.0
1140,0.6804,High,0.0,0.0,0.25,0.0
43,0.6804,High,0.0,0.0,0.25,0.0
3007,0.6804,High,0.0,0.0,0.25,0.0
