CourseId,Title,DepartmentName,InstructorId,CreditHours,IsArchived
1,Cyber Security Fundamentals,Computer Science,6,4,False
2,Machine Learning,Computer Science,1,3,True
3,Data Structures,Cyber Security,5,2,True
4,Computer Networks,Artificial Intelligence,15,2,True
5,Discrete Mathematics,Artificial Intelligence,12,4,True
6,Artificial Intelligence,Computer Science,14,3,True
7,Operating Systems,Cyber Security,12,2,False
8,Data Science,Computer Science,7,3,True
9,Artificial Intelligence,Artificial Intelligence,8,6,False
10,Operating Systems,Artificial Intelligence,5,4,True
11,Computer Networks,Artificial Intelligence,2,3,True
12,Discrete Mathematics,Computer Science,15,4,True
13,Software Engineering,Artificial Intelligence,7,3,False
14,Computer Architecture,Computer Science,11,1,True
15,Discrete Mathematics,Artificial Intelligence,7,2,True
16,Algorithms,Artificial Intelligence,15,3,True
17,Operating Systems,Artificial Intelligence,13,1,True
18,Computer Networks,Cyber Security,8,3,True
19,Machine Learning,Artificial Intelligence,3,6,False
20,Computer Architecture,Computer Science,2,6,True
21,Algorithms,Cyber Security,13,3,False
22,Data Science,Computer Science,3,4,True
23,Data Structures,Computer Science,3,4,True
24,Cloud Computing,Artificial Intelligence,3,3,True
25,Cloud Computing,Artificial Intelligence,10,3,False
26,Mobile App Development,Computer Science,6,6,False
27,Cloud Computing,Artificial Intelligence,8,2,True
28,Mobile App Development,Computer Science,3,4,False
29,Algorithms,Cyber Security,8,2,True
30,Machine Learning,Artificial Intelligence,15,4,False
31,Computer Architecture,Cyber Security,3,4,True
32,Computer Architecture,Artificial Intelligence,15,3,False
33,Data Science,Computer Science,14,4,True
34,Algorithms,Cyber Security,5,2,True
35,Data Structures,Artificial Intelligence,14,2,False
36,Software Engineering,Cyber Security,10,3,False
37,Database Systems,Cyber Security,15,6,True
38,Database Systems,Artificial Intelligence,4,2,False
39,Computer Networks,Artificial Intelligence,12,2,False
40,Discrete Mathematics,Computer Science,10,3,False
41,Database Systems,Computer Science,10,4,False
42,Web Development,Artificial Intelligence,2,2,False
43,Database Systems,Cyber Security,12,2,False
44,Database Systems,Artificial Intelligence,6,3,False
45,Discrete Mathematics,Artificial Intelligence,4,4,True
46,Mobile App Development,Artificial Intelligence,7,6,True
47,Machine Learning,Computer Science,14,2,True
48,Data Structures,Cyber Security,7,4,True
49,Data Structures,Artificial Intelligence,10,3,True
50,Discrete Mathematics,Artificial Intelligence,10,2,False
51,Discrete Mathematics,Cyber Security,2,4,False
52,Operating Systems,Computer Science,3,3,False
53,Discrete Mathematics,Artificial Intelligence,11,1,False
54,Artificial Intelligence,Cyber Security,13,3,True
55,Computer Networks,Artificial Intelligence,6,4,True
56,Data Science,Computer Science,4,4,False
57,Web Development,Computer Science,1,3,True
58,Software Engineering,Cyber Security,12,2,True
59,Machine Learning,Computer Science,15,1,True
60,Algorithms,Artificial Intelligence,9,3,False
61,Mobile App Development,Cyber Security,13,2,False
62,Machine Learning,Computer Science,9,4,False
63,Computer Networks,Computer Science,13,2,False
64,Database Systems,Artificial Intelligence,10,3,True
65,Algorithms,Artificial Intelligence,10,4,True
66,Computer Architecture,Artificial Intelligence,13,3,False
67,Operating Systems,Computer Science,8,3,False
68,Computer Networks,Artificial Intelligence,14,2,False
69,Computer Networks,Computer Science,13,3,True
70,Operating Systems,Cyber Security,2,2,True
71,Algorithms,Artificial Intelligence,11,2,True
72,Artificial Intelligence,Artificial Intelligence,9,2,False
73,Web Development,Artificial Intelligence,12,4,False
74,Computer Architecture,Cyber Security,10,2,False
75,Data Science,Cyber Security,4,1,False
76,Computer Networks,Cyber Security,3,3,False
77,Mobile App Development,Computer Science,13,2,True
78,Artificial Intelligence,Artificial Intelligence,8,2,False
79,Cyber Security Fundamentals,Computer Science,13,3,False
80,Computer Architecture,Computer Science,15,4,True
81,Artificial Intelligence,Computer Science,7,4,False
82,Data Science,Artificial Intelligence,5,4,True
83,Machine Learning,Artificial Intelligence,13,2,False
84,Database Systems,Artificial Intelligence,14,1,True
85,Artificial Intelligence,Artificial Intelligence,1,1,False
86,Database Systems,Cyber Security,2,3,False
87,Web Development,Computer Science,10,2,False
88,Cloud Computing,Artificial Intelligence,10,4,True
89,Cyber Security Fundamentals,Computer Science,5,4,False
90,Discrete Mathematics,Artificial Intelligence,4,2,False
91,Computer Architecture,Cyber Security,8,3,False
92,Web Development,Artificial Intelligence,13,4,False
93,Machine Learning,Computer Science,11,3,False
94,Data Science,Artificial Intelligence,10,2,False
95,Software Engineering,Computer Science,13,2,True
96,Database Systems,Computer Science,6,4,False
97,Computer Networks,Artificial Intelligence,15,4,False
98,Machine Learning,Cyber Security,4,2,True
99,Mobile App Development,Cyber Security,14,3,True
100,Software Engineering,Computer Science,4,3,False
101,Web Development,Cyber Security,14,3,False
102,Discrete Mathematics,Artificial Intelligence,14,3,True
103,Web Development,Artificial Intelligence,15,4,True
104,Mobile App Development,Artificial Intelligence,3,1,True
105,Computer Networks,Artificial Intelligence,9,2,False
106,Software Engineering,Artificial Intelligence,14,4,False
