StudentId,DepartmentId,DepartmentName,YearId,SquadronId,TotalCreditLoad
3860,2,Artificial Intelligence,1,4,15
589,1,Computer Science,2,3,2
2482,1,Computer Science,4,1,5
4243,1,Computer Science,1,1,4
3840,2,Artificial Intelligence,1,3,4
1042,2,Artificial Intelligence,3,3,7
2079,1,Computer Science,1,2,0
1898,1,Computer Science,2,2,9
4996,1,Computer Science,3,4,0
2557,2,Artificial Intelligence,1,1,9
2162,3,Cyber Security,2,2,1
512,1,Computer Science,2,1,9
2569,1,Computer Science,2,5,7
4449,1,Computer Science,1,5,5
1490,2,Artificial Intelligence,1,5,4
3083,1,Computer Science,3,4,4
3087,1,Computer Science,4,3,8
2666,1,Computer Science,3,3,10
2726,2,Artificial Intelligence,1,4,3
1813,3,Cyber Security,4,2,31
2467,1,Computer Science,3,5,2
683,2,Artificial Intelligence,2,4,3
3621,1,Computer Science,3,4,0
2327,1,Computer Science,1,4,6
1276,2,Artificial Intelligence,1,5,3
1749,1,Computer Science,1,5,9
3289,1,Computer Science,1,2,15
4619,3,Cyber Security,3,5,4
1509,1,Computer Science,1,3,5
2529,2,Artificial Intelligence,1,1,1
4906,1,Computer Science,4,3,2
1948,1,Computer Science,2,5,2
4425,2,Artificial Intelligence,2,4,2
3282,1,Computer Science,2,4,4
1966,1,Computer Science,1,5,7
3985,1,Computer Science,2,1,3
4366,3,Cyber Security,4,4,3
4380,1,Computer Science,2,5,8
4108,1,Computer Science,2,1,6
3339,2,Artificial Intelligence,1,5,8
3742,1,Computer Science,3,5,12
1516,2,Artificial Intelligence,3,4,5
4961,2,Artificial Intelligence,1,4,4
3865,1,Computer Science,1,4,7
4038,2,Artificial Intelligence,1,3,6
3786,1,Computer Science,3,4,8
3564,1,Computer Science,3,5,7
4599,2,Artificial Intelligence,2,5,7
3628,2,Artificial Intelligence,1,4,3
4863,2,Artificial Intelligence,4,3,3
4722,2,Artificial Intelligence,3,1,9
4964,2,Artificial Intelligence,1,2,7
1076,1,Computer Science,4,2,5
3466,2,Artificial Intelligence,2,5,3
4858,2,Artificial Intelligence,4,3,11
3957,1,Computer Science,1,5,6
4052,1,Computer Science,1,5,6
4006,3,Cyber Security,2,1,15
4457,1,Computer Science,1,5,3
1394,1,Computer Science,2,3,4
2889,1,Computer Science,2,2,5
4405,2,Artificial Intelligence,4,1,2
455,1,Computer Science,1,5,8
1796,1,Computer Science,2,5,7
885,2,Artificial Intelligence,4,4,8
4275,1,Computer Science,3,2,0
1061,1,Computer Science,2,5,6
1688,3,Cyber Security,1,5,2
211,3,Cyber Security,3,3,0
2590,1,Computer Science,1,3,10
1206,3,Cyber Security,2,5,3
3858,1,Computer Science,4,4,0
4153,3,Cyber Security,4,4,3
280,2,Artificial Intelligence,2,4,1
1589,1,Computer Science,2,4,1
268,3,Cyber Security,1,1,0
419,1,Computer Science,1,1,10
602,1,Computer Science,3,4,6
1081,2,Artificial Intelligence,2,4,2
1068,1,Computer Science,4,3,0
2534,1,Computer Science,3,3,12
3763,1,Computer Science,4,4,2
165,1,Computer Science,2,2,0
4609,1,Computer Science,4,4,2
2286,2,Artificial Intelligence,4,4,0
4171,2,Artificial Intelligence,1,2,49
2843,1,Computer Science,1,5,7
1111,2,Artificial Intelligence,1,3,4
1331,3,Cyber Security,2,1,3
1465,1,Computer Science,4,5,16
1748,1,Computer Science,3,3,2
79,1,Computer Science,1,4,13
89,3,Cyber Security,4,1,5
939,1,Computer Science,1,3,7
3878,2,Artificial Intelligence,1,5,11
2794,1,Computer Science,1,4,4
1277,1,Computer Science,1,3,8
2166,1,Computer Science,1,1,4
4209,1,Computer Science,1,4,3
4546,1,Computer Science,1,5,15
1455,2,Artificial Intelligence,3,2,3
4,2,Artificial Intelligence,2,1,11
3125,2,Artificial Intelligence,1,5,7
1503,2,Artificial Intelligence,3,4,8
274,2,Artificial Intelligence,2,3,2
3682,1,Computer Science,4,4,7
4097,2,Artificial Intelligence,1,5,10
2522,1,Computer Science,3,3,3
367,3,Cyber Security,2,5,3
1972,1,Computer Science,2,5,5
4407,1,Computer Science,3,4,10
2101,2,Artificial Intelligence,1,4,6
4615,1,Computer Science,4,4,8
4671,1,Computer Science,1,2,2
2688,2,Artificial Intelligence,1,4,3
3672,1,Computer Science,4,5,9
1520,1,Computer Science,1,2,12
1067,2,Artificial Intelligence,2,4,8
3762,1,Computer Science,3,2,7
