Id,ActivityId,StudentId,Status,ProgressPercent,FirstAccessedAt,LastAccessedAt,TotalTimeSpentSeconds,CompletedAt,TotalTimeSpentSeconds_WasNull,LearningSpanDays,TotalTimeSpentMinutes,TimeSpent_Norm,ProgressPercent_Norm,IsCompleted,IsInProgress,Status_Enc
12187,447,105,InProgress,46,2025-02-17 23:45:23,,1572.0,,0,0.0,26.2,0.2117647058823529,0.46,0,1,1
25081,1375,3952,Completed,100,2024-01-07 13:42:32,2024-03-29 13:42:32,7027.0,2024-03-29 13:42:32,0,82.0,117.1,0.9757703081232492,1.0,1,0,0
16018,1970,4892,InProgress,13,2022-08-08 03:53:02,2022-10-13 03:53:02,2624.0,,0,66.0,43.7,0.3591036414565826,0.13,0,1,1
9266,1167,933,Completed,100,2023-07-15 02:18:31,2023-11-09 02:18:31,3576.0,2023-11-09 02:18:31,0,117.0,59.6,0.4924369747899159,1.0,1,0,0
6586,502,4473,Completed,100,2023-08-05 05:40:46,2023-12-02 05:40:46,1702.0,2023-12-02 05:40:46,0,119.0,28.4,0.2299719887955182,1.0,1,0,0
15614,723,1885,Completed,100,2023-07-05 07:38:59,2023-07-17 07:38:59,5427.0,2023-07-17 07:38:59,0,12.0,90.4,0.7516806722689076,1.0,1,0,0
19426,228,1867,Completed,100,2025-10-14 03:33:24,2025-12-15 03:33:24,3120.0,2025-12-15 03:33:24,0,62.0,52.0,0.4285714285714285,1.0,1,0,0
25589,1136,4409,Completed,100,2023-10-21 22:39:59,2023-10-30 22:39:59,5105.0,2023-10-30 22:39:59,0,9.0,85.1,0.7065826330532212,1.0,1,0,0
16635,1831,1562,InProgress,86,2023-01-29 15:37:41,2023-04-09 15:37:41,3226.0,,0,70.0,53.8,0.4434173669467786,0.86,0,1,1
24100,1905,4423,Completed,100,2022-10-30 19:14:17,2022-12-20 19:14:17,6449.0,2022-12-20 19:14:17,0,51.0,107.5,0.8948179271708683,1.0,1,0,0
18062,959,2105,Completed,100,2024-11-17 13:59:17,2025-03-02 13:59:17,2835.0,2025-03-02 13:59:17,0,105.0,47.2,0.3886554621848739,1.0,1,0,0
22194,272,4162,Completed,100,2022-06-09 00:38:28,2022-06-16 00:38:28,5171.0,2022-06-16 00:38:28,0,7.0,86.2,0.7158263305322129,1.0,1,0,0
26644,1647,3744,Completed,100,2024-02-21 20:39:28,,1898.0,2024-02-22 20:39:28,0,0.0,31.6,0.257422969187675,1.0,1,0,0
18831,1980,669,Completed,100,2022-08-31 04:57:38,2022-10-31 04:57:38,1872.0,2022-10-31 04:57:38,0,61.0,31.2,0.2537815126050419,1.0,1,0,0
1719,355,1857,Completed,100,2023-01-29 07:15:16,2023-03-17 07:15:16,2772.0,2023-03-17 07:15:16,0,47.0,46.2,0.3798319327731091,1.0,1,0,0
1299,2106,317,InProgress,58,2025-11-09 17:15:31,2026-02-08 17:15:31,1048.0,,0,91.0,17.5,0.138375350140056,0.58,0,1,1
11868,1262,3680,InProgress,77,2024-09-07 09:12:19,2024-10-16 09:12:19,2780.0,,1,39.0,46.3,0.3809523809523809,0.77,0,1,1
21785,737,585,InProgress,72,2025-09-16 19:49:57,2025-11-03 19:49:57,2582.0,,0,48.0,43.0,0.3532212885154061,0.72,0,1,1
7628,1295,4485,Completed,100,2022-06-21 21:49:11,2022-09-14 21:49:11,5774.0,2022-09-14 21:49:11,0,85.0,96.2,0.8002801120448179,1.0,1,0,0
21256,1029,3249,InProgress,24,2024-06-22 10:36:04,2024-09-16 10:36:04,186.0,,0,86.0,3.1,0.0176470588235294,0.24,0,1,1
5159,865,4436,InProgress,72,2022-09-04 14:04:08,,3153.0,,0,0.0,52.6,0.4331932773109243,0.72,0,1,1
19083,147,3888,InProgress,17,2025-12-16 18:57:15,2026-02-05 18:57:15,865.0,,0,51.0,14.4,0.1127450980392156,0.17,0,1,1
8640,183,2840,InProgress,60,2022-07-09 17:14:04,2022-11-05 17:14:04,2780.0,,1,119.0,46.3,0.3809523809523809,0.6,0,1,1
7336,281,2240,Completed,100,2025-06-23 13:34:47,2025-09-16 13:34:47,622.0,2025-09-16 13:34:47,0,85.0,10.4,0.0787114845938375,1.0,1,0,0
25258,166,700,InProgress,92,2025-03-05 04:11:56,2025-04-05 04:11:56,2104.0,,0,31.0,35.1,0.2862745098039215,0.92,0,1,1
10321,307,4058,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
9686,166,4737,InProgress,19,2024-05-31 20:02:08,2024-09-10 20:02:08,926.0,,0,102.0,15.4,0.1212885154061624,0.19,0,1,1
13678,2092,233,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
25028,1338,2444,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
18146,1335,4608,Completed,100,2024-11-08 11:18:08,2024-12-07 11:18:08,4526.0,2024-12-07 11:18:08,0,29.0,75.4,0.6254901960784314,1.0,1,0,0
8719,306,4579,Completed,100,2025-09-03 00:24:38,2025-11-20 00:24:38,4963.0,2025-11-20 00:24:38,0,78.0,82.7,0.6866946778711485,1.0,1,0,0
199,1809,2359,Completed,100,2022-07-29 02:38:22,2022-10-30 02:38:22,6183.0,2022-10-30 02:38:22,0,93.0,103.0,0.857563025210084,1.0,1,0,0
4825,390,1025,Completed,100,2022-07-28 10:40:12,2022-09-24 10:40:12,5824.0,2022-09-24 10:40:12,0,58.0,97.1,0.8072829131652661,1.0,1,0,0
2569,1651,3414,InProgress,10,2025-04-18 03:10:16,2025-08-16 03:10:16,947.0,,0,120.0,15.8,0.1242296918767507,0.1,0,1,1
10076,1703,2618,Completed,100,2023-08-07 07:56:12,,3704.0,2023-09-06 07:56:12,0,0.0,61.7,0.5103641456582633,1.0,1,0,0
19278,279,3122,Completed,100,2025-09-23 19:17:33,2025-12-04 19:17:33,1638.0,2025-12-04 19:17:33,0,72.0,27.3,0.2210084033613445,1.0,1,0,0
12130,448,3059,InProgress,38,2024-06-20 02:35:53,2024-08-19 02:35:53,1653.0,,0,60.0,27.6,0.2231092436974789,0.38,0,1,1
3735,965,3028,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
3136,1920,925,InProgress,61,2024-10-30 06:53:40,2024-12-04 06:53:40,1211.0,,0,35.0,20.2,0.161204481792717,0.61,0,1,1
15737,1259,4732,Completed,100,2023-12-17 20:39:04,2024-01-28 20:39:04,5472.0,2024-01-28 20:39:04,0,42.0,91.2,0.7579831932773109,1.0,1,0,0
6720,2077,4505,InProgress,39,2024-07-24 09:05:23,2024-09-28 09:05:23,1411.0,,0,66.0,23.5,0.1892156862745098,0.39,0,1,1
