ActivityId,AbandonedCount,AvgProgressAtAbandon,Title,ActivityType
169,26,42.73,Web Development Basics,Assignment
445,25,46.48,Linked Lists,Quiz
1107,24,51.92,Untitled,Lecture
1293,24,47.17,Data Structures Overview,Lecture
598,24,55.08,Computer Vision Intro,Assignment
2097,24,44.96,OS Scheduling,Lecture
342,24,49.42,Trees and Graphs,Quiz
327,24,52.62,Untitled,Quiz
968,24,36.21,REST APIs,Lecture
1951,24,53.46,Ethics in AI,Lecture
1111,23,39.87,Encryption Methods,Lecture
2026,23,59.61,Computer Vision Intro,Lecture
781,23,51.22,OOP Concepts,Assignment
220,23,54.96,Sorting Algorithms,Lecture
336,23,50.65,SQL Joins,Assignment
1892,23,53.57,Indexing & Performance,Quiz
1844,23,51.61,OOP Concepts,Assignment
390,23,48.52,Computer Vision Intro,Quiz
1575,23,50.13,Indexing & Performance,Quiz
1343,22,48.32,Web Development Basics,Lecture
1659,22,51.27,Web Development Basics,Quiz
2120,22,47.27,Search Algorithms,Lecture
1430,22,61.18,Computer Vision Intro,Assignment
1010,22,46.18,Computer Vision Intro,Lecture
300,21,48.24,Dynamic Programming,Lecture
2194,21,52.48,SQL Joins,Lecture
1229,21,47.9,Network Protocols,Assignment
161,21,55.43,Ethics in AI,Lecture
1633,21,49.29,Cybersecurity Fundamentals,Lecture
31,21,39.86,Web Development Basics,Lecture
696,21,45.0,Machine Learning Basics,Lecture
776,21,48.38,Sorting Algorithms,Quiz
1524,21,52.57,Database Normalization,Lecture
1671,20,45.05,Machine Learning Basics,Lecture
1405,20,45.35,Introduction to the Course,Assignment
1303,20,51.7,Network Protocols,Lecture
1043,20,49.2,Machine Learning Basics,Lecture
1210,20,51.95,Neural Networks,Lecture
667,20,54.15,SQL Joins,Lecture
646,20,53.55,OOP Concepts,Quiz
1931,20,55.25,Memory Management,Quiz
921,20,41.75,Untitled,Lecture
1831,20,49.4,Big Data Overview,Lecture
748,20,51.75,Indexing & Performance,Lecture
539,20,44.35,OS Scheduling,Lecture
492,20,55.7,Big Data Overview,Lecture
452,20,55.5,Trees and Graphs,Assignment
87,20,50.5,Encryption Methods,Quiz
2142,20,54.5,Big Data Overview,Quiz
2106,20,56.6,SQL Joins,Quiz
2173,20,59.55,Design Patterns,Assignment
30,20,45.5,OS Scheduling,Quiz
1611,19,39.53,Untitled,Lecture
2023,19,50.47,Encryption Methods,Lecture
71,19,52.58,Dynamic Programming,Lecture
