StudentId,AvgQuizScore,AvgGrade,QuizPassRate,CompletionRate,DepartmentName
2013,-168.0,0.0,0.0,0.6,Computer Science
3860,0.0,0.0,0.0,0.0,Artificial Intelligence
589,0.0,0.0,0.0,0.83,Computer Science
2482,0.0,14.0,0.0,0.4,Computer Science
4243,0.0,12.7,0.0,0.0,Computer Science
3840,0.0,0.0,0.0,1.0,Artificial Intelligence
1042,0.0,5.7,0.0,0.33,Artificial Intelligence
2079,0.0,11.48,0.0,0.0,Computer Science
4996,0.0,0.0,0.0,0.0,Computer Science
2557,0.0,0.0,0.0,0.0,Artificial Intelligence
512,0.0,1.5,0.0,0.6,Computer Science
2569,0.0,64.6,0.0,0.0,Computer Science
4449,0.0,26.9,0.0,0.73,Computer Science
1490,0.0,12.9,0.0,0.55,Artificial Intelligence
3087,0.0,0.0,0.0,0.0,Computer Science
2666,0.0,0.0,0.0,0.0,Computer Science
2726,0.0,11.82,0.0,0.0,Artificial Intelligence
1813,0.0,0.0,0.0,0.0,Cyber Security
683,0.0,0.0,0.0,0.0,Artificial Intelligence
3621,0.0,0.0,0.0,0.0,Computer Science
