StudentId,CourseId,ActivitiesTotal,ActivitiesDone,AvgProgress,AvgTimeMinutes,CompletionRate,Title
1,19,1,0,71.0,18.5,0.0,Machine Learning
1,24,1,1,100.0,11.3,1.0,Cloud Computing
1,48,1,1,100.0,71.7,1.0,Data Structures
1,62,1,1,100.0,95.4,1.0,Machine Learning
1,114,1,0,73.0,46.8,0.0,Mobile App Development
1,119,1,1,100.0,73.0,1.0,Cyber Security Fundamentals
1,120,1,1,100.0,5.8,1.0,Data Science
1,157,1,0,0.0,46.3,0.0,Mobile App Development
1,181,1,1,100.0,106.6,1.0,Operating Systems
2,19,2,1,91.5,36.15,0.5,Machine Learning
2,40,1,0,0.0,46.3,0.0,Discrete Mathematics
2,99,1,1,100.0,66.0,1.0,Mobile App Development
2,113,1,0,40.0,51.2,0.0,Database Systems
2,169,1,1,100.0,33.0,1.0,Cyber Security Fundamentals
2,198,1,1,100.0,27.1,1.0,Machine Learning
4,41,1,0,0.0,46.3,0.0,Database Systems
4,43,1,0,0.0,46.3,0.0,Database Systems
4,88,1,0,85.0,36.8,0.0,Cloud Computing
4,117,1,0,51.0,48.0,0.0,Data Structures
4,127,1,1,100.0,18.9,1.0,Computer Architecture
4,136,1,1,100.0,109.6,1.0,Operating Systems
5,4,1,0,77.0,56.8,0.0,Computer Networks
5,47,1,1,100.0,110.7,1.0,Machine Learning
5,63,1,0,27.0,44.9,0.0,Computer Networks
5,109,1,1,100.0,52.9,1.0,Artificial Intelligence
5,111,1,1,100.0,77.2,1.0,Cyber Security Fundamentals
5,157,1,1,100.0,35.3,1.0,Mobile App Development
5,180,1,1,100.0,82.8,1.0,Discrete Mathematics
6,4,2,1,50.0,72.55,0.5,Computer Networks
6,22,1,1,100.0,63.6,1.0,Data Science
6,37,1,1,100.0,102.6,1.0,Database Systems
6,38,1,0,38.0,16.3,0.0,Database Systems
6,62,1,1,100.0,36.8,1.0,Machine Learning
6,63,2,2,100.0,90.3,1.0,Computer Networks
6,98,1,1,100.0,46.3,1.0,Machine Learning
6,107,1,0,15.0,32.0,0.0,Software Engineering
6,121,1,0,52.0,25.2,0.0,Mobile App Development
6,125,1,1,100.0,110.6,1.0,Operating Systems
6,128,1,0,80.0,24.1,0.0,Artificial Intelligence
6,151,1,0,24.0,31.0,0.0,Software Engineering
6,153,1,0,80.0,6.7,0.0,Algorithms
7,22,1,0,26.0,50.4,0.0,Data Science
7,24,1,1,100.0,41.3,1.0,Cloud Computing
7,120,1,1,100.0,48.6,1.0,Data Science
7,136,1,0,36.0,18.2,0.0,Operating Systems
17,62,1,0,60.0,49.4,0.0,Machine Learning
17,89,1,1,100.0,54.8,1.0,Cyber Security Fundamentals
17,101,1,1,100.0,46.3,1.0,Web Development
17,103,1,1,100.0,35.5,1.0,Web Development
17,112,1,0,0.0,46.3,0.0,Operating Systems
17,113,1,0,80.0,29.0,0.0,Database Systems
17,128,1,0,0.0,46.3,0.0,Artificial Intelligence
17,138,1,0,67.0,8.9,0.0,Algorithms
17,146,1,1,100.0,21.1,1.0,Operating Systems
17,159,1,0,9.0,40.7,0.0,Data Science
17,166,1,1,100.0,17.8,1.0,Discrete Mathematics
17,177,1,1,100.0,35.5,1.0,Data Science
19,61,1,0,49.0,14.8,0.0,Mobile App Development
19,101,1,0,56.0,22.9,0.0,Web Development
19,120,1,0,43.0,27.0,0.0,Data Science
24,7,1,1,100.0,98.3,1.0,Operating Systems
24,19,1,0,37.0,18.5,0.0,Machine Learning
24,27,1,1,100.0,51.1,1.0,Cloud Computing
24,32,1,1,100.0,26.5,1.0,Computer Architecture
24,34,1,0,70.0,43.7,0.0,Algorithms
24,46,1,0,32.0,46.3,0.0,Mobile App Development
24,51,1,0,77.0,47.1,0.0,Discrete Mathematics
24,56,1,1,100.0,85.0,1.0,Data Science
24,66,1,0,85.0,11.8,0.0,Computer Architecture
