StudentId,Month,AvgScore,Attempts,PassRate
1,2023-04,56.5,1,1.0
1,2023-06,86.0,1,1.0
1,2023-07,36.4,1,0.0
1,2025-12,39.3,1,0.0
6,2023-03,87.2,1,1.0
6,2025-10,73.8,1,1.0
10,2022-12,30.0,1,0.0
12,2022-06,45.7,1,0.0
12,2023-12,1.0,1,0.0
12,2024-02,71.5,1,1.0
12,2025-09,26.8,1,0.0
12,2025-11,60.2,1,1.0
14,2022-11,46.1,2,0.5
14,2022-12,0.4,1,0.0
14,2023-10,76.0,1,1.0
14,2024-04,27.0,1,0.0
14,2024-06,9.0,1,0.0
14,2025-10,24.3,1,0.0
16,2023-05,66.6,1,1.0
16,2024-10,58.8,1,1.0
16,2024-12,74.4,1,1.0
20,2024-03,97.2,1,1.0
20,2025-07,85.2,1,1.0
20,2025-11,66.3,1,1.0
25,2022-06,2.6,1,0.0
25,2025-02,10.8,1,0.0
28,2022-06,14.0,1,0.0
28,2022-10,64.8,1,1.0
28,2024-04,12.0,1,0.0
28,2024-05,13.0,1,0.0
28,2025-02,90.2,1,1.0
29,2022-09,67.6,1,1.0
29,2023-03,66.4,1,1.0
29,2023-09,46.3,2,0.5
29,2024-10,42.0,1,0.0
29,2025-09,92.6,1,1.0
30,2024-12,72.0,1,1.0
30,2025-12,47.0,1,0.0
32,2022-06,66.4,1,1.0
32,2023-03,9.7,1,0.0
32,2023-05,97.2,1,1.0
32,2023-06,36.8,1,0.0
32,2023-10,100.0,1,1.0
32,2024-11,38.2,1,0.0
35,2022-10,86.8,1,1.0
35,2022-11,45.9,1,0.0
35,2023-03,64.0,1,1.0
35,2024-08,32.1,1,0.0
35,2024-12,49.6,1,0.0
36,2022-10,12.4,1,0.0
36,2023-02,4.0,1,0.0
36,2024-01,50.0,1,1.0
36,2024-03,39.4,1,0.0
36,2024-08,89.6,1,1.0
36,2024-11,2.0,1,0.0
41,2022-12,18.3,1,0.0
41,2023-12,12.0,1,0.0
41,2024-01,22.7,1,0.0
41,2024-12,8.8,1,0.0
41,2025-10,70.5,1,1.0
42,2022-07,70.0,1,1.0
42,2023-05,26.0,1,0.0
42,2025-11,25.0,1,0.0
45,2022-07,47.0,1,0.0
45,2025-05,17.2,1,0.0
47,2022-10,48.8,1,0.0
47,2022-12,31.5,1,0.0
47,2023-08,94.0,1,1.0
47,2023-10,22.4,1,0.0
47,2024-01,67.2,1,1.0
47,2025-09,53.0,2,0.5
59,2023-03,35.0,1,0.0
59,2023-04,59.0,1,1.0
59,2023-07,7.2,1,0.0
59,2024-04,82.5,2,1.0
59,2026-01,7.5,1,0.0
61,2024-08,55.6,1,1.0
68,2022-06,6.6,1,0.0
68,2022-09,58.0,1,1.0
68,2024-01,15.2,1,0.0
71,2023-08,41.1,1,0.0
71,2024-01,52.0,1,1.0
71,2024-02,95.2,1,1.0
71,2024-05,28.0,1,0.0
71,2024-07,92.8,1,1.0
71,2024-12,99.0,1,1.0
71,2025-08,58.0,1,1.0
71,2025-11,69.0,1,1.0
73,2023-04,77.4,1,1.0
73,2024-08,93.6,1,1.0
73,2025-10,86.6,1,1.0
76,2022-11,95.7,1,1.0
76,2023-10,75.2,1,1.0
76,2024-08,15.2,1,0.0
76,2025-04,20.8,1,0.0
76,2025-08,69.1,1,1.0
77,2022-10,79.0,1,1.0
77,2023-01,95.6,1,1.0
77,2024-07,56.3,2,0.5
77,2025-09,94.4,1,1.0
78,2022-07,99.0,1,1.0
78,2023-12,2.8,1,0.0
78,2024-12,33.4,1,0.0
78,2025-07,72.8,1,1.0
94,2022-09,32.0,1,0.0
95,2023-05,72.0,1,1.0
95,2024-08,19.4,1,0.0
95,2026-01,8.0,1,0.0
107,2024-03,84.0,1,1.0
107,2025-11,39.0,1,0.0
107,2026-01,24.0,1,0.0
110,2022-07,8.0,1,0.0
110,2022-10,22.1,1,0.0
110,2023-07,90.8,1,1.0
110,2024-09,89.0,1,1.0
110,2025-03,89.0,1,1.0
110,2025-09,73.3,1,1.0
110,2025-10,57.8,1,1.0
111,2022-07,93.6,1,1.0
111,2023-11,71.8,1,1.0
111,2025-01,47.0,1,0.0
111,2025-09,16.8,1,0.0
112,2022-08,94.5,1,1.0
112,2024-02,28.7,1,0.0
112,2024-06,41.4,1,0.0
116,2025-01,2.0,1,0.0
116,2025-08,88.0,1,1.0
117,2024-01,71.0,1,1.0
117,2024-10,20.0,1,0.0
117,2025-02,35.2,1,0.0
117,2025-07,68.8,1,1.0
118,2022-12,22.0,1,0.0
118,2025-01,16.4,1,0.0
118,2025-04,27.6,1,0.0
118,2025-11,59.2,1,1.0
121,2023-06,93.0,1,1.0
121,2023-12,95.4,1,1.0
121,2024-02,25.4,1,0.0
121,2024-05,0.4,1,0.0
121,2024-08,39.6,1,0.0
121,2024-10,98.0,1,1.0
121,2025-05,19.0,1,0.0
121,2025-12,35.8,1,0.0
121,2026-01,34.8,1,0.0
125,2022-07,8.2,1,0.0
125,2023-02,89.8,1,1.0
125,2023-08,49.0,1,0.0
125,2023-11,53.0,1,1.0
125,2024-01,22.0,1,0.0
127,2022-12,39.0,1,0.0
127,2023-09,28.2,1,0.0
127,2023-10,8.0,1,0.0
127,2024-02,16.0,1,0.0
127,2024-04,49.0,1,0.0
127,2025-02,62.2,1,1.0
128,2022-09,27.4,1,0.0
128,2024-01,73.0,1,1.0
128,2024-11,78.0,1,1.0
128,2025-12,5.6,1,0.0
130,2022-08,52.0,1,1.0
130,2025-04,14.0,1,0.0
133,2024-05,10.4,1,0.0
133,2024-12,26.3,1,0.0
133,2025-05,66.0,1,1.0
134,2024-09,68.5,1,1.0
154,2023-05,42.5,1,0.0
154,2025-01,34.8,1,0.0
155,2024-06,91.0,1,1.0
158,2023-07,23.0,1,0.0
158,2024-11,86.0,1,1.0
159,2022-10,82.0,1,1.0
159,2023-08,60.0,1,1.0
159,2024-01,53.6,1,1.0
159,2024-03,18.0,1,0.0
159,2024-09,73.2,1,1.0
159,2024-11,21.5,1,0.0
159,2025-01,44.2,1,0.0
159,2025-09,44.0,1,0.0
162,2022-10,91.5,1,1.0
162,2023-11,90.5,1,1.0
162,2024-03,35.0,1,0.0
163,2022-07,56.6,1,1.0
164,2024-07,81.1,1,1.0
164,2024-10,36.6,1,0.0
164,2025-02,72.0,1,1.0
164,2025-03,34.0,1,0.0
186,2026-01,65.6,1,1.0
189,2023-01,26.55,2,0.0
189,2023-09,5.1,1,0.0
189,2023-10,64.0,1,1.0
191,2022-10,34.0,1,0.0
191,2024-08,20.0,1,0.0
191,2025-11,40.0,1,0.0
193,2022-06,55.6,1,1.0
193,2022-12,93.6,1,1.0
193,2024-04,24.5,1,0.0
193,2024-10,46.5,1,0.0
196,2024-01,65.0,1,1.0
196,2024-07,55.0,2,0.5
196,2025-02,50.0,1,1.0
196,2025-07,82.0,1,1.0
