StudentId,AvgEfficiency,AvgScore,AvgTimeMinutes,TotalAttempts,EfficiencyTier
1,2.722,54.55,22.012,8,Medium
6,1.775,80.5,47.433,3,Low
10,0.318,30.0,48.971,7,Low
12,2.577,41.04,22.0,7,Medium
14,2.19,32.7,19.789,9,Low
16,7.034,66.6,36.888,8,High
20,12.732,82.9,16.017,6,High
22,,,10.85,2,
25,0.198,6.7,23.967,3,Low
28,2.18,38.8,19.957,7,Low
29,5.074,60.2,20.833,12,High
30,5.957,59.5,24.4,4,High
32,4.367,58.05,25.127,11,Medium
35,5.253,55.68,17.391,11,High
36,4.266,32.9,20.015,13,Medium
41,2.016,26.46,21.629,7,Low
42,4.13,40.333,18.1,7,Medium
45,2.694,32.1,24.989,9,Medium
47,4.905,52.843,20.96,10,High
50,,,50.5,3,
51,,,10.6,1,
59,6.114,45.617,18.054,13,High
61,2.346,55.6,25.9,5,Low
68,1.378,26.6,16.538,8,Low
71,5.121,66.888,27.019,16,High
73,4.393,85.867,24.76,5,Medium
76,2.443,55.2,28.15,6,Low
77,3.881,76.32,21.444,9,Medium
78,3.949,52.0,21.26,5,Medium
94,2.162,32.0,24.48,5,Low
95,22.222,33.133,30.45,6,High
107,3.523,49.0,16.367,3,Medium
110,3.409,61.429,17.02,10,Medium
111,17.114,57.3,16.4,6,High
112,14.594,54.867,7.3,3,High
116,1.045,45.0,28.762,8,Low
117,6.445,48.75,24.7,8,High
118,1.264,31.3,26.767,9,Low
121,2.108,49.044,24.675,16,Low
125,5.936,44.4,16.208,12,High
127,1.811,33.733,15.75,14,Low
128,3.774,46.0,21.57,10,Medium
130,13.238,33.0,18.2,4,High
133,3.27,34.233,11.486,7,Medium
134,16.707,68.5,13.767,3,High
154,9.53,38.65,5.4,2,High
155,65.0,91.0,1.4,1,High
158,2.64,54.5,15.425,4,Medium
159,2.674,49.562,26.208,12,Medium
162,5.972,72.333,23.388,8,High
163,4.717,56.6,17.283,6,Medium
164,2.498,55.925,36.45,4,Low
186,1.491,65.6,45.3,2,Low
189,3.332,30.55,14.471,7,Medium
191,13.449,31.333,2.933,3,High
193,1.641,55.05,38.07,10,Low
196,10.688,54.567,13.729,7,High
197,3.236,37.833,36.744,9,Medium
198,1.603,33.733,19.412,8,Low
