StudentId,QuizAttempts,AvgQuizScore,QuizPassRate,Submissions,AvgGrade,CompletionRate,ActionCount,LoginCount,CommentsCount,LikesGiven,LateRate,EnrolledCourseCount,TotalCreditLoad,AdmissionYear,DepartmentId,EngagementScore
3860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,15,2023,2,0.0
589,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,4.0,4.0,0.0,1,2,2022,1,0.0
2482,0.0,0.0,0.0,2.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,2,5,2024,1,0.0
4243,0.0,0.0,0.0,1.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2024,1,0.0
3840,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4,2022,2,0.0
1042,0.0,0.0,0.0,1.0,5.7,0.3333,0.0,0.0,1.0,2.0,0.0,2,7,2024,2,0.0
2079,0.0,0.0,0.0,5.0,11.48,0.0,0.0,0.0,0.0,0.0,0.4,0,0,2026,1,0.0
1898,2.0,56.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,3,9,2024,1,0.0
4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025,1,0.0
2557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,2024,2,0.0
2162,11.0,38.775,0.2727,0.0,0.0,0.7273,0.0,0.0,0.0,0.0,0.0,1,1,2024,3,0.0
512,0.0,0.0,0.0,2.0,1.5,0.6,0.0,0.0,6.0,4.0,0.0,4,9,2024,1,0.0
2569,0.0,0.0,0.0,1.0,64.6,0.0,0.0,0.0,0.0,0.0,1.0,3,7,2023,1,0.0
4449,0.0,0.0,0.0,5.0,26.9,0.7273,0.0,0.0,0.0,0.0,0.6,2,5,2023,1,0.0
1490,0.0,0.0,0.0,4.0,12.9,0.5455,0.0,0.0,3.0,4.0,0.0,1,4,2024,2,0.0
3083,3.0,49.4,0.0,1.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2025,1,0.0
3087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2026,1,0.0
2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,2025,1,0.0
2726,0.0,0.0,0.0,5.0,11.82,0.0,0.0,0.0,0.0,0.0,0.8,2,3,2022,2,0.0
1813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12,31,2023,3,0.0
2467,1.0,44.6,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,1,2,2021,1,0.0
683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1,3,2025,2,0.0
3621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2021,1,0.0
2327,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.333,2,6,2023,1,0.0
