StudentId,OverallRank,DeptRank,SquadronRank,CompositeScore,AvgQuizScore,AvgGrade,QuizPassRate,CompletionRate,DepartmentName,SquadronId
1765,1,1,1,0.748,89.6,0.0,0.1429,1.0,Artificial Intelligence,5
4979,2,2,2,0.7473,67.55,88.1,0.2,0.7778,Artificial Intelligence,5
4077,3,1,1,0.7354,88.3,34.4667,0.4444,0.75,Computer Science,3
4596,4,2,1,0.7304,89.0,73.5,0.3333,0.4615,Computer Science,2
4749,5,3,3,0.7255,85.1,0.0,0.5,1.0,Computer Science,5
1336,6,4,2,0.7182,100.0,0.0,0.5,0.7273,Computer Science,3
2653,7,5,1,0.706,93.2,0.0,0.1667,0.8,Computer Science,1
1079,8,6,4,0.7012,88.1,30.35,0.5,0.6667,Computer Science,5
4908,9,3,2,0.6909,89.75,4.4,0.6667,0.7778,Artificial Intelligence,2
4215,10,7,3,0.688,92.0,14.0,1.0,0.6667,Computer Science,2
1878,11,8,5,0.685,95.0,0.0,0.3333,0.7,Computer Science,5
4521,12,9,3,0.684,86.8,0.0,0.625,0.8333,Computer Science,3
4888,13,4,4,0.6819,79.1,23.2,0.6667,0.8,Artificial Intelligence,3
898,14,5,4,0.6539,76.9,22.1833,0.4,0.75,Artificial Intelligence,2
2251,15,10,2,0.6496,93.0,0.0,0.3333,0.6154,Computer Science,1
3243,16,6,5,0.6489,100.0,24.45,1.0,0.3333,Artificial Intelligence,3
4660,17,11,6,0.6461,69.2286,0.0,0.5556,1.0,Computer Science,3
4968,18,12,6,0.6433,71.3333,10.0,0.4286,0.8889,Computer Science,5
796,19,1,5,0.64,61.3,16.775,0.2857,1.0,Cyber Security,2
3934,20,13,3,0.6373,82.4667,0.0,0.5,0.75,Computer Science,1
3421,21,14,7,0.6362,80.1,14.0,0.75,0.6923,Computer Science,3
1506,22,7,6,0.636,66.8857,0.8,0.5,1.0,Artificial Intelligence,2
73,23,8,1,0.6356,85.8667,0.0,0.6,0.6875,Artificial Intelligence,4
4672,24,15,8,0.6354,92.8,0.0,0.5,0.5714,Computer Science,3
2264,25,9,7,0.633,66.6,0.0,0.5,1.0,Artificial Intelligence,5
4971,26,2,8,0.6325,77.75,0.0,0.3333,0.8125,Cyber Security,5
917,27,10,9,0.6318,75.95,13.525,0.6667,0.75,Artificial Intelligence,3
4900,28,11,9,0.6314,88.5,19.4667,0.3333,0.5,Artificial Intelligence,5
4127,29,16,4,0.6283,81.3714,13.2333,0.4286,0.65,Computer Science,1
640,29,16,2,0.6283,74.225,0.0,0.375,0.8571,Computer Science,4
4058,31,18,3,0.6277,48.6667,92.2,0.1667,0.6667,Computer Science,4
1437,32,19,5,0.626,95.2,0.0,0.4,0.5,Computer Science,1
6,33,20,10,0.6254,80.5,31.4667,0.6667,0.5333,Computer Science,3
1259,34,12,10,0.622,85.04,14.0,0.4444,0.5625,Artificial Intelligence,5
288,35,21,11,0.6218,60.36,119.0,0.3,0.4,Computer Science,5
3321,36,22,7,0.6211,75.4667,9.4,0.3333,0.75,Computer Science,2
435,37,23,6,0.6186,84.9,0.0,0.375,0.6471,Computer Science,1
3764,38,24,4,0.6182,93.6,18.85,0.5,0.375,Computer Science,4
3053,39,3,7,0.6168,70.05,8.3,0.5,0.8333,Cyber Security,1
2920,40,13,8,0.6167,87.3333,0.0,0.75,0.6,Artificial Intelligence,2
3834,41,14,5,0.6165,78.75,36.4,0.6667,0.5,Artificial Intelligence,4
3455,42,15,6,0.6143,85.1,6.9,1.0,0.5833,Artificial Intelligence,4
1493,43,16,9,0.6117,63.9,37.7667,0.3846,0.7222,Artificial Intelligence,2
2609,44,4,12,0.6108,46.1556,116.0,0.2308,0.6,Cyber Security,5
291,45,25,8,0.6088,64.175,31.45,0.5,0.75,Computer Science,1
2954,46,17,9,0.6077,71.5333,0.0,0.5,0.8333,Artificial Intelligence,1
4080,47,18,7,0.605,97.0,0.0,0.3333,0.4,Artificial Intelligence,4
1658,48,26,13,0.6045,60.9,0.0,0.375,1.0,Computer Science,5
2506,49,19,10,0.6025,60.5,0.0,0.5,1.0,Artificial Intelligence,1
632,50,27,11,0.6023,72.0,14.0,0.8,0.7143,Computer Science,1
2539,51,5,14,0.6004,46.99,88.0,0.3333,0.6316,Cyber Security,5
3056,52,20,15,0.5982,66.3125,0.0,0.5,0.8889,Artificial Intelligence,5
711,53,28,16,0.5976,59.5143,0.0,0.3636,1.0,Computer Science,5
3572,54,21,12,0.5969,77.3833,0.0,0.5455,0.7,Artificial Intelligence,1
4386,55,29,17,0.5953,72.9,11.56,0.1667,0.6923,Computer Science,5
3481,56,30,10,0.5949,77.45,0.0,0.2857,0.6923,Computer Science,2
1633,57,22,11,0.5942,58.8375,0.0,0.3846,1.0,Artificial Intelligence,2
1948,58,31,18,0.5934,69.675,30.84,0.375,0.6111,Computer Science,5
3146,59,32,11,0.5917,86.8,16.35,0.5,0.4167,Computer Science,3
3161,60,33,12,0.5916,66.9,0.0,0.1429,0.8571,Computer Science,3
627,61,34,13,0.5913,69.5167,0.0,0.5556,0.8125,Computer Science,1
230,62,35,12,0.59,73.0,0.0,0.3333,0.75,Computer Science,2
3746,63,36,8,0.5888,64.84,12.3,0.625,0.8,Computer Science,4
3170,64,37,9,0.5882,66.22,0.0,0.6667,0.8571,Computer Science,4
4438,65,6,13,0.5879,84.25,0.0,0.5714,0.5556,Cyber Security,3
3051,66,23,10,0.5877,63.75,27.3333,0.2,0.7143,Artificial Intelligence,4
284,66,38,10,0.5877,72.54,0.0,0.4667,0.75,Computer Science,4
849,68,39,19,0.5873,82.4667,0.0,0.5,0.5833,Computer Science,5
666,69,24,20,0.5862,54.525,31.8,0.3333,0.8333,Artificial Intelligence,5
4830,70,25,12,0.5861,60.4667,21.8667,0.375,0.8,Artificial Intelligence,4
4014,71,26,13,0.586,87.2,0.0,1.0,0.5,Artificial Intelligence,2
3963,72,40,13,0.5851,77.2,13.85,0.5,0.5714,Computer Science,4
1763,73,7,14,0.5849,58.1,15.9333,0.4286,0.875,Cyber Security,4
471,74,41,14,0.5848,72.36,11.48,0.5714,0.6667,Computer Science,3
913,75,8,21,0.5841,55.7333,15.2,0.3,0.9167,Cyber Security,5
3052,76,27,22,0.5831,68.8,19.5333,0.1818,0.6667,Artificial Intelligence,5
2102,77,9,15,0.5828,86.55,0.0,0.6667,0.5,Cyber Security,3
3642,78,42,14,0.5804,74.0,12.8833,0.5,0.6154,Computer Science,1
4091,79,43,15,0.5795,72.575,0.0,0.5,0.7222,Computer Science,1
3068,80,28,23,0.5776,58.0375,23.7,0.3571,0.8,Artificial Intelligence,5
1098,81,44,24,0.5739,70.2,11.4667,0.4,0.6667,Computer Science,5
1592,82,10,16,0.5733,68.0,0.0,0.1667,0.7778,Cyber Security,1
