StudentId,QuestionType,Answered,CorrectCount,CorrectRate
1,MCQ,47,9.0,0.191
1,ShortAnswer,12,8.0,0.667
1,TrueFalse,8,4.0,0.5
6,MCQ,12,4.0,0.333
6,ShortAnswer,2,1.0,0.5
6,TrueFalse,9,4.0,0.444
10,MCQ,28,6.0,0.214
10,ShortAnswer,3,0.0,0.0
10,TrueFalse,14,5.0,0.357
12,MCQ,26,6.0,0.231
12,ShortAnswer,8,8.0,1.0
12,TrueFalse,9,7.0,0.778
14,MCQ,41,8.0,0.195
14,ShortAnswer,8,6.0,0.75
14,TrueFalse,12,4.0,0.333
16,MCQ,46,6.0,0.13
16,ShortAnswer,17,9.0,0.529
16,TrueFalse,16,9.0,0.562
20,MCQ,30,5.0,0.167
20,ShortAnswer,8,5.0,0.625
20,TrueFalse,12,6.0,0.5
22,MCQ,14,3.0,0.214
22,ShortAnswer,2,1.0,0.5
22,TrueFalse,3,0.0,0.0
25,MCQ,4,0.0,0.0
25,ShortAnswer,2,2.0,1.0
25,TrueFalse,1,0.0,0.0
28,MCQ,34,8.0,0.235
28,ShortAnswer,14,8.0,0.571
28,TrueFalse,7,3.0,0.429
29,MCQ,59,14.0,0.237
29,ShortAnswer,12,7.0,0.583
29,TrueFalse,18,8.0,0.444
30,MCQ,25,7.0,0.28
30,ShortAnswer,2,0.0,0.0
30,TrueFalse,10,3.0,0.3
32,MCQ,31,6.0,0.194
32,ShortAnswer,14,6.0,0.429
32,TrueFalse,11,4.0,0.364
35,MCQ,60,15.0,0.25
35,ShortAnswer,12,6.0,0.5
35,TrueFalse,13,7.0,0.538
36,MCQ,60,11.0,0.183
36,ShortAnswer,9,5.0,0.556
36,TrueFalse,17,10.0,0.588
41,MCQ,41,9.0,0.22
41,ShortAnswer,5,3.0,0.6
41,TrueFalse,7,3.0,0.429
42,MCQ,38,9.0,0.237
42,ShortAnswer,3,1.0,0.333
42,TrueFalse,13,5.0,0.385
45,MCQ,47,12.0,0.255
45,ShortAnswer,11,3.0,0.273
45,TrueFalse,12,5.0,0.417
47,MCQ,52,10.0,0.192
47,ShortAnswer,10,8.0,0.8
47,TrueFalse,18,7.0,0.389
50,MCQ,17,3.0,0.176
50,ShortAnswer,3,1.0,0.333
50,TrueFalse,5,3.0,0.6
51,MCQ,4,1.0,0.25
51,ShortAnswer,2,2.0,1.0
51,TrueFalse,3,2.0,0.667
59,MCQ,72,16.0,0.222
59,ShortAnswer,13,7.0,0.538
59,TrueFalse,32,6.0,0.188
61,MCQ,15,4.0,0.267
61,ShortAnswer,5,3.0,0.6
61,TrueFalse,10,6.0,0.6
68,MCQ,49,12.0,0.245
68,ShortAnswer,10,4.0,0.4
68,TrueFalse,10,4.0,0.4
71,MCQ,66,17.0,0.258
71,ShortAnswer,8,5.0,0.625
71,TrueFalse,14,6.0,0.429
73,MCQ,20,9.0,0.45
73,ShortAnswer,7,2.0,0.286
73,TrueFalse,5,2.0,0.4
76,MCQ,33,9.0,0.273
76,ShortAnswer,8,3.0,0.375
76,TrueFalse,3,1.0,0.333
77,MCQ,39,7.0,0.179
77,ShortAnswer,13,10.0,0.769
77,TrueFalse,16,8.0,0.5
78,MCQ,25,3.0,0.12
78,ShortAnswer,10,6.0,0.6
78,TrueFalse,7,4.0,0.571
94,MCQ,26,10.0,0.385
94,ShortAnswer,6,5.0,0.833
94,TrueFalse,8,4.0,0.5
95,MCQ,20,4.0,0.2
95,ShortAnswer,3,2.0,0.667
95,TrueFalse,15,10.0,0.667
107,MCQ,11,1.0,0.091
107,TrueFalse,3,2.0,0.667
