StudentId,EngagementSegment
3860,Dropout Risk
589,Social Learner
2482,Passive Learner
4243,Dropout Risk
3840,Passive Learner
1042,Social Learner
2079,Dropout Risk
1898,Social Learner
4996,Dropout Risk
2557,Dropout Risk
2162,Passive Learner
512,Social Learner
2569,Dropout Risk
4449,Passive Learner
1490,Social Learner
3083,Dropout Risk
3087,Dropout Risk
2666,Dropout Risk
2726,Dropout Risk
1813,Social Learner
2467,Passive Learner
683,Social Learner
3621,Dropout Risk
2327,Dropout Risk
1276,Social Learner
1749,Social Learner
3289,Dropout Risk
4619,Dropout Risk
1509,Social Learner
2529,Passive Learner
4906,Dropout Risk
1948,Social Learner
4425,Dropout Risk
3282,Dropout Risk
1966,Social Learner
3985,Passive Learner
4366,Passive Learner
4380,Dropout Risk
4108,Passive Learner
3339,Passive Learner
3742,Dropout Risk
1516,Super Learner
4961,Passive Learner
3865,Passive Learner
4038,Dropout Risk
3786,Passive Learner
3564,Dropout Risk
4599,Passive Learner
3628,Dropout Risk
4863,Passive Learner
4722,Passive Learner
4964,Passive Learner
1076,Social Learner
3466,Passive Learner
4858,Dropout Risk
3957,Passive Learner
4052,Dropout Risk
4006,Passive Learner
4457,Passive Learner
1394,Passive Learner
2889,Passive Learner
4405,Passive Learner
455,Social Learner
1796,Social Learner
885,Social Learner
4275,Passive Learner
1061,Social Learner
1688,Social Learner
211,Social Learner
2590,Passive Learner
1206,Social Learner
3858,Dropout Risk
4153,Passive Learner
280,Social Learner
1589,Social Learner
268,Social Learner
419,Social Learner
602,Passive Learner
1081,Social Learner
1068,Social Learner
2534,Dropout Risk
3763,Passive Learner
165,Social Learner
4609,Dropout Risk
2286,Passive Learner
4171,Passive Learner
2843,Passive Learner
1111,Social Learner
1331,Social Learner
1465,Social Learner
1748,Social Learner
79,Social Learner
89,Social Learner
939,Social Learner
3878,Passive Learner
2794,Passive Learner
1277,Social Learner
2166,Passive Learner
4209,Dropout Risk
4546,Passive Learner
1455,Social Learner
4,Social Learner
3125,Dropout Risk
1503,Social Learner
274,Social Learner
3682,Dropout Risk
4097,Dropout Risk
2522,Dropout Risk
367,Social Learner
1972,Social Learner
4407,Dropout Risk
2101,Passive Learner
4615,Passive Learner
4671,Passive Learner
2688,Passive Learner
3672,Dropout Risk
1520,Social Learner
1067,Social Learner
3762,Dropout Risk
3498,Passive Learner
588,Social Learner
4248,Dropout Risk
2230,Dropout Risk
1185,Social Learner
4733,Dropout Risk
2894,Passive Learner
2266,Dropout Risk
2288,Passive Learner
3708,Dropout Risk
4456,Passive Learner
4971,Super Learner
2226,Dropout Risk
2660,Dropout Risk
3793,Dropout Risk
4869,Dropout Risk
3800,Passive Learner
968,Social Learner
2973,Dropout Risk
1096,Social Learner
1826,Social Learner
2436,Passive Learner
862,Social Learner
4700,Passive Learner
1698,Passive Learner
1967,Social Learner
1078,Social Learner
3730,Passive Learner
2390,Dropout Risk
2538,Dropout Risk
4429,Passive Learner
3577,Dropout Risk
3189,Passive Learner
1570,Social Learner
4973,Passive Learner
117,Dropout Risk
494,Passive Learner
3779,Passive Learner
4064,Dropout Risk
1823,Passive Learner
1905,Social Learner
255,Social Learner
818,Social Learner
2362,Passive Learner
3437,Passive Learner
3184,Passive Learner
1478,Social Learner
4325,Passive Learner
724,Social Learner
2228,Passive Learner
706,Social Learner
536,Social Learner
1708,Social Learner
702,Social Learner
3644,Dropout Risk
4644,Dropout Risk
4128,Passive Learner
3433,Dropout Risk
520,Social Learner
175,Social Learner
4085,Dropout Risk
3569,Dropout Risk
4318,Dropout Risk
4622,Dropout Risk
4576,Passive Learner
2198,Dropout Risk
3652,Dropout Risk
3898,Dropout Risk
1511,Social Learner
3702,Dropout Risk
826,Social Learner
3028,Passive Learner
2078,Dropout Risk
1416,Social Learner
495,Social Learner
4336,Dropout Risk
1863,Social Learner
2715,Passive Learner
3809,Passive Learner
1787,Social Learner
285,Social Learner
4675,Dropout Risk
2110,Dropout Risk
4745,Passive Learner
3134,Passive Learner
2257,Dropout Risk
3284,Passive Learner
1446,Social Learner
2,Social Learner
3525,Passive Learner
4537,Passive Learner
2391,Super Learner
1380,Social Learner
4481,Passive Learner
3496,Dropout Risk
4158,Passive Learner
2644,Dropout Risk
1636,Passive Learner
2656,Dropout Risk
546,Social Learner
415,Social Learner
920,Social Learner
1525,Social Learner
3431,Passive Learner
2255,Passive Learner
254,Social Learner
219,Social Learner
3021,Passive Learner
347,Social Learner
3663,Passive Learner
3902,Dropout Risk
1864,Social Learner
3846,Passive Learner
4589,Dropout Risk
273,Social Learner
231,Social Learner
4245,Passive Learner
1230,Social Learner
3769,Passive Learner
1821,Social Learner
897,Social Learner
197,Social Learner
129,Social Learner
1881,Social Learner
3803,Dropout Risk
3137,Dropout Risk
3731,Dropout Risk
4647,Dropout Risk
1151,Passive Learner
1100,Social Learner
3147,Passive Learner
4846,Dropout Risk
1653,Social Learner
2647,Passive Learner
2624,Passive Learner
675,Social Learner
2302,Dropout Risk
801,Social Learner
435,Social Learner
18,Dropout Risk
4057,Dropout Risk
1991,Social Learner
1997,Social Learner
2994,Dropout Risk
4560,Dropout Risk
2610,Passive Learner
1999,Social Learner
4261,Passive Learner
509,Social Learner
3002,Passive Learner
3571,Dropout Risk
2563,Passive Learner
778,Social Learner
802,Social Learner
1915,Social Learner
4899,Dropout Risk
1243,Social Learner
3574,Passive Learner
2503,Dropout Risk
1937,Dropout Risk
4529,Dropout Risk
4196,Passive Learner
31,Social Learner
541,Social Learner
2384,Passive Learner
3170,Super Learner
4094,Passive Learner
2849,Dropout Risk
2181,Dropout Risk
1056,Social Learner
1985,Social Learner
4505,Passive Learner
4937,Dropout Risk
1541,Social Learner
4476,Passive Learner
768,Social Learner
3949,Super Learner
3507,Dropout Risk
3446,Dropout Risk
4093,Dropout Risk
745,Social Learner
3072,Passive Learner
2491,Dropout Risk
2008,Dropout Risk
1048,Social Learner
1594,Social Learner
2564,Dropout Risk
2118,Passive Learner
4223,Passive Learner
339,Social Learner
3392,Dropout Risk
4654,Dropout Risk
1729,Social Learner
3201,Passive Learner
3448,Passive Learner
2988,Passive Learner
1669,Social Learner
3258,Dropout Risk
406,Social Learner
648,Social Learner
4994,Dropout Risk
4246,Dropout Risk
4635,Passive Learner
4843,Passive Learner
3311,Passive Learner
4274,Dropout Risk
4312,Passive Learner
4928,Dropout Risk
3450,Dropout Risk
3976,Passive Learner
3836,Dropout Risk
4347,Dropout Risk
4185,Passive Learner
4570,Passive Learner
2888,Dropout Risk
3603,Dropout Risk
4139,Dropout Risk
