StudentId,Segment
3860,Passive Learner
589,Passive Learner
2482,Passive Learner
4243,Passive Learner
3840,Passive Learner
1042,Passive Learner
2079,Passive Learner
1898,Passive Learner
4996,Passive Learner
2557,Passive Learner
2162,Passive Learner
512,Passive Learner
2569,Passive Learner
4449,Passive Learner
1490,Passive Learner
3083,Passive Learner
3087,Passive Learner
2666,Passive Learner
2726,Passive Learner
1813,Passive Learner
2467,Passive Learner
683,Passive Learner
3621,Passive Learner
2327,Passive Learner
1276,Passive Learner
1749,Passive Learner
3289,Passive Learner
4619,Passive Learner
1509,Passive Learner
2529,Passive Learner
4906,Passive Learner
1948,Average Learner
4425,Passive Learner
3282,Passive Learner
1966,Passive Learner
3985,Average Learner
4366,Passive Learner
4380,Passive Learner
4108,Passive Learner
3339,Passive Learner
3742,Passive Learner
1516,Average Learner
4961,Passive Learner
3865,Passive Learner
4038,Passive Learner
3786,Passive Learner
3564,Passive Learner
4599,Passive Learner
3628,Passive Learner
4863,Passive Learner
4722,Passive Learner
4964,Passive Learner
1076,Passive Learner
3466,Passive Learner
4858,Passive Learner
3957,Average Learner
4052,Passive Learner
4006,Passive Learner
4457,Passive Learner
1394,Passive Learner
2889,Passive Learner
4405,Average Learner
455,Passive Learner
1796,Passive Learner
885,Passive Learner
4275,Average Learner
1061,Passive Learner
1688,Passive Learner
211,Passive Learner
2590,Passive Learner
1206,Passive Learner
3858,Passive Learner
4153,Passive Learner
280,Passive Learner
1589,Passive Learner
268,Passive Learner
419,Passive Learner
602,Passive Learner
1081,Passive Learner
1068,Passive Learner
2534,Passive Learner
3763,Passive Learner
165,Passive Learner
4609,Passive Learner
2286,Passive Learner
4171,Passive Learner
2843,Average Learner
1111,Passive Learner
1331,Passive Learner
1465,Passive Learner
1748,Passive Learner
79,Passive Learner
89,Passive Learner
939,Passive Learner
3878,Passive Learner
2794,Passive Learner
1277,Passive Learner
2166,Passive Learner
4209,Passive Learner
4546,Passive Learner
1455,Passive Learner
4,At Risk
3125,Passive Learner
