CourseId,AvgDays,MedianDays,StudentCount,Title
145,69.1,61.0,27,Web Development
79,67.7,76.0,27,Cyber Security Fundamentals
68,67.4,75.0,63,Computer Networks
137,65.8,75.0,51,Computer Networks
82,65.4,75.5,52,Data Science
44,65.1,66.0,22,Database Systems
39,64.8,69.0,26,Computer Networks
58,64.8,65.0,26,Software Engineering
149,64.7,58.0,43,Web Development
177,63.5,69.5,24,Data Science
40,63.4,62.5,54,Discrete Mathematics
194,62.6,70.0,56,Algorithms
187,62.4,67.0,34,Operating Systems
113,62.0,63.0,184,Database Systems
35,61.7,61.5,54,Data Structures
66,61.6,72.0,57,Computer Architecture
23,61.5,65.0,152,Data Structures
176,61.5,66.0,29,Cyber Security Fundamentals
69,61.4,72.0,55,Computer Networks
56,61.3,65.0,83,Data Science
75,60.7,60.0,30,Data Science
152,60.6,53.0,28,Operating Systems
8,60.4,61.5,48,Data Science
185,60.2,55.0,29,Data Science
188,59.8,62.5,85,Web Development
183,59.7,57.0,124,Computer Architecture
10,59.7,59.0,23,Operating Systems
24,59.5,61.0,143,Cloud Computing
153,59.4,62.0,66,Algorithms
77,59.4,61.0,78,Mobile App Development
158,59.4,56.0,27,Mobile App Development
93,59.3,58.0,69,Machine Learning
43,59.3,56.0,175,Database Systems
34,59.3,61.0,111,Algorithms
70,59.3,61.5,84,Operating Systems
103,59.1,64.0,108,Web Development
45,59.1,50.0,105,Discrete Mathematics
130,59.0,68.0,53,Computer Architecture
27,58.9,58.0,93,Cloud Computing
13,58.9,67.0,25,Software Engineering
174,58.8,56.0,112,Web Development
99,58.8,58.0,112,Mobile App Development
87,58.7,52.0,116,Web Development
191,58.5,61.0,39,Data Structures
148,58.3,55.0,90,Algorithms
156,58.3,55.0,85,Algorithms
20,58.2,56.0,114,Computer Architecture
22,58.2,60.0,89,Data Science
32,58.1,66.0,91,Computer Architecture
105,58.0,54.0,73,Computer Networks
73,57.8,58.0,111,Web Development
196,57.8,60.0,91,Database Systems
171,57.8,60.0,70,Mobile App Development
184,57.8,60.0,61,Algorithms
173,57.6,53.0,123,Mobile App Development
170,57.5,59.5,34,Data Science
165,57.5,57.0,75,Computer Networks
100,57.5,59.0,54,Software Engineering
63,57.5,57.5,141,Computer Networks
86,57.5,57.0,63,Database Systems
62,57.5,54.0,57,Machine Learning
67,57.5,57.0,105,Operating Systems
161,57.3,57.0,25,Cyber Security Fundamentals
107,57.3,55.0,189,Software Engineering
121,57.3,57.0,113,Mobile App Development
180,57.3,59.0,142,Discrete Mathematics
76,57.2,57.0,86,Computer Networks
42,57.1,53.0,53,Web Development
1,57.1,69.0,26,Cyber Security Fundamentals
129,57.1,49.0,90,Discrete Mathematics
36,57.0,56.0,71,Software Engineering
2,56.9,59.0,28,Machine Learning
7,56.8,53.0,151,Operating Systems
9,56.7,58.0,53,Artificial Intelligence
29,56.7,51.0,83,Algorithms
192,56.7,60.0,50,Computer Networks
