Timestamp_Year,ActionName,Count
2022,UserLoggedIn,458
2022,ProfileViewed,349
2022,LoginFailed,212
2022,AuthCreated,145
2022,SquadronUpdated,116
2022,SquadronCreated,112
2022,BulkImportStudents,81
2023,UserLoggedIn,852
2023,ProfileViewed,740
2023,LoginFailed,454
2023,AuthCreated,318
2023,SquadronUpdated,235
2023,SquadronCreated,223
2023,BulkImportStudents,169
2024,UserLoggedIn,2025
2024,ProfileViewed,1632
2024,LoginFailed,975
2024,AuthCreated,681
2024,SquadronUpdated,541
2024,SquadronCreated,487
2024,BulkImportStudents,351
2025,UserLoggedIn,1122
2025,ProfileViewed,1037
2025,LoginFailed,561
2025,AuthCreated,398
2025,SquadronUpdated,310
2025,SquadronCreated,233
2025,BulkImportStudents,183
