Id,UserId,DepartmentId,DepartmentName,YearId,YearLevelName,SquadronId,AdmissionYear,EnrolledCourseCount,TotalCreditLoad,RiskScore
2079,1814.0,1,Computer Science,1,First Year,2,2026,0,0,1.0
4996,436.0,1,Computer Science,3,Third Year,4,2025,0,0,1.0
3621,452.0,1,Computer Science,3,Third Year,4,2021,0,0,1.0
4275,1865.0,1,Computer Science,3,Third Year,2,2023,0,0,1.0
211,9633.0,3,Cyber Security,3,Third Year,3,2026,0,0,1.0
3858,110.0,1,Computer Science,4,Fourth Year,4,2022,0,0,1.0
268,1312.0,3,Cyber Security,1,First Year,1,2023,0,0,1.0
1068,280.0,1,Computer Science,4,Fourth Year,3,2024,0,0,1.0
165,1206.0,1,Computer Science,2,Second Year,2,2026,0,0,1.0
2286,8.0,2,Artificial Intelligence,4,Fourth Year,4,2025,0,0,1.0
1185,,1,Computer Science,2,Second Year,4,2025,0,0,1.0
4733,343.0,1,Computer Science,1,First Year,2,2023,0,0,1.0
2894,1515.0,2,Artificial Intelligence,2,Second Year,3,2026,0,0,1.0
2288,1353.0,2,Artificial Intelligence,3,Third Year,1,2025,0,0,1.0
4971,2021.0,3,Cyber Security,1,First Year,5,2023,0,0,1.0
968,1579.0,1,Computer Science,1,First Year,4,2024,0,0,1.0
1823,,1,Computer Science,1,First Year,1,2025,0,0,1.0
1905,1580.0,2,Artificial Intelligence,1,First Year,5,2024,0,0,1.0
1708,767.0,1,Computer Science,4,Fourth Year,5,2024,0,0,1.0
3028,1385.0,3,Cyber Security,4,Fourth Year,5,2023,0,0,1.0
1863,365.0,3,Cyber Security,3,Third Year,5,2022,0,0,1.0
4481,1097.0,1,Computer Science,1,First Year,1,2022,0,0,1.0
4158,561.0,1,Computer Science,3,Third Year,1,2024,0,0,1.0
2644,,1,Computer Science,1,First Year,4,2025,0,0,1.0
3431,1476.0,2,Artificial Intelligence,2,Second Year,5,2023,0,0,1.0
1864,708.0,1,Computer Science,3,Third Year,1,2022,0,0,1.0
3769,1780.0,1,Computer Science,2,Second Year,4,2021,0,0,1.0
197,143.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
1151,1420.0,2,Artificial Intelligence,2,Second Year,2,2022,0,0,1.0
18,1976.0,1,Computer Science,2,Second Year,2,2025,0,0,1.0
2994,442.0,1,Computer Science,3,Third Year,2,2024,0,0,1.0
1915,1309.0,2,Artificial Intelligence,3,Third Year,4,2025,0,0,1.0
3170,1402.0,1,Computer Science,2,Second Year,4,2026,0,0,1.0
2181,602.0,1,Computer Science,1,First Year,5,2026,0,0,1.0
4937,1299.0,3,Cyber Security,3,Third Year,2,2023,0,0,1.0
2491,1817.0,1,Computer Science,4,Fourth Year,2,2024,0,0,1.0
1594,34.0,2,Artificial Intelligence,2,Second Year,2,2023,0,0,1.0
2564,1820.0,1,Computer Science,3,Third Year,5,2024,0,0,1.0
1729,411.0,1,Computer Science,2,Second Year,4,2025,0,0,1.0
3258,476.0,1,Computer Science,1,First Year,5,2022,0,0,1.0
4994,9700.0,1,Computer Science,4,Fourth Year,4,2023,0,0,1.0
4635,792.0,1,Computer Science,1,First Year,3,2024,0,0,1.0
4312,1114.0,1,Computer Science,2,Second Year,5,2023,0,0,1.0
2888,1645.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
670,1910.0,1,Computer Science,3,Third Year,3,2025,0,0,1.0
699,9.0,1,Computer Science,4,Fourth Year,4,2021,0,0,1.0
2856,,1,Computer Science,2,Second Year,1,2026,0,0,1.0
2733,961.0,1,Computer Science,1,First Year,4,2022,0,0,1.0
1123,436.0,2,Artificial Intelligence,4,Fourth Year,4,2024,0,0,1.0
1712,1603.0,1,Computer Science,1,First Year,2,2023,0,0,1.0
1377,,1,Computer Science,3,Third Year,4,2022,0,0,1.0
2680,,1,Computer Science,3,Third Year,5,2024,0,0,1.0
2652,153.0,1,Computer Science,3,Third Year,5,2023,0,0,1.0
2375,1554.0,1,Computer Science,2,Second Year,3,2026,0,0,1.0
333,497.0,1,Computer Science,3,Third Year,2,2025,0,0,1.0
4583,1329.0,1,Computer Science,4,Fourth Year,2,2023,0,0,1.0
1038,86.0,1,Computer Science,2,Second Year,1,2026,0,0,1.0
483,,2,Artificial Intelligence,1,First Year,5,2023,0,0,1.0
3939,935.0,3,Cyber Security,3,Third Year,5,2023,0,0,1.0
1405,616.0,2,Artificial Intelligence,1,First Year,5,2024,0,0,1.0
2425,1508.0,2,Artificial Intelligence,4,Fourth Year,5,2026,0,0,1.0
3449,1395.0,3,Cyber Security,1,First Year,5,2023,0,0,1.0
2068,1971.0,2,Artificial Intelligence,1,First Year,5,2025,0,0,1.0
2392,727.0,1,Computer Science,2,Second Year,2,2021,0,0,1.0
4047,2051.0,1,Computer Science,4,Fourth Year,5,2024,0,0,1.0
1040,604.0,1,Computer Science,1,First Year,2,2023,0,0,1.0
128,1903.0,1,Computer Science,2,Second Year,5,2024,0,0,1.0
2281,1819.0,1,Computer Science,2,Second Year,2,2022,0,0,1.0
867,11.0,3,Cyber Security,3,Third Year,2,2025,0,0,1.0
2276,604.0,1,Computer Science,4,Fourth Year,3,2024,0,0,1.0
1160,,2,Artificial Intelligence,2,Second Year,5,2023,0,0,1.0
1397,1457.0,1,Computer Science,1,First Year,4,2025,0,0,1.0
3191,1686.0,2,Artificial Intelligence,2,Second Year,5,2023,0,0,1.0
1583,1293.0,2,Artificial Intelligence,1,First Year,5,2023,0,0,1.0
4253,808.0,1,Computer Science,3,Third Year,2,2023,0,0,1.0
4354,1535.0,1,Computer Science,3,Third Year,4,2024,0,0,1.0
3851,9267.0,2,Artificial Intelligence,2,Second Year,4,2023,0,0,1.0
2311,422.0,3,Cyber Security,1,First Year,5,2023,0,0,1.0
872,1916.0,1,Computer Science,4,Fourth Year,2,2025,0,0,1.0
753,818.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
145,1954.0,1,Computer Science,2,Second Year,5,2024,0,0,1.0
4110,1629.0,1,Computer Science,1,First Year,2,2025,0,0,1.0
1689,1417.0,1,Computer Science,4,Fourth Year,4,2024,0,0,1.0
3352,31.0,3,Cyber Security,3,Third Year,5,2023,0,0,1.0
4403,,2,Artificial Intelligence,2,Second Year,1,2024,0,0,1.0
475,2010.0,2,Artificial Intelligence,3,Third Year,5,2026,0,0,1.0
4417,189.0,1,Computer Science,1,First Year,5,2023,0,0,1.0
1681,1924.0,1,Computer Science,1,First Year,3,2022,0,0,1.0
3084,657.0,1,Computer Science,4,Fourth Year,2,2023,0,0,1.0
4159,1611.0,1,Computer Science,1,First Year,5,2023,0,0,1.0
3244,307.0,2,Artificial Intelligence,1,First Year,1,2024,0,0,1.0
4462,429.0,2,Artificial Intelligence,3,Third Year,1,2026,0,0,1.0
136,1933.0,1,Computer Science,1,First Year,1,2026,0,0,1.0
1481,17.0,2,Artificial Intelligence,3,Third Year,5,2025,0,0,1.0
410,948.0,1,Computer Science,1,First Year,4,2022,0,0,1.0
3331,1302.0,1,Computer Science,3,Third Year,5,2023,0,0,1.0
1788,1152.0,2,Artificial Intelligence,1,First Year,4,2024,0,0,1.0
2653,41.0,1,Computer Science,1,First Year,1,2024,0,0,1.0
2812,,1,Computer Science,2,Second Year,5,2025,0,0,1.0
3778,1875.0,1,Computer Science,3,Third Year,3,2022,0,0,1.0
1900,760.0,1,Computer Science,3,Third Year,1,2026,0,0,1.0
2751,251.0,2,Artificial Intelligence,3,Third Year,2,2024,0,0,1.0
3699,1683.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
1093,1669.0,1,Computer Science,2,Second Year,5,2023,0,0,1.0
2559,16.0,1,Computer Science,2,Second Year,1,2025,0,0,1.0
3302,403.0,2,Artificial Intelligence,4,Fourth Year,4,2025,0,0,1.0
3101,405.0,2,Artificial Intelligence,2,Second Year,5,2026,0,0,1.0
2368,1288.0,2,Artificial Intelligence,2,Second Year,2,2023,0,0,1.0
3240,36.0,1,Computer Science,4,Fourth Year,1,2023,0,0,1.0
4372,662.0,2,Artificial Intelligence,1,First Year,1,2022,0,0,1.0
