Id,QuizId,StudentId,AttemptNumber,StartedAt,SubmittedAt,Score,MaxScore,ScorePercent,Status,IsGraded,GradedById,GradedAt,TimeSpentSeconds,Score_WasNull,TimeSpentSeconds_WasNull,StartedAt_Hour,StartedAt_Weekday,StartedAt_Month,IsNightAttempt,TimeSpentMinutes,TimeSpent_Norm,PassRatePct,Passed,IsFirstAttempt,IsRetry
1417,888,4951,3,2023-06-30 00:54:11,2023-06-30 01:17:00,1.4,10,14.0,Completed,1,-1.0,,1131.0,0,1,0,4,6,1,18.8,0.19006211180124225,14.0,0,0,1
10126,1150,2191,1,2023-03-01 03:53:18,2023-03-01 03:56:00,,50,,Abandoned,0,4.0,,162.0,1,0,3,2,3,1,2.7,0.018101153504880212,,0,1,0
8271,1607,2944,3,2025-07-24 10:23:32,2025-07-24 11:24:36,16.5,20,82.5,Completed,1,4.0,2025-07-25 07:24:36,3664.0,0,0,10,3,7,0,61.1,0.6395740905057675,82.5,1,0,1
3821,1719,1255,1,2023-06-23 07:36:34,2023-06-23 07:40:34,,50,,InProgress,0,13.0,2023-06-24 07:40:34,240.0,1,0,7,4,6,0,4.0,0.031943212067435674,,0,1,0
4747,1190,1240,2,2023-08-08 03:40:13,2023-08-08 03:45:21,7.7,10,77.0,Completed,1,4.0,,308.0,0,0,3,1,8,1,5.1,0.044010647737355815,77.0,1,0,1
7156,286,758,2,2023-07-08 02:28:46,2023-07-08 03:16:50,24.1,100,24.1,Completed,1,14.0,2023-07-09 20:16:50,2884.0,0,0,2,5,7,1,48.1,0.5011535048802129,24.1,0,0,1
7711,1732,2041,1,2022-11-05 01:15:48,2022-11-05 01:28:52,-5.0,-5,22.0,Completed,1,6.0,2022-11-06 20:28:52,784.0,0,0,1,5,11,1,13.1,0.1284826974267968,,0,1,0
8265,2155,571,2,2022-07-02 17:24:44,2022-07-02 17:26:44,32.2,100,32.2,Completed,1,5.0,2022-07-03 14:26:44,120.0,0,0,17,5,7,0,2.0,0.010647737355811891,32.2,0,0,1
7167,657,3835,1,2026-01-24 14:07:36,2026-01-24 14:30:18,3.3,25,13.2,Completed,0,-1.0,,1362.0,0,0,14,5,1,0,22.7,0.23105590062111803,13.2,0,1,0
4815,999,3192,2,2023-11-24 00:24:34,2023-11-24 00:50:46,,10,,Abandoned,0,10.0,,1572.0,1,0,0,4,11,1,26.2,0.26832298136645966,,0,0,1
