Id,ActivityId,UserId,Content,ParentCommentId,LikeCount,CreatedAt,UpdatedAt,IsDeleted,UserId_WasNull
4380,37.0,1.0,[deleted],,26,2025-03-14 03:08:57,,1,0
2446,2156.0,1085.0,Thanks for the clarification.,2433.0,0,2025-04-11 12:40:50,,0,0
1743,1792.0,930.0,This topic is challenging but interesting.,,4,2022-06-27 14:31:09,,0,0
1896,1938.0,701.0,ممتاز!,,17,2023-04-24 22:21:30,2023-04-25 01:21:30,0,0
3748,1358.0,237.0,That makes sense now.,3743.0,13,2022-11-10 07:24:31,2022-11-11 07:24:31,0,0
3715,1685.0,118.0,I didn't understand the second part.,,16,2026-02-05 04:27:52,2026-02-06 12:27:52,0,0
2574,916.0,2046.0,Thanks for the clarification.,2567.0,9,2025-03-30 06:10:51,2025-03-31 03:10:51,0,0
1821,1569.0,1031.0,ممتاز!,,46,2024-09-09 13:03:06,,0,0
3984,1395.0,77.0,That makes sense now.,3982.0,13,2024-07-07 08:36:54,2024-07-07 14:36:54,0,0
706,1691.0,1240.0,I agree with this comment.,700.0,15,2023-10-28 09:51:26,,0,0
3419,1486.0,814.0,I didn't understand the second part.,,22,2022-11-30 22:03:54,,0,0
2248,1118.0,1347.0,"Great lecture, very helpful!",,48,2022-07-06 12:22:16,,0,0
2228,803.0,974.0,"Thank you, this was very clear.",,22,2022-07-26 20:47:11,2022-07-27 16:47:11,0,0
3377,849.0,1447.0,That makes sense now.,3365.0,13,2022-10-16 17:16:32,,0,0
2338,765.0,2009.0,Can you elaborate further?,2321.0,10,2022-12-24 00:17:27,,0,0
237,408.0,1427.0,"Great lecture, very helpful!",,50,2022-06-10 23:17:21,2022-06-11 16:17:21,0,0
4156,2218.0,2002.0,I agree with this comment.,4143.0,9,2024-07-27 10:48:49,,0,0
482,429.0,2057.0,محتاج مزيد من التوضيح,,23,2024-11-06 20:39:12,,0,0
2657,6.0,1972.0,[deleted],2644.0,9,2024-11-12 01:22:30,2024-11-12 10:22:30,1,0
2489,1682.0,1202.0,[deleted],2480.0,2,2024-02-01 14:16:44,,1,0
886,2069.0,2009.0,That makes sense now.,877.0,1,2025-08-08 09:50:43,,0,0
2089,289.0,1785.0,شكراً على الرد,2082.0,0,2024-06-05 10:38:34,,0,0
125,1254.0,1268.0,Could you provide more examples?,,30,2024-10-24 15:39:44,,0,0
4053,1202.0,489.0,Can you elaborate further?,4043.0,11,2023-08-29 11:16:07,,0,0
884,2069.0,1551.0,ممتاز!,,39,2025-04-01 02:04:50,,0,0
1645,1112.0,259.0,شكراً على الرد,1638.0,4,2025-07-10 05:23:23,,0,0
1148,1617.0,1329.0,[deleted],,12,2025-08-29 14:42:05,,1,0
1865,1862.0,1493.0,That makes sense now.,1848.0,7,2024-11-23 06:33:59,,0,0
2234,803.0,596.0,I agree with this comment.,2222.0,5,2026-03-01 02:16:46,,0,0
303,1053.0,1434.0,"Thank you, this was very clear.",,28,2022-08-28 19:45:07,2022-08-30 16:45:07,0,0
3623,1935.0,2026.0,When is the next quiz?,,37,2024-10-10 01:03:46,,0,0
523,1051.0,1167.0,شكراً على الرد,518.0,8,2023-05-17 23:28:27,2023-05-18 12:28:27,0,0
2383,636.0,1581.0,[deleted],,5,2025-07-22 14:04:16,,1,0
4209,1517.0,863.0,الشرح كان واضح جداً، شكراً,,1,2022-08-03 19:33:25,,0,0
3590,1762.0,1200.0,I agree with this comment.,3574.0,7,2023-01-08 05:49:19,,0,0
513,1051.0,1816.0,[deleted],,36,2023-10-05 17:28:23,2023-10-05 22:28:23,1,0
3634,1935.0,921.0,شكراً على الرد,3621.0,14,2024-07-24 15:53:51,,0,0
2445,2156.0,735.0,Can you elaborate further?,2433.0,11,2025-10-08 01:01:07,,0,0
2542,384.0,894.0,That makes sense now.,2528.0,7,2025-02-04 06:54:39,,0,0
1276,159.0,918.0,"Great lecture, very helpful!",,33,2023-08-20 19:25:33,,0,0
2870,829.0,1412.0,Can you elaborate further?,2858.0,11,2025-11-20 11:35:21,,0,0
1558,1316.0,365.0,شكراً على الرد,1544.0,7,2025-07-22 02:44:40,,0,0
3130,1212.0,830.0,Thanks for the clarification.,3111.0,0,2024-02-05 13:44:22,2024-02-06 02:44:22,0,0
3189,331.0,842.0,[deleted],3177.0,0,2024-01-07 07:05:30,2024-01-08 00:05:30,1,0
1636,172.0,1002.0,[deleted],1620.0,3,2022-12-17 18:03:36,2022-12-18 06:03:36,1,0
