Id,Title,Description,ImageUrl,CreditHours,EnrolledStudentsCount,DepartmentId,YearId,CreatedById,IsArchived,InstructorId,CreatedAt,UpdatedAt,CreatedAt_Year,CreatedAt_Month,ActualEnrolledCount,EnrollCountDiscrepancy,HasStudents,Dept_AvgCreditHours,Dept_TotalEnrolled,Dept_CourseCount,DepartmentName,CreditHours_Norm,ActualEnrolledCount_Norm
1,Cyber Security Fundamentals,User authentication was completed.,/uploads/courses/93222290-2f18-4df1-bf49-89e0fb8d2f04.png,4,145,1,17,3,False,6,2024-03-02 17:18:28,2024-06-11 17:18:28,2024,3,63,82,1,3.2264150943396226,3399,53,Computer Science,0.6000000000000001,0.7875000000000001
2,Machine Learning,Data import finished without errors.,/uploads/courses/826ccf7e-b361-4411-87d0-6adf3de5cbbc.png,3,19,1,28,1,True,1,2025-02-11 15:18:17,2025-03-20 15:18:17,2025,2,66,47,1,3.2264150943396226,3399,53,Computer Science,0.4000000000000001,0.8250000000000001
3,Data Structures,Profile information was reviewed.,/uploads/courses/e646b811-ed66-4be7-ae0b-25b2dcf3fa0c.png,2,118,3,47,1,True,5,2023-10-31 17:40:05,2024-02-23 17:40:05,2023,10,69,49,1,2.625,3060,48,Cyber Security,0.2,0.8625
4,Computer Networks,User authentication was completed.,/uploads/courses/f5519446-caf8-4b23-be86-a516bbcacb39.png,2,57,2,41,1,True,15,2023-12-26 12:00:06,2024-01-17 12:00:06,2023,12,75,18,1,2.8383838383838382,3485,99,Artificial Intelligence,0.2,0.9375
5,Discrete Mathematics,User session expired and was terminated.,/uploads/courses/dd01a936-1ec2-4b86-91a2-de862149bdaa.png,4,229,2,29,3,True,12,2022-05-21 16:51:28,2022-09-12 16:51:28,2022,5,55,174,1,2.8383838383838382,3485,99,Artificial Intelligence,0.6000000000000001,0.6875
6,Artificial Intelligence,Data import finished without errors.,/uploads/courses/14df7205-e9be-4759-b2b2-ab700891fd91.png,3,218,1,17,3,True,14,2024-11-16 00:57:00,2024-12-19 00:57:00,2024,11,62,156,1,3.2264150943396226,3399,53,Computer Science,0.4000000000000001,0.775
7,Operating Systems,Annual academic year data was synchronized.,/uploads/courses/c86409a6-6260-4415-a062-4fcb522a6b09.png,2,165,3,17,2,False,12,2023-09-03 18:46:48,2023-09-06 18:46:48,2023,9,54,111,1,2.625,3060,48,Cyber Security,0.2,0.675
8,Data Science,Course registration period has been updated.,/uploads/courses/9fc684f6-31d0-44bb-9cbd-89cfe882d564.png,3,146,1,15,3,True,7,2024-10-09 20:47:46,2024-12-01 20:47:46,2024,10,62,84,1,3.2264150943396226,3399,53,Computer Science,0.4000000000000001,0.775
9,Artificial Intelligence,Annual academic year data was synchronized.,/uploads/courses/50f4d0bc-a07b-4542-82ad-da766564b6c5.png,6,14,2,29,1,False,8,2022-11-22 20:56:11,2022-12-19 20:56:11,2022,11,64,50,1,2.8383838383838382,3485,99,Artificial Intelligence,1.0000000000000002,0.8
10,Operating Systems,Bulk operation completed for selected records.,/uploads/courses/998ba364-3baa-47b9-998b-2bfa7a71330a.png,4,138,2,17,3,True,5,2023-03-18 21:31:59,2023-05-07 21:31:59,2023,3,0,138,0,2.8383838383838382,3485,99,Artificial Intelligence,0.6000000000000001,0.0
11,Computer Networks,New student record was added to the system.,/uploads/courses/545f651d-e6ab-422d-bf6b-11a31dd26ef8.png,3,753,2,17,3,True,2,2023-05-19 07:44:58,2023-09-04 07:44:58,2023,5,69,684,1,2.8383838383838382,3485,99,Artificial Intelligence,0.4000000000000001,0.8625
12,Discrete Mathematics,System backup was completed successfully.,/uploads/courses/466d3e28-4457-46f2-bb5c-173565a2e492.png,4,120,1,7,1,True,15,2023-01-26 21:35:07,2023-03-24 21:35:07,2023,1,68,52,1,3.2264150943396226,3399,53,Computer Science,0.6000000000000001,0.8500000000000001
13,Software Engineering,The system processed the request successfully.,/uploads/courses/7326d405-091c-4fb0-8c1e-2819ff1c1d24.png,3,87,2,17,3,False,7,2023-02-10 14:01:37,2023-02-23 14:01:37,2023,2,0,87,0,2.8383838383838382,3485,99,Artificial Intelligence,0.4000000000000001,0.0
14,Computer Architecture,Enrollment confirmed for the selected course.,/uploads/courses/4cd8f4cc-6d67-4a4f-a263-5c250eb483db.png,1,175,1,47,2,True,11,2022-06-14 13:24:56,2022-09-19 13:24:56,2022,6,57,118,1,3.2264150943396226,3399,53,Computer Science,0.0,0.7125
