Id,UserId,Title,Body,Type,IsRead,ReadAt,EmailSent,EmailSentAt,ReferenceActivityId,CreatedAt,UserId_WasNull
13994,178.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,0,,0,2022-03-13 23:44:58,58.0,2022-03-13 23:41:58,0
10054,1476.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,,0,2022-08-07 23:50:08,,2022-08-07 23:21:08,0
5902,1586.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,,1,2024-05-22 13:31:22,157.0,2024-05-22 13:06:22,0
12150,1940.0,Notification: QuizAvailable,No details,QuizAvailable,0,,1,2023-07-25 21:30:02,,2023-07-25 21:09:02,0
12480,1109.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,,0,2024-11-11 03:12:03,,2024-11-11 02:52:03,0
4379,122.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,2025-03-20 04:25:11,1,2025-03-17 07:51:11,275.0,2025-03-17 07:25:11,0
2741,1448.0,Notification: CourseEnrollment,You have a new courseenrollment available.,CourseEnrollment,1,,1,2025-05-23 13:51:00,276.0,2025-05-23 13:43:00,0
220,218.0,Notification: QuizAvailable,No details,QuizAvailable,1,,1,2025-09-05 05:20:58,2205.0,2025-09-05 04:54:58,0
2324,91.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,,1,2023-12-08 23:01:02,,2023-12-08 22:53:02,0
5559,896.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,,0,2024-12-22 22:54:37,1343.0,2024-12-22 22:37:37,0
1405,1080.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,0,,1,2024-04-06 16:18:19,1116.0,2024-04-06 15:56:19,0
10984,931.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,,1,2023-09-04 16:09:35,1941.0,2023-09-04 16:08:35,0
7508,1392.0,Notification: AssignmentDue,You have a new assignmentdue available.,AssignmentDue,1,2026-02-25 20:22:07,1,2026-02-24 23:47:07,207.0,2026-02-24 23:22:07,0
260,232.0,Notification: NewLecture,You have a new newlecture available.,NewLecture,1,2025-02-21 11:59:14,1,2025-02-19 13:16:14,,2025-02-19 12:59:14,0
11347,1763.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,,1,2024-05-26 10:16:41,399.0,2024-05-26 10:13:41,0
5098,1607.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,2024-01-25 05:13:32,1,2024-01-25 03:16:32,,2024-01-25 03:13:32,0
8858,399.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,0,,1,2026-02-10 19:04:27,,2026-02-10 18:47:27,0
11565,967.0,Notification: CourseEnrollment,You have a new courseenrollment available.,CourseEnrollment,1,2022-04-11 06:21:27,1,2022-04-11 03:45:27,,2022-04-11 03:21:27,0
13674,993.0,Notification: AssignmentDue,You have a new assignmentdue available.,AssignmentDue,1,,1,2024-11-17 15:17:30,1860.0,2024-11-17 15:07:30,0
3348,1371.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,0,,0,2023-09-08 06:32:31,,2023-09-08 06:14:31,0
8248,1199.0,Notification: AssignmentDue,You have a new assignmentdue available.,AssignmentDue,1,2023-07-24 06:46:13,1,2023-07-22 09:16:13,590.0,2023-07-22 08:46:13,0
6807,710.0,Notification: NewLecture,No details,NewLecture,1,,1,2025-11-27 11:18:53,1840.0,2025-11-27 10:59:53,0
7059,1300.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,2025-03-03 03:44:48,0,2025-03-01 12:54:48,484.0,2025-03-01 12:44:48,0
13219,391.0,Notification: AssignmentDue,You have a new assignmentdue available.,AssignmentDue,1,2023-01-25 14:12:29,0,2023-01-23 13:40:29,1514.0,2023-01-23 13:12:29,0
944,1198.0,Notification: GradeReleased,You have a new gradereleased available.,GradeReleased,1,,0,2022-02-17 05:23:20,,2022-02-17 05:05:20,0
4703,1189.0,Notification: AssignmentDue,You have a new assignmentdue available.,AssignmentDue,1,,1,,1558.0,2023-07-18 10:00:00,0
3979,1958.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,2023-05-15 13:06:06,1,2023-05-15 07:27:06,648.0,2023-05-15 07:06:06,0
10379,277.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,2024-05-13 20:41:25,0,,,2024-05-11 20:41:25,0
10829,293.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,2024-12-19 09:10:02,0,2024-12-16 09:23:02,1410.0,2024-12-16 09:10:02,0
10523,1405.0,Notification: Reminder,You have a new reminder available.,Reminder,0,,1,2022-12-11 14:26:58,,2022-12-11 14:11:58,0
8381,840.0,Notification: GradeReleased,You have a new gradereleased available.,GradeReleased,1,,1,2024-03-28 00:23:09,,2024-03-27 23:58:09,0
13226,558.0,Notification: GradeReleased,You have a new gradereleased available.,GradeReleased,1,,1,2022-02-07 15:57:30,1787.0,2022-02-07 15:51:30,0
4122,1186.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,1,2024-08-16 10:42:47,0,2024-08-15 01:46:47,,2024-08-15 01:42:47,0
9760,1885.0,Notification: NewLecture,No details,NewLecture,0,,1,2023-07-23 21:17:05,,2023-07-23 21:00:05,0
5914,292.0,Notification: AssignmentDue,You have a new assignmentdue available.,AssignmentDue,0,,1,2022-08-26 02:10:53,1379.0,2022-08-26 02:01:53,0
2571,1450.0,Notification: GradeReleased,You have a new gradereleased available.,GradeReleased,0,,0,,,2023-03-26 19:00:52,0
7911,151.0,Notification: QuizAvailable,You have a new quizavailable available.,QuizAvailable,0,,1,2026-01-21 09:17:14,833.0,2026-01-21 08:53:14,0
