Id,QuestionId,OptionText,OptionTextAr,IsCorrect,SortOrder
1579,538,O(n²),خيار: O(n²),0,1
7147,2402,Application Programming Interface,خيار: Application Programm,1,3
4220,1416,Stack,خيار: Stack,1,2
15638,5266,Queue,خيار: Queue,0,2
7651,2567,True,صح,0,1
12308,4132,Queue,خيار: Queue,0,4
10998,3684,A system crash,,0,2
14711,4956,9,خيار: 9,0,1
11263,3773,True,صح,1,1
12242,4109,Object Oriented Programming,,1,2
13320,4466,References a primary key in another table,,1,2
10548,3532,Quick Sort,,0,2
8613,2881,Bubble Sort,,1,3
7068,2376,Data Link,,0,4
15167,5102,Two processes waiting for each other,خيار: Two processes waitin,1,1
2934,977,An index key,,0,4
10808,3619,Merge Sort,,0,2
12322,4137,O(n²),خيار: O(n²),0,2
658,219,Transport,خيار: Transport,0,2
11781,3953,True,صح,1,1
14793,4981,Transport,,0,3
4383,1476,8,,1,1
9934,3324,Steganography,,0,4
9145,3050,HTTP,خيار: HTTP,1,3
4955,1664,Symmetric key,,0,3
5441,1834,True,صح,0,1
7211,2422,References a primary key in another table,,1,3
3427,1149,TCP,,0,3
2734,913,Simple Query Language,خيار: Simple Query Languag,0,4
1782,609,Open Object Programming,خيار: Open Object Programm,0,4
4468,1501,Model is too simple,,0,4
15104,5081,Tree,خيار: Tree,0,4
5784,1953,References a primary key in another table,,1,4
7718,2596,O(1),,0,2
12777,4284,SSH,خيار: SSH,0,3
12353,4148,True,صح,1,1
12493,4197,True,صح,1,1
4533,1523,A memory overflow,,0,1
8118,2729,Application Programming Interface,,1,2
5144,1728,9,خيار: 9,0,2
6562,2218,A CPU spike,,0,4
3988,1338,Decision Tree,,0,2
243,79,SSH,,0,3
3817,1280,Standard Query Logic,,0,1
1421,482,Open Object Programming,خيار: Open Object Programm,0,3
5590,1883,Application Process Interface,,0,4
2458,828,References a primary key in another table,,1,4
345,116,SVM,خيار: SVM,0,1
10535,3529,TCP,,0,1
2259,767,Open Object Programming,,0,3
13570,4560,Queue,,0,2
