Id,UserId,DepartmentId,YearId,SquadronId,AdmissionYear,CreatedAt,UpdatedAt,DepartmentId_WasNull,YearId_WasNull,SquadronId_WasNull,AdmissionYear_WasNull,CreatedAt_Year,CreatedAt_Month,CreatedAt_Weekday,AccountAgeDays,EnrolledCourseCount,TotalCreditLoad,Year_AvgCreditLoad,Year_TotalEnrollments,Squadron_AvgCreditLoad,Squadron_TotalEnrollments,DepartmentId_Enc,YearId_Enc,SquadronId_Enc,AdmissionYear_Norm,AccountAgeDays_Norm,TotalCreditLoad_Norm,RiskFlag_NoEnrollment,RiskFlag_LowCreditLoad,RiskScore,DepartmentName,YearLevelName
3860,1486.0,2,1,4,2023,2025-08-14 19:38:45,2025-11-09 19:38:45,0,0,0,0,2025,8,3,212,5,15,2.929756350440643,3858,2.9369419642857144,1792,1,0,3,0.39999999999997726,0.07616438356164383,0.2631578947368421,0,0,0.0,Artificial Intelligence,First Year
589,370.0,1,2,3,2022,2022-01-20 02:00:37,2022-08-05 02:00:37,0,0,0,0,2022,1,3,1514,1,2,2.8799102132435466,2673,2.8538888888888887,1800,0,1,2,0.19999999999998863,0.7895890410958903,0.03508771929824561,0,0,0.0,Computer Science,Second Year
2482,1560.0,1,4,1,2024,2022-12-12 13:46:12,2023-07-07 13:46:12,0,0,0,0,2022,12,0,1188,2,5,2.9029629629629627,1350,2.8900462962962963,1728,0,3,0,0.5999999999999659,0.610958904109589,0.08771929824561403,0,0,0.0,Computer Science,Fourth Year
4243,1184.0,1,1,1,2024,2023-04-29 20:02:03,2023-10-20 20:02:03,0,0,0,0,2023,4,5,1050,1,4,2.929756350440643,3858,2.8900462962962963,1728,0,0,0,0.5999999999999659,0.5353424657534246,0.07017543859649122,0,0,0.0,Computer Science,First Year
3840,1106.0,2,1,3,2022,2025-10-03 20:17:26,2026-07-20 20:17:26,0,0,0,0,2025,10,4,162,1,4,2.929756350440643,3858,2.8538888888888887,1800,1,0,2,0.19999999999998863,0.04876712328767123,0.07017543859649122,0,0,0.0,Artificial Intelligence,First Year
1042,2037.0,2,3,3,2024,2023-08-08 15:25:34,2024-05-03 15:25:34,0,0,0,0,2023,8,1,949,2,7,2.874454677653902,2063,2.8538888888888887,1800,1,2,2,0.5999999999999659,0.48000000000000004,0.12280701754385964,0,0,0.0,Artificial Intelligence,Third Year
2079,1814.0,1,1,2,2026,2021-01-29 02:00:38,2021-07-26 02:00:38,1,0,0,0,2021,1,4,1870,0,0,2.929756350440643,3858,2.9339622641509435,1802,0,0,1,1.0,0.9846575342465753,0.0,1,1,1.0,Computer Science,First Year
1898,692.0,1,2,2,2024,2022-10-21 19:24:12,2023-08-15 19:24:12,0,0,0,0,2022,10,4,1240,3,9,2.8799102132435466,2673,2.9339622641509435,1802,0,1,1,0.5999999999999659,0.6394520547945205,0.15789473684210525,0,0,0.0,Computer Science,Second Year
4996,436.0,1,3,4,2025,2024-08-24 16:57:04,2024-09-09 16:57:04,0,0,0,0,2024,8,5,567,0,0,2.874454677653902,2063,2.9369419642857144,1792,0,2,3,0.7999999999999545,0.2706849315068493,0.0,1,1,1.0,Computer Science,Third Year
2557,1842.0,2,1,1,2024,2023-07-09 03:16:00,2023-11-10 03:16:00,0,0,0,0,2023,7,6,979,3,9,2.929756350440643,3858,2.8900462962962963,1728,1,0,0,0.5999999999999659,0.49643835616438353,0.15789473684210525,0,0,0.0,Artificial Intelligence,First Year
2162,887.0,3,2,2,2024,2025-04-28 19:45:59,2026-02-14 19:45:59,0,0,0,0,2025,4,0,320,1,1,2.8799102132435466,2673,2.9339622641509435,1802,2,1,1,0.5999999999999659,0.13534246575342468,0.017543859649122806,0,1,0.5,Cyber Security,Second Year
512,1141.0,1,2,1,2024,2024-08-05 18:23:23,2024-12-31 18:23:23,0,0,0,0,2024,8,0,586,4,9,2.8799102132435466,2673,2.8900462962962963,1728,0,1,0,0.5999999999999659,0.2810958904109589,0.15789473684210525,0,0,0.0,Computer Science,Second Year
2569,384.0,1,2,5,2023,2025-11-24 01:55:56,2026-08-08 01:55:56,0,0,0,0,2025,11,0,110,3,7,2.8799102132435466,2673,2.894755492558469,2822,0,1,4,0.39999999999997726,0.020273972602739727,0.12280701754385964,0,0,0.0,Computer Science,Second Year
4449,331.0,1,1,5,2023,2022-04-08 19:37:00,2022-09-30 19:37:00,0,1,0,0,2022,4,4,1436,2,5,2.929756350440643,3858,2.894755492558469,2822,0,0,4,0.39999999999997726,0.7468493150684931,0.08771929824561403,0,0,0.0,Computer Science,First Year
1490,384.0,2,1,5,2024,2024-04-20 06:36:00,2024-09-10 06:36:00,0,0,1,0,2024,4,5,693,1,4,2.929756350440643,3858,2.894755492558469,2822,1,0,4,0.5999999999999659,0.33972602739726027,0.07017543859649122,0,0,0.0,Artificial Intelligence,First Year
3083,570.0,1,3,4,2025,2024-12-04 06:02:54,2025-08-18 06:02:54,0,0,0,0,2024,12,2,465,1,4,2.874454677653902,2063,2.9369419642857144,1792,0,2,3,0.7999999999999545,0.21479452054794523,0.07017543859649122,0,0,0.0,Computer Science,Third Year
3087,1253.0,1,4,3,2026,2023-07-30 07:09:15,2024-02-01 07:09:15,0,0,0,0,2023,7,6,958,2,8,2.9029629629629627,1350,2.8538888888888887,1800,0,3,2,1.0,0.484931506849315,0.14035087719298245,0,0,0.0,Computer Science,Fourth Year
2666,1351.0,1,3,3,2025,2025-04-03 19:59:51,2025-07-31 19:59:51,0,0,0,0,2025,4,3,345,3,10,2.874454677653902,2063,2.8538888888888887,1800,0,2,2,0.7999999999999545,0.14904109589041092,0.17543859649122806,0,0,0.0,Computer Science,Third Year
2726,882.0,2,1,4,2022,2021-02-27 06:38:32,2021-08-22 06:38:32,0,0,0,0,2021,2,5,1841,2,3,2.929756350440643,3858,2.9369419642857144,1792,1,0,3,0.19999999999998863,0.9687671232876711,0.05263157894736842,0,0,0.0,Artificial Intelligence,First Year
1813,1464.0,3,4,2,2023,2025-03-04 14:16:49,2025-08-03 14:16:49,0,0,0,0,2025,3,1,375,12,31,2.9029629629629627,1350,2.9339622641509435,1802,2,3,1,0.39999999999997726,0.16547945205479453,0.5438596491228069,0,0,0.0,Cyber Security,Fourth Year
2467,1569.0,1,3,5,2021,2021-09-27 10:29:30,2022-05-14 10:29:30,0,0,0,0,2021,9,0,1629,1,2,2.874454677653902,2063,2.894755492558469,2822,0,2,4,0.0,0.8526027397260273,0.03508771929824561,0,0,0.0,Computer Science,Third Year
683,564.0,2,2,4,2025,2025-06-26 15:58:24,2025-11-20 15:58:24,0,0,0,0,2025,6,3,261,1,3,2.8799102132435466,2673,2.9369419642857144,1792,1,1,3,0.7999999999999545,0.10301369863013697,0.05263157894736842,0,0,0.0,Artificial Intelligence,Second Year
3621,452.0,1,3,4,2021,2023-03-06 14:55:59,2023-12-07 14:55:59,0,0,0,0,2023,3,0,1104,0,0,2.874454677653902,2063,2.9369419642857144,1792,0,2,3,0.0,0.564931506849315,0.0,1,1,1.0,Computer Science,Third Year
2327,1704.0,1,1,4,2023,2025-06-08 08:09:20,2026-02-10 08:09:20,0,0,0,0,2025,6,6,279,2,6,2.929756350440643,3858,2.9369419642857144,1792,0,0,3,0.39999999999997726,0.11287671232876713,0.10526315789473684,0,0,0.0,Computer Science,First Year
1276,1879.0,2,1,5,2023,2023-02-07 21:22:21,2023-05-14 21:22:21,0,0,0,0,2023,2,1,1131,1,3,2.929756350440643,3858,2.894755492558469,2822,1,0,4,0.39999999999997726,0.5797260273972602,0.05263157894736842,0,0,0.0,Artificial Intelligence,First Year
1749,1593.0,1,1,5,2026,2022-11-25 10:54:37,2023-04-17 10:54:37,1,0,0,0,2022,11,4,1205,3,9,2.929756350440643,3858,2.894755492558469,2822,0,0,4,1.0,0.6202739726027396,0.15789473684210525,0,0,0.0,Computer Science,First Year
3289,1194.0,1,1,2,2023,2022-05-06 11:59:36,2022-07-28 11:59:36,0,0,0,0,2022,5,4,1408,5,15,2.929756350440643,3858,2.9339622641509435,1802,0,0,1,0.39999999999997726,0.7315068493150684,0.2631578947368421,0,0,0.0,Computer Science,First Year
4619,,3,3,5,2024,2021-04-19 00:56:38,2021-10-06 00:56:38,0,0,0,0,2021,4,0,1790,1,4,2.874454677653902,2063,2.894755492558469,2822,2,2,4,0.5999999999999659,0.9408219178082191,0.07017543859649122,0,0,0.0,Cyber Security,Third Year
1509,9811.0,1,1,3,2023,2025-08-19 16:07:49,2025-09-25 16:07:49,0,0,0,0,2025,8,1,207,2,5,2.929756350440643,3858,2.8538888888888887,1800,0,0,2,0.39999999999997726,0.07342465753424657,0.08771929824561403,0,0,0.0,Computer Science,First Year
2529,1401.0,2,1,1,2024,2025-03-28 06:59:31,2025-10-11 06:59:31,0,1,0,0,2025,3,4,351,1,1,2.929756350440643,3858,2.8900462962962963,1728,1,0,0,0.5999999999999659,0.1523287671232877,0.017543859649122806,0,1,0.5,Artificial Intelligence,First Year
4906,416.0,1,4,3,2022,2023-11-16 21:58:38,2023-12-06 21:58:38,0,0,0,0,2023,11,3,849,1,2,2.9029629629629627,1350,2.8538888888888887,1800,0,3,2,0.19999999999998863,0.4252054794520548,0.03508771929824561,0,0,0.0,Computer Science,Fourth Year
1948,352.0,1,2,5,2021,2025-12-06 12:29:29,2026-09-10 12:29:29,0,0,1,0,2025,12,5,98,1,2,2.8799102132435466,2673,2.894755492558469,2822,0,1,4,0.0,0.0136986301369863,0.03508771929824561,0,0,0.0,Computer Science,Second Year
4425,631.0,2,2,4,2024,2024-11-20 06:36:00,2025-05-28 06:36:00,0,0,0,0,2024,11,2,479,1,2,2.8799102132435466,2673,2.9369419642857144,1792,1,1,3,0.5999999999999659,0.22246575342465752,0.03508771929824561,0,0,0.0,Artificial Intelligence,Second Year
3282,1729.0,1,2,4,2025,2025-03-22 21:24:43,2025-06-05 21:24:43,0,0,0,0,2025,3,5,357,2,4,2.8799102132435466,2673,2.9369419642857144,1792,0,1,3,0.7999999999999545,0.1556164383561644,0.07017543859649122,0,0,0.0,Computer Science,Second Year
1966,684.0,1,1,5,2023,2021-04-19 13:36:30,2021-11-09 13:36:30,1,1,0,0,2021,4,0,1790,3,7,2.929756350440643,3858,2.894755492558469,2822,0,0,4,0.39999999999997726,0.9408219178082191,0.12280701754385964,0,0,0.0,Computer Science,First Year
3985,1187.0,1,2,1,2024,2022-11-27 22:05:08,2023-03-13 22:05:08,0,0,0,0,2022,11,6,1203,3,3,2.8799102132435466,2673,2.8900462962962963,1728,0,1,0,0.5999999999999659,0.6191780821917807,0.05263157894736842,0,0,0.0,Computer Science,Second Year
4366,1402.0,3,4,4,2024,2022-06-08 01:42:23,2022-09-25 01:42:23,0,0,0,0,2022,6,2,1375,1,3,2.9029629629629627,1350,2.9369419642857144,1792,2,3,3,0.5999999999999659,0.7134246575342464,0.05263157894736842,0,0,0.0,Cyber Security,Fourth Year
4380,987.0,1,2,5,2022,2024-12-16 23:33:07,2025-05-11 23:33:07,0,0,1,0,2024,12,0,452,2,8,2.8799102132435466,2673,2.894755492558469,2822,0,1,4,0.19999999999998863,0.2076712328767123,0.14035087719298245,0,0,0.0,Computer Science,Second Year
4108,,1,2,1,2023,2022-01-30 21:56:09,2022-09-08 21:56:09,0,0,0,0,2022,1,6,1504,2,6,2.8799102132435466,2673,2.8900462962962963,1728,0,1,0,0.39999999999997726,0.7841095890410958,0.10526315789473684,0,0,0.0,Computer Science,Second Year
3339,109.0,2,1,5,2024,2025-09-16 02:17:22,2025-10-21 02:17:22,0,0,0,0,2025,9,1,179,3,8,2.929756350440643,3858,2.894755492558469,2822,1,0,4,0.5999999999999659,0.05808219178082191,0.14035087719298245,0,0,0.0,Artificial Intelligence,First Year
3742,9925.0,1,3,5,2024,2025-08-31 18:09:44,2026-01-21 18:09:44,0,0,0,0,2025,8,6,195,4,12,2.874454677653902,2063,2.894755492558469,2822,0,2,4,0.5999999999999659,0.06684931506849315,0.21052631578947367,0,0,0.0,Computer Science,Third Year
1516,1986.0,2,3,4,2026,2025-06-10 22:23:17,2025-08-01 22:23:17,0,0,0,0,2025,6,1,277,2,5,2.874454677653902,2063,2.9369419642857144,1792,1,2,3,1.0,0.1117808219178082,0.08771929824561403,0,0,0.0,Artificial Intelligence,Third Year
4961,1822.0,2,1,4,2023,2022-12-07 05:44:40,2023-03-16 05:44:40,0,0,0,0,2022,12,2,1193,1,4,2.929756350440643,3858,2.9369419642857144,1792,1,0,3,0.39999999999997726,0.6136986301369862,0.07017543859649122,0,0,0.0,Artificial Intelligence,First Year
3865,1124.0,1,1,4,2021,2022-07-14 00:25:15,2022-12-11 00:25:15,0,0,0,0,2022,7,3,1339,2,7,2.929756350440643,3858,2.9369419642857144,1792,0,0,3,0.0,0.6936986301369862,0.12280701754385964,0,0,0.0,Computer Science,First Year
4038,1593.0,2,1,3,2026,2025-01-09 02:14:29,2025-10-28 02:14:29,0,0,0,0,2025,1,3,429,2,6,2.929756350440643,3858,2.8538888888888887,1800,1,0,2,1.0,0.19506849315068492,0.10526315789473684,0,0,0.0,Artificial Intelligence,First Year
3786,1674.0,1,3,4,2024,2024-04-23 10:47:39,2024-10-03 10:47:39,0,0,0,0,2024,4,1,690,3,8,2.874454677653902,2063,2.9369419642857144,1792,0,2,3,0.5999999999999659,0.3380821917808219,0.14035087719298245,0,0,0.0,Computer Science,Third Year
3564,609.0,1,3,5,2025,2025-08-18 08:40:33,2025-09-29 08:40:33,0,0,1,0,2025,8,0,208,3,7,2.874454677653902,2063,2.894755492558469,2822,0,2,4,0.7999999999999545,0.07397260273972603,0.12280701754385964,0,0,0.0,Computer Science,Third Year
4599,1489.0,2,2,5,2022,2021-03-13 09:09:41,2021-08-25 09:09:41,0,0,0,0,2021,3,5,1827,2,7,2.8799102132435466,2673,2.894755492558469,2822,1,1,4,0.19999999999998863,0.9610958904109588,0.12280701754385964,0,0,0.0,Artificial Intelligence,Second Year
3628,1647.0,2,1,4,2023,2021-09-20 22:25:48,2022-01-14 22:25:48,0,0,0,0,2021,9,0,1636,1,3,2.929756350440643,3858,2.9369419642857144,1792,1,0,3,0.39999999999997726,0.8564383561643835,0.05263157894736842,0,0,0.0,Artificial Intelligence,First Year
4863,1637.0,2,4,3,2023,2025-11-17 08:28:51,2026-01-08 08:28:51,0,0,0,0,2025,11,0,117,1,3,2.9029629629629627,1350,2.8538888888888887,1800,1,3,2,0.39999999999997726,0.02410958904109589,0.05263157894736842,0,0,0.0,Artificial Intelligence,Fourth Year
4722,1841.0,2,3,1,2024,2023-03-30 23:50:29,2023-06-22 23:50:29,0,0,0,0,2023,3,3,1079,3,9,2.874454677653902,2063,2.8900462962962963,1728,1,2,0,0.5999999999999659,0.5512328767123287,0.15789473684210525,0,0,0.0,Artificial Intelligence,Third Year
4964,2008.0,2,1,2,2024,2021-02-14 22:44:16,2021-10-29 22:44:16,0,0,0,0,2021,2,6,1854,3,7,2.929756350440643,3858,2.9339622641509435,1802,1,0,1,0.5999999999999659,0.9758904109589039,0.12280701754385964,0,0,0.0,Artificial Intelligence,First Year
1076,354.0,1,4,2,2025,2025-02-14 10:55:14,2025-07-21 10:55:14,0,0,0,0,2025,2,4,393,2,5,2.9029629629629627,1350,2.9339622641509435,1802,0,3,1,0.7999999999999545,0.17534246575342466,0.08771929824561403,0,0,0.0,Computer Science,Fourth Year
3466,1808.0,2,2,5,2025,2022-04-29 09:28:38,2022-06-11 09:28:38,0,0,1,0,2022,4,4,1415,1,3,2.8799102132435466,2673,2.894755492558469,2822,1,1,4,0.7999999999999545,0.7353424657534245,0.05263157894736842,0,0,0.0,Artificial Intelligence,Second Year
4858,70.0,2,4,3,2025,2021-11-06 12:55:22,2022-07-07 12:55:22,0,0,0,0,2021,11,5,1589,3,11,2.9029629629629627,1350,2.8538888888888887,1800,1,3,2,0.7999999999999545,0.8306849315068492,0.19298245614035087,0,0,0.0,Artificial Intelligence,Fourth Year
3957,207.0,1,1,5,2026,2022-09-23 09:06:37,2023-04-04 09:06:37,0,0,1,0,2022,9,4,1268,2,6,2.929756350440643,3858,2.894755492558469,2822,0,0,4,1.0,0.6547945205479451,0.10526315789473684,0,0,0.0,Computer Science,First Year
4052,141.0,1,1,5,2024,2025-10-27 14:17:16,2025-11-07 14:17:16,1,0,0,1,2025,10,0,138,1,6,2.929756350440643,3858,2.894755492558469,2822,0,0,4,0.5999999999999659,0.03561643835616439,0.10526315789473684,0,0,0.0,Computer Science,First Year
4006,1680.0,3,2,1,2024,2024-12-06 23:09:56,2025-09-29 23:09:56,0,0,0,0,2024,12,4,463,5,15,2.8799102132435466,2673,2.8900462962962963,1728,2,1,0,0.5999999999999659,0.2136986301369863,0.2631578947368421,0,0,0.0,Cyber Security,Second Year
4457,122.0,1,1,5,2023,2024-08-25 23:00:50,2024-12-16 23:00:50,0,1,0,0,2024,8,6,566,1,3,2.929756350440643,3858,2.894755492558469,2822,0,0,4,0.39999999999997726,0.27013698630136984,0.05263157894736842,0,0,0.0,Computer Science,First Year
1394,996.0,1,2,3,2023,2023-07-18 14:26:33,2023-12-12 14:26:33,0,0,0,0,2023,7,1,970,1,4,2.8799102132435466,2673,2.8538888888888887,1800,0,1,2,0.39999999999997726,0.49150684931506844,0.07017543859649122,0,0,0.0,Computer Science,Second Year
2889,1693.0,1,2,2,2022,2025-10-11 00:41:17,2026-06-05 00:41:17,0,0,0,0,2025,10,5,154,2,5,2.8799102132435466,2673,2.9339622641509435,1802,0,1,1,0.19999999999998863,0.04438356164383561,0.08771929824561403,0,0,0.0,Computer Science,Second Year
4405,,2,4,1,2023,2022-09-12 03:23:25,2023-01-29 03:23:25,0,0,0,0,2022,9,0,1279,1,2,2.9029629629629627,1350,2.8900462962962963,1728,1,3,0,0.39999999999997726,0.6608219178082191,0.03508771929824561,0,0,0.0,Artificial Intelligence,Fourth Year
455,2024.0,1,1,5,2025,2021-10-28 20:50:06,2021-12-30 20:50:06,0,0,1,0,2021,10,3,1598,3,8,2.929756350440643,3858,2.894755492558469,2822,0,0,4,0.7999999999999545,0.8356164383561643,0.14035087719298245,0,0,0.0,Computer Science,First Year
1796,952.0,1,2,5,2023,2023-10-15 12:57:58,2023-12-24 12:57:58,0,0,1,0,2023,10,6,881,3,7,2.8799102132435466,2673,2.894755492558469,2822,0,1,4,0.39999999999997726,0.44273972602739725,0.12280701754385964,0,0,0.0,Computer Science,Second Year
885,1028.0,2,4,4,2025,2023-05-03 23:28:02,2023-07-14 23:28:02,0,0,0,0,2023,5,2,1045,2,8,2.9029629629629627,1350,2.9369419642857144,1792,1,3,3,0.7999999999999545,0.5326027397260273,0.14035087719298245,0,0,0.0,Artificial Intelligence,Fourth Year
4275,1865.0,1,3,2,2023,2023-09-23 21:58:40,2024-05-31 21:58:40,0,0,0,0,2023,9,5,903,0,0,2.874454677653902,2063,2.9339622641509435,1802,0,2,1,0.39999999999997726,0.45479452054794517,0.0,1,1,1.0,Computer Science,Third Year
1061,1088.0,1,2,5,2025,2025-10-01 15:12:32,2026-01-29 15:12:32,0,0,1,0,2025,10,2,164,1,6,2.8799102132435466,2673,2.894755492558469,2822,0,1,4,0.7999999999999545,0.04986301369863014,0.10526315789473684,0,0,0.0,Computer Science,Second Year
1688,817.0,3,1,5,2025,2021-06-17 15:53:57,2022-02-20 15:53:57,0,0,0,0,2021,6,3,1731,1,2,2.929756350440643,3858,2.894755492558469,2822,2,0,4,0.7999999999999545,0.9084931506849314,0.03508771929824561,0,0,0.0,Cyber Security,First Year
211,9633.0,3,3,3,2026,2023-07-19 16:15:35,2024-01-19 16:15:35,0,0,0,0,2023,7,2,969,0,0,2.874454677653902,2063,2.8538888888888887,1800,2,2,2,1.0,0.49095890410958903,0.0,1,1,1.0,Cyber Security,Third Year
2590,567.0,1,1,3,2023,2022-12-06 05:44:34,2022-12-10 05:44:34,1,0,0,0,2022,12,1,1194,3,10,2.929756350440643,3858,2.8538888888888887,1800,0,0,2,0.39999999999997726,0.6142465753424656,0.17543859649122806,0,0,0.0,Computer Science,First Year
1206,,3,2,5,2026,2021-01-01 07:52:55,2021-07-28 07:52:55,0,0,0,0,2021,1,4,1898,3,3,2.8799102132435466,2673,2.894755492558469,2822,2,1,4,1.0,1.0,0.05263157894736842,0,0,0.0,Cyber Security,Second Year
3858,110.0,1,4,4,2022,2023-09-23 13:58:32,2024-03-03 13:58:32,0,0,0,0,2023,9,5,903,0,0,2.9029629629629627,1350,2.9369419642857144,1792,0,3,3,0.19999999999998863,0.45479452054794517,0.0,1,1,1.0,Computer Science,Fourth Year
4153,1637.0,3,4,4,2021,2021-11-16 03:23:47,2022-07-17 03:23:47,0,0,0,0,2021,11,1,1579,1,3,2.9029629629629627,1350,2.9369419642857144,1792,2,3,3,0.0,0.8252054794520547,0.05263157894736842,0,0,0.0,Cyber Security,Fourth Year
280,1500.0,2,2,4,2023,2021-06-14 00:02:17,2021-09-02 00:02:17,0,0,0,0,2021,6,0,1734,1,1,2.8799102132435466,2673,2.9369419642857144,1792,1,1,3,0.39999999999997726,0.9101369863013697,0.017543859649122806,0,1,0.5,Artificial Intelligence,Second Year
1589,9054.0,1,2,4,2024,2025-05-09 13:35:03,2026-01-29 13:35:03,0,0,0,1,2025,5,4,309,1,1,2.8799102132435466,2673,2.9369419642857144,1792,0,1,3,0.5999999999999659,0.12931506849315066,0.017543859649122806,0,1,0.5,Computer Science,Second Year
268,1312.0,3,1,1,2023,2024-05-28 20:06:46,2025-02-11 20:06:46,0,0,0,0,2024,5,1,655,0,0,2.929756350440643,3858,2.8900462962962963,1728,2,0,0,0.39999999999997726,0.3189041095890411,0.0,1,1,1.0,Cyber Security,First Year
