CourseId,DepartmentId,CreditHours,IsArchived,InstructorId,EnrolledStudents,TotalActivities,QuizCount,AssignmentCount,LectureCount,QuizDensity,AssignmentDensity,CompletionRate,AvgProgress,AvgTimeMinutes,DropoutRate,AvgQuizScore,QuizPassRate,AvgAttempts,TotalAttempts,AvgAssignGrade,AssignLateRate,CourseDifficultyIndex
1,1,4,False,6,63.0,5,1,0,4,0.2,0.0,0.591,77.727,40.743,0.409,67.917,0.281,1.0,32.0,0.0,0.0,0.4829
2,1,3,True,1,66.0,18,7,3,8,0.3889,0.1667,0.651,76.628,49.019,0.349,50.084,0.321,1.5,106.0,0.0,0.0,0.5091
3,3,2,True,5,69.0,4,1,0,3,0.25,0.0,0.558,71.212,52.956,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,True,15,75.0,16,4,2,10,0.25,0.125,0.574,71.71,49.889,0.426,50.808,0.326,1.75,132.0,16.534,0.271,0.5306
5,2,4,True,12,55.0,14,3,3,8,0.2143,0.2143,0.0,0.0,0.0,0.0,69.944,0.593,1.0,27.0,12.967,0.0,0.0
6,1,3,True,14,62.0,10,1,4,5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,2,False,12,54.0,9,1,1,7,0.1111,0.1111,0.54,70.707,46.844,0.46,0.0,0.0,0.0,0.0,11.907,0.705,0.0
8,1,3,True,7,62.0,6,2,1,3,0.3333,0.1667,0.516,69.72,50.199,0.484,49.081,0.333,1.37,54.0,12.371,0.0,0.5534
9,2,6,False,8,64.0,13,2,3,8,0.1538,0.2308,0.52,69.206,44.232,0.48,51.124,0.294,1.765,68.0,0.0,0.0,0.5583
10,2,4,True,5,0.0,5,1,1,3,0.2,0.2,0.523,70.364,48.286,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,3,True,2,69.0,9,0,2,7,0.0,0.2222,0.541,69.992,51.509,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,4,True,15,68.0,6,1,1,4,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,3,False,7,0.0,7,1,2,4,0.1429,0.2857,0.543,77.304,46.217,0.457,48.954,0.246,1.565,69.0,13.658,0.023,0.5738
14,1,1,True,11,57.0,6,1,1,4,0.1667,0.1667,0.0,0.0,0.0,0.0,55.44,0.438,1.0,16.0,40.2,0.265,0.0
15,2,2,True,7,0.0,3,1,1,1,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,3,True,15,70.0,10,4,1,5,0.4,0.1,0.526,69.619,47.967,0.474,55.703,0.308,1.146,130.0,28.919,0.351,0.5363
17,2,1,True,13,0.0,19,8,2,9,0.4211,0.1053,0.489,66.602,44.332,0.511,35.464,0.045,1.0,22.0,13.478,0.0,0.7038
18,3,3,True,8,63.0,3,0,2,1,0.0,0.6667,0.567,76.067,54.663,0.433,0.0,0.0,0.0,0.0,44.141,0.0,0.0
19,2,6,False,3,0.0,20,5,4,11,0.25,0.2,0.493,65.897,48.178,0.507,56.802,0.362,1.718,188.0,0.0,0.0,0.5257
20,1,6,True,2,69.0,18,5,6,7,0.2778,0.3333,0.528,66.954,47.439,0.472,52.691,0.299,1.403,144.0,31.844,0.785,0.5487
21,3,3,False,13,65.0,6,0,1,5,0.0,0.1667,0.618,73.982,54.4,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,4,True,3,61.0,10,0,5,5,0.0,0.5,0.567,70.516,49.936,0.433,0.0,0.0,0.0,0.0,16.776,0.383,0.0
23,1,4,True,3,64.0,13,2,4,7,0.1538,0.3077,0.55,71.162,49.269,0.45,56.924,0.328,1.361,61.0,34.408,0.345,0.5176
24,2,3,True,3,62.0,18,1,5,12,0.0556,0.2778,0.535,68.436,49.712,0.465,0.0,0.0,0.0,0.0,29.478,0.378,0.0
25,2,3,False,10,64.0,17,3,4,10,0.1765,0.2353,0.618,75.364,45.565,0.382,0.0,0.0,0.0,0.0,33.623,0.0,0.0
26,1,6,False,6,77.0,3,1,0,2,0.3333,0.0,0.489,68.178,48.28,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,2,True,8,0.0,17,4,0,13,0.2353,0.0,0.59,71.677,51.037,0.41,58.278,0.375,1.625,64.0,0.0,0.0,0.4841
28,1,4,False,3,65.0,9,5,1,3,0.5556,0.1111,0.528,68.174,47.763,0.472,50.201,0.267,1.699,146.0,22.81,0.077,0.5677
29,3,2,True,8,71.0,14,6,5,3,0.4286,0.3571,0.553,72.559,48.934,0.447,46.021,0.258,1.258,89.0,14.173,0.0,0.5763
30,2,4,False,15,60.0,18,3,2,13,0.1667,0.1111,0.527,66.809,50.201,0.473,55.13,0.261,1.261,46.0,19.412,0.308,0.5536
