StudentId,DepartmentId,YearId,SquadronId,AdmissionYear,EnrolledCourseCount,QuizAttempts,AvgScore,MinScore,ScoreStd,PassRate,AvgAttemptsPerQuiz,AvgTimePerQuizMin,AvgAttemptsBeforeSuccess,NightActivityRatio,WeekendRatio,DaytimeActivityRatio,FailureRatio,DifficultyExposure,StudyConsistency,CompletionRate,ActivitiesCompleted,AvgTimePerActivity,AbandonRate,RemainingActivities,LearningVelocity,Submissions,AvgGrade,LateRate,AvgSubmitHour,CommentsCount,LikesGiven,SocialIsolationScore,Dropout,AtRisk,HighPerformer,CompositeScore,WorkloadPressure
3860,2,1,4,2023,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2507,0.0
589,1,2,3,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,5.0,60.6167,0.0,1.0,0.005,0.0,0.0,0.0,0.0,4.0,4.0,0.1111,0,0,0,0.5424,363.7
2482,1,4,1,2024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,50.87,0.4,6.0,0.0053,2.0,14.0,0.0,8.5,0.0,0.0,1.0,0,1,0,0.3907,254.35
4243,1,1,1,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.7,0.0,13.0,0.0,0.0,1.0,0,0,0,0.2507,0.0
3840,2,1,3,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,64.2333,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6007,192.7
1042,2,3,3,2024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,6.0,44.0222,0.3333,12.0,0.0053,1.0,5.7,0.0,11.0,1.0,2.0,0.25,0,1,0,0.3674,396.2
2079,1,1,2,2026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.48,0.4,10.2,0.0,0.0,1.0,0,0,0,0.2507,0.0
1898,1,2,2,2024,3,2.0,56.0,40.5,21.9203,0.5,1.5,11.6,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.1,1,0,0,0.4593,0.0
4996,1,3,4,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2507,0.0
2557,2,1,1,2024,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2507,0.0
2162,3,2,2,2024,1,11.0,38.775,12.0,19.6008,0.2727,1.3636,18.2636,2.0,0.2727,0.3636,0.7273,0.7273,0.2727,2.3094010767585034,0.7273,8.0,55.7455,0.2727,3.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6313,613.2
512,1,2,1,2024,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,41.56,0.4,2.0,0.0031,2.0,1.5,0.0,9.5,6.0,4.0,0.0909,0,0,0,0.4607,51.95
2569,1,2,5,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.6,1.0,14.0,0.0,0.0,1.0,0,0,0,0.2507,0.0
