StudentId,Cluster,ClusterLabel
3860,0,At-Risk Students
589,1,Passive Learners
2482,1,Passive Learners
4243,0,At-Risk Students
3840,1,Passive Learners
1042,1,Passive Learners
2079,0,At-Risk Students
1898,3,Inconsistent Learners
4996,0,At-Risk Students
2557,0,At-Risk Students
2162,2,High Achievers
512,1,Passive Learners
2569,0,At-Risk Students
4449,1,Passive Learners
1490,1,Passive Learners
3083,3,Inconsistent Learners
3087,0,At-Risk Students
2666,0,At-Risk Students
2726,0,At-Risk Students
1813,0,At-Risk Students
2467,2,High Achievers
683,0,At-Risk Students
3621,0,At-Risk Students
2327,0,At-Risk Students
1276,3,Inconsistent Learners
1749,0,At-Risk Students
3289,0,At-Risk Students
4619,3,Inconsistent Learners
1509,0,At-Risk Students
2529,1,Passive Learners
4906,0,At-Risk Students
1948,2,High Achievers
4425,0,At-Risk Students
3282,0,At-Risk Students
1966,1,Passive Learners
3985,2,High Achievers
4366,1,Passive Learners
4380,0,At-Risk Students
4108,1,Passive Learners
3339,1,Passive Learners
3742,0,At-Risk Students
1516,2,High Achievers
4961,1,Passive Learners
3865,1,Passive Learners
4038,3,Inconsistent Learners
3786,1,Passive Learners
3564,0,At-Risk Students
4599,1,Passive Learners
3628,0,At-Risk Students
4863,1,Passive Learners
4722,1,Passive Learners
4964,1,Passive Learners
1076,1,Passive Learners
3466,1,Passive Learners
4858,0,At-Risk Students
3957,2,High Achievers
4052,3,Inconsistent Learners
4006,1,Passive Learners
4457,1,Passive Learners
1394,1,Passive Learners
2889,2,High Achievers
4405,2,High Achievers
455,1,Passive Learners
1796,1,Passive Learners
885,0,At-Risk Students
4275,2,High Achievers
1061,0,At-Risk Students
1688,2,High Achievers
211,3,Inconsistent Learners
2590,2,High Achievers
1206,2,High Achievers
3858,0,At-Risk Students
4153,1,Passive Learners
280,1,Passive Learners
1589,1,Passive Learners
268,1,Passive Learners
419,0,At-Risk Students
602,1,Passive Learners
1081,0,At-Risk Students
1068,0,At-Risk Students
2534,1,Passive Learners
3763,2,High Achievers
165,1,Passive Learners
4609,0,At-Risk Students
2286,2,High Achievers
4171,1,Passive Learners
2843,2,High Achievers
1111,1,Passive Learners
1331,0,At-Risk Students
1465,1,Passive Learners
1748,3,Inconsistent Learners
79,1,Passive Learners
89,0,At-Risk Students
939,0,At-Risk Students
3878,1,Passive Learners
2794,1,Passive Learners
1277,0,At-Risk Students
2166,1,Passive Learners
4209,1,Passive Learners
4546,1,Passive Learners
1455,1,Passive Learners
4,1,Passive Learners
3125,0,At-Risk Students
1503,0,At-Risk Students
274,3,Inconsistent Learners
3682,3,Inconsistent Learners
4097,0,At-Risk Students
2522,0,At-Risk Students
367,0,At-Risk Students
1972,1,Passive Learners
4407,3,Inconsistent Learners
2101,1,Passive Learners
4615,1,Passive Learners
4671,1,Passive Learners
2688,1,Passive Learners
3672,0,At-Risk Students
1520,1,Passive Learners
1067,1,Passive Learners
3762,0,At-Risk Students
3498,1,Passive Learners
588,0,At-Risk Students
4248,0,At-Risk Students
2230,0,At-Risk Students
1185,3,Inconsistent Learners
4733,0,At-Risk Students
2894,1,Passive Learners
2266,1,Passive Learners
2288,1,Passive Learners
3708,0,At-Risk Students
4456,1,Passive Learners
4971,2,High Achievers
2226,3,Inconsistent Learners
2660,0,At-Risk Students
3793,0,At-Risk Students
4869,0,At-Risk Students
3800,1,Passive Learners
968,0,At-Risk Students
2973,3,Inconsistent Learners
1096,1,Passive Learners
1826,0,At-Risk Students
2436,1,Passive Learners
862,1,Passive Learners
4700,1,Passive Learners
1698,1,Passive Learners
1967,2,High Achievers
1078,0,At-Risk Students
3730,1,Passive Learners
2390,0,At-Risk Students
2538,0,At-Risk Students
4429,1,Passive Learners
3577,3,Inconsistent Learners
3189,2,High Achievers
1570,1,Passive Learners
4973,2,High Achievers
117,3,Inconsistent Learners
494,1,Passive Learners
3779,2,High Achievers
4064,0,At-Risk Students
1823,1,Passive Learners
1905,1,Passive Learners
255,0,At-Risk Students
818,1,Passive Learners
2362,2,High Achievers
3437,1,Passive Learners
3184,1,Passive Learners
1478,2,High Achievers
4325,1,Passive Learners
724,0,At-Risk Students
2228,1,Passive Learners
706,1,Passive Learners
536,1,Passive Learners
1708,0,At-Risk Students
702,0,At-Risk Students
3644,0,At-Risk Students
4644,0,At-Risk Students
4128,1,Passive Learners
3433,0,At-Risk Students
520,1,Passive Learners
175,1,Passive Learners
4085,0,At-Risk Students
3569,0,At-Risk Students
4318,3,Inconsistent Learners
4622,0,At-Risk Students
4576,1,Passive Learners
2198,3,Inconsistent Learners
3652,3,Inconsistent Learners
3898,0,At-Risk Students
1511,1,Passive Learners
3702,3,Inconsistent Learners
826,2,High Achievers
3028,1,Passive Learners
2078,3,Inconsistent Learners
1416,2,High Achievers
495,0,At-Risk Students
4336,0,At-Risk Students
1863,1,Passive Learners
2715,1,Passive Learners
3809,1,Passive Learners
1787,2,High Achievers
285,3,Inconsistent Learners
4675,0,At-Risk Students
2110,0,At-Risk Students
4745,2,High Achievers
3134,1,Passive Learners
2257,3,Inconsistent Learners
3284,2,High Achievers
1446,0,At-Risk Students
2,1,Passive Learners
3525,1,Passive Learners
4537,1,Passive Learners
2391,2,High Achievers
1380,2,High Achievers
4481,1,Passive Learners
3496,3,Inconsistent Learners
4158,2,High Achievers
2644,0,At-Risk Students
1636,1,Passive Learners
2656,3,Inconsistent Learners
546,3,Inconsistent Learners
415,1,Passive Learners
920,0,At-Risk Students
1525,0,At-Risk Students
3431,2,High Achievers
2255,2,High Achievers
254,0,At-Risk Students
219,2,High Achievers
3021,2,High Achievers
347,1,Passive Learners
3663,1,Passive Learners
3902,0,At-Risk Students
1864,1,Passive Learners
3846,1,Passive Learners
4589,0,At-Risk Students
273,1,Passive Learners
231,2,High Achievers
4245,1,Passive Learners
1230,1,Passive Learners
3769,1,Passive Learners
1821,1,Passive Learners
897,1,Passive Learners
197,3,Inconsistent Learners
129,0,At-Risk Students
1881,0,At-Risk Students
3803,0,At-Risk Students
3137,0,At-Risk Students
3731,3,Inconsistent Learners
4647,0,At-Risk Students
1151,1,Passive Learners
1100,1,Passive Learners
3147,1,Passive Learners
4846,0,At-Risk Students
1653,1,Passive Learners
2647,1,Passive Learners
2624,1,Passive Learners
675,0,At-Risk Students
2302,0,At-Risk Students
801,0,At-Risk Students
435,2,High Achievers
18,0,At-Risk Students
4057,3,Inconsistent Learners
1991,1,Passive Learners
1997,1,Passive Learners
2994,3,Inconsistent Learners
4560,0,At-Risk Students
2610,1,Passive Learners
1999,0,At-Risk Students
4261,2,High Achievers
509,0,At-Risk Students
3002,1,Passive Learners
3571,3,Inconsistent Learners
2563,1,Passive Learners
778,3,Inconsistent Learners
802,1,Passive Learners
1915,1,Passive Learners
4899,0,At-Risk Students
1243,3,Inconsistent Learners
3574,1,Passive Learners
2503,3,Inconsistent Learners
1937,1,Passive Learners
4529,0,At-Risk Students
4196,1,Passive Learners
31,1,Passive Learners
541,2,High Achievers
2384,1,Passive Learners
3170,2,High Achievers
4094,1,Passive Learners
2849,2,High Achievers
2181,3,Inconsistent Learners
1056,0,At-Risk Students
1985,3,Inconsistent Learners
4505,1,Passive Learners
4937,1,Passive Learners
1541,0,At-Risk Students
4476,1,Passive Learners
768,0,At-Risk Students
3949,2,High Achievers
3507,0,At-Risk Students
3446,0,At-Risk Students
4093,3,Inconsistent Learners
745,0,At-Risk Students
3072,1,Passive Learners
2491,3,Inconsistent Learners
2008,0,At-Risk Students
1048,2,High Achievers
1594,1,Passive Learners
2564,0,At-Risk Students
2118,2,High Achievers
4223,1,Passive Learners
339,1,Passive Learners
3392,0,At-Risk Students
4654,0,At-Risk Students
1729,2,High Achievers
3201,1,Passive Learners
3448,2,High Achievers
2988,1,Passive Learners
1669,1,Passive Learners
3258,1,Passive Learners
406,1,Passive Learners
648,3,Inconsistent Learners
4994,1,Passive Learners
4246,0,At-Risk Students
4635,1,Passive Learners
4843,2,High Achievers
3311,1,Passive Learners
4274,0,At-Risk Students
4312,1,Passive Learners
4928,0,At-Risk Students
3450,0,At-Risk Students
3976,1,Passive Learners
3836,3,Inconsistent Learners
4347,3,Inconsistent Learners
4185,1,Passive Learners
4570,1,Passive Learners
2888,0,At-Risk Students
3603,3,Inconsistent Learners
4139,0,At-Risk Students
85,0,At-Risk Students
670,2,High Achievers
2031,2,High Achievers
4769,0,At-Risk Students
896,0,At-Risk Students
1944,2,High Achievers
2034,1,Passive Learners
699,1,Passive Learners
2856,0,At-Risk Students
4352,0,At-Risk Students
737,0,At-Risk Students
2918,0,At-Risk Students
3890,0,At-Risk Students
178,1,Passive Learners
3091,1,Passive Learners
2733,1,Passive Learners
2963,0,At-Risk Students
3707,0,At-Risk Students
4816,0,At-Risk Students
1123,0,At-Risk Students
105,1,Passive Learners
690,0,At-Risk Students
1848,0,At-Risk Students
4707,2,High Achievers
1712,0,At-Risk Students
3676,0,At-Risk Students
2006,2,High Achievers
3562,1,Passive Learners
1377,0,At-Risk Students
4471,0,At-Risk Students
2680,1,Passive Learners
2901,1,Passive Learners
4668,1,Passive Learners
3459,0,At-Risk Students
4826,2,High Achievers
4042,0,At-Risk Students
2652,1,Passive Learners
2375,1,Passive Learners
99,1,Passive Learners
3868,0,At-Risk Students
333,2,High Achievers
3990,0,At-Risk Students
3954,0,At-Risk Students
2108,2,High Achievers
1941,0,At-Risk Students
5000,1,Passive Learners
3156,3,Inconsistent Learners
1199,2,High Achievers
1443,0,At-Risk Students
3274,1,Passive Learners
2321,1,Passive Learners
2209,2,High Achievers
337,1,Passive Learners
4583,3,Inconsistent Learners
1462,0,At-Risk Students
4005,1,Passive Learners
2741,0,At-Risk Students
2539,2,High Achievers
2648,3,Inconsistent Learners
3830,1,Passive Learners
712,2,High Achievers
2171,1,Passive Learners
1812,0,At-Risk Students
3146,2,High Achievers
1310,1,Passive Learners
4813,0,At-Risk Students
2363,0,At-Risk Students
4379,1,Passive Learners
2740,2,High Achievers
1038,0,At-Risk Students
4390,0,At-Risk Students
4721,0,At-Risk Students
3654,1,Passive Learners
2905,2,High Achievers
483,1,Passive Learners
3939,1,Passive Learners
4796,1,Passive Learners
3025,0,At-Risk Students
411,0,At-Risk Students
907,3,Inconsistent Learners
28,2,High Achievers
1741,3,Inconsistent Learners
1405,1,Passive Learners
1644,0,At-Risk Students
4951,2,High Achievers
391,0,At-Risk Students
2425,0,At-Risk Students
2060,0,At-Risk Students
3449,2,High Achievers
96,0,At-Risk Students
549,0,At-Risk Students
1003,1,Passive Learners
1664,1,Passive Learners
3307,1,Passive Learners
