FPR,TPR,Threshold,Model
0.0,0.0,inf,LogisticRegression
0.0,0.005,0.971,LogisticRegression
0.0,0.8756,0.9463,LogisticRegression
0.0048,0.8756,0.8229,LogisticRegression
0.0048,0.8806,0.7933,LogisticRegression
0.0076,0.8806,0.7491,LogisticRegression
0.0076,0.8905,0.7232,LogisticRegression
0.0133,0.8905,0.6682,LogisticRegression
0.0133,0.8955,0.6576,LogisticRegression
0.0305,0.8955,0.5531,LogisticRegression
0.0305,0.9005,0.5493,LogisticRegression
0.0343,0.9005,0.5362,LogisticRegression
0.0343,0.9055,0.5358,LogisticRegression
0.0372,0.9055,0.5253,LogisticRegression
0.0372,0.9104,0.524,LogisticRegression
0.04,0.9104,0.5171,LogisticRegression
0.04,0.9154,0.5146,LogisticRegression
0.0458,0.9154,0.4815,LogisticRegression
0.0458,0.9204,0.4766,LogisticRegression
0.1516,0.9204,0.1304,LogisticRegression
0.1697,0.9204,0.1297,LogisticRegression
0.1706,0.9204,0.1284,LogisticRegression
0.1735,0.9204,0.1276,LogisticRegression
0.1754,0.9204,0.1258,LogisticRegression
0.1916,0.9204,0.1233,LogisticRegression
0.1926,0.9204,0.1227,LogisticRegression
0.2107,0.9204,0.1213,LogisticRegression
0.2126,0.9204,0.1194,LogisticRegression
0.2145,0.9204,0.1187,LogisticRegression
0.2269,0.9204,0.1172,LogisticRegression
0.2479,0.9204,0.1153,LogisticRegression
0.2488,0.9204,0.1147,LogisticRegression
0.2707,0.9204,0.1134,LogisticRegression
0.2765,0.9204,0.1116,LogisticRegression
0.2879,0.9204,0.1114,LogisticRegression
0.3203,0.9204,0.1096,LogisticRegression
0.3213,0.9204,0.1084,LogisticRegression
0.3451,0.9204,0.1078,LogisticRegression
0.3537,0.9204,0.106,LogisticRegression
0.3546,0.9204,0.1059,LogisticRegression
0.3594,0.9204,0.1058,LogisticRegression
0.3613,0.9204,0.1046,LogisticRegression
0.3642,0.9204,0.1043,LogisticRegression
0.3889,0.9204,0.1041,LogisticRegression
0.3899,0.9204,0.1035,LogisticRegression
0.4261,0.9204,0.1024,LogisticRegression
0.4414,0.9204,0.1007,LogisticRegression
0.4471,0.9204,0.099,LogisticRegression
0.4576,0.9204,0.0988,LogisticRegression
