StudentId,SHAP_AdmissionYear,SHAP_EnrolledCourseCount,SHAP_QuizAttempts,SHAP_AvgScore,SHAP_MinScore,SHAP_AvgAttemptsPerQuiz,SHAP_AvgTimePerQuizMin,SHAP_AvgAttemptsBeforeSuccess,SHAP_NightActivityRatio,SHAP_DaytimeActivityRatio,SHAP_FailureRatio,SHAP_DifficultyExposure,SHAP_AvgTimePerActivity,SHAP_WorkloadPressure,Dropout
3860,-0.00105,-0.01039,-0.07917,-0.02618,-0.01583,-0.09226,-0.09084,-0.09946,-0.01201,-0.04302,-0.0324,-0.0108,0.01519,-0.00023,0
589,-0.01387,0.00275,-0.03452,-0.01235,-0.00595,-0.04496,-0.03873,-0.04476,-0.00534,-0.02037,-0.01347,-0.00599,-0.16627,-0.09463,0
2482,7e-05,-0.00748,-0.03619,-0.01323,-0.00571,-0.04631,-0.04034,-0.04524,-0.00499,-0.01965,-0.01266,-0.00584,-0.1614,-0.0995,0
4243,0.0012,0.00213,-0.07862,-0.02474,-0.01497,-0.09351,-0.09168,-0.09888,-0.01205,-0.04277,-0.0326,-0.01089,0.00883,-0.00991,0
3840,-0.01567,0.00344,-0.03472,-0.01134,-0.0054,-0.04659,-0.03982,-0.04506,-0.00508,-0.02067,-0.01464,-0.00587,-0.17186,-0.0852,0
1042,-0.00056,-0.01472,-0.03829,-0.01205,-0.0069,-0.04976,-0.04577,-0.04968,-0.00534,-0.02121,-0.01686,-0.00572,-0.10409,-0.12751,0
2079,-0.01345,-0.00263,-0.07589,-0.02467,-0.01566,-0.09205,-0.09054,-0.09673,-0.01192,-0.0417,-0.03172,-0.01016,0.00994,-0.00128,0
1898,0.00107,0.0025,0.07435,0.01732,0.00675,0.07966,0.06271,0.08217,-0.00677,0.03411,0.00909,0.00427,0.07634,0.04297,1
4996,-0.00377,-0.00017,-0.07557,-0.02446,-0.01591,-0.09129,-0.08998,-0.09646,-0.01189,-0.04164,-0.0315,-0.01005,0.00217,-0.00792,0
2557,0.00235,-0.00102,-0.07844,-0.0252,-0.01525,-0.09301,-0.09202,-0.09839,-0.01228,-0.04299,-0.03258,-0.01092,0.00804,-0.00675,0
2162,6e-05,0.00246,0.0255,3e-05,-0.00065,0.03052,0.0236,0.03413,0.00186,0.0083,0.00376,0.00298,-0.39707,-0.22395,0
512,0.0084,-0.03356,-0.04611,-0.01534,-0.01096,-0.0527,-0.06101,-0.0602,-0.00647,-0.02548,-0.01885,-0.00567,-0.09062,-0.07487,0
2569,0.00042,-0.0016,-0.07863,-0.02522,-0.01564,-0.09294,-0.09166,-0.09898,-0.01222,-0.0427,-0.03248,-0.01078,0.00904,-0.00507,0
4449,-0.00056,-0.00852,-0.034,-0.0126,-0.00589,-0.04455,-0.03875,-0.04468,-0.00513,-0.01963,-0.01323,-0.00577,-0.16856,-0.09658,0
