Precision,Recall,Threshold,Model
0.1208,1.0,0.0793,LogisticRegression
0.1214,1.0,0.0883,LogisticRegression
0.122,1.0,0.0919,LogisticRegression
0.1226,1.0,0.0935,LogisticRegression
0.1232,1.0,0.0956,LogisticRegression
0.1238,1.0,0.0973,LogisticRegression
0.1244,1.0,0.0979,LogisticRegression
0.125,1.0,0.0984,LogisticRegression
0.1256,1.0,0.0989,LogisticRegression
0.1263,1.0,0.0997,LogisticRegression
0.1269,1.0,0.1002,LogisticRegression
0.1275,1.0,0.1012,LogisticRegression
0.1283,1.0,0.1017,LogisticRegression
0.1289,1.0,0.1024,LogisticRegression
0.1296,1.0,0.1029,LogisticRegression
0.1303,1.0,0.1033,LogisticRegression
0.131,1.0,0.1036,LogisticRegression
0.1318,1.0,0.1037,LogisticRegression
0.1326,1.0,0.1038,LogisticRegression
0.1333,1.0,0.1044,LogisticRegression
0.1342,1.0,0.1045,LogisticRegression
0.1352,1.0,0.1049,LogisticRegression
0.1359,1.0,0.1052,LogisticRegression
0.1368,1.0,0.1057,LogisticRegression
0.1379,1.0,0.1059,LogisticRegression
0.1388,1.0,0.1066,LogisticRegression
0.1398,1.0,0.1067,LogisticRegression
0.1406,1.0,0.1072,LogisticRegression
0.1414,1.0,0.1076,LogisticRegression
0.1422,1.0,0.1081,LogisticRegression
0.1431,1.0,0.1082,LogisticRegression
0.1439,1.0,0.1088,LogisticRegression
0.1451,1.0,0.1089,LogisticRegression
0.1459,1.0,0.1096,LogisticRegression
0.1467,1.0,0.11,LogisticRegression
0.1476,1.0,0.1103,LogisticRegression
0.1485,1.0,0.111,LogisticRegression
0.1497,1.0,0.1111,LogisticRegression
0.151,1.0,0.1113,LogisticRegression
0.1519,1.0,0.1116,LogisticRegression
0.1528,1.0,0.1119,LogisticRegression
0.1538,1.0,0.112,LogisticRegression
0.1547,1.0,0.1125,LogisticRegression
0.1557,1.0,0.1126,LogisticRegression
0.1568,1.0,0.1128,LogisticRegression
0.1579,1.0,0.1134,LogisticRegression
0.1589,1.0,0.1139,LogisticRegression
0.16,1.0,0.1141,LogisticRegression
0.1612,1.0,0.1142,LogisticRegression
0.1622,1.0,0.1143,LogisticRegression
