FPR,TPR,Threshold,Model
0.0,0.0,inf,LogisticRegression
0.0009,0.0,0.9343,LogisticRegression
0.0255,0.0,0.8863,LogisticRegression
0.0255,0.0066,0.8852,LogisticRegression
0.0573,0.0066,0.843,LogisticRegression
0.0573,0.0132,0.8428,LogisticRegression
0.061,0.0132,0.8386,LogisticRegression
0.061,0.0199,0.8375,LogisticRegression
0.0682,0.0199,0.8328,LogisticRegression
0.0682,0.0265,0.8306,LogisticRegression
0.0946,0.0265,0.8132,LogisticRegression
0.0946,0.0331,0.8132,LogisticRegression
0.0974,0.0331,0.8096,LogisticRegression
0.0974,0.0397,0.8074,LogisticRegression
0.1101,0.0397,0.7983,LogisticRegression
0.1101,0.0464,0.7974,LogisticRegression
0.1219,0.0464,0.7935,LogisticRegression
0.1219,0.053,0.7924,LogisticRegression
0.1283,0.053,0.7892,LogisticRegression
0.1283,0.0596,0.7869,LogisticRegression
0.1338,0.0596,0.7834,LogisticRegression
0.1338,0.0662,0.7831,LogisticRegression
0.1374,0.0662,0.7795,LogisticRegression
0.1374,0.0795,0.7791,LogisticRegression
0.1401,0.0795,0.7774,LogisticRegression
0.1401,0.0861,0.7772,LogisticRegression
0.1447,0.0861,0.7752,LogisticRegression
0.1447,0.0927,0.7745,LogisticRegression
0.1465,0.0927,0.7741,LogisticRegression
0.1465,0.0993,0.7738,LogisticRegression
0.1592,0.0993,0.7669,LogisticRegression
0.1592,0.1126,0.7664,LogisticRegression
0.1629,0.1126,0.7632,LogisticRegression
0.1629,0.1391,0.7622,LogisticRegression
0.1638,0.1391,0.7618,LogisticRegression
0.1638,0.1457,0.7607,LogisticRegression
0.1692,0.1457,0.7571,LogisticRegression
0.1692,0.1589,0.7565,LogisticRegression
0.1702,0.1589,0.7565,LogisticRegression
0.1702,0.1656,0.7562,LogisticRegression
0.1729,0.1656,0.7541,LogisticRegression
0.1729,0.1722,0.7534,LogisticRegression
0.1738,0.1722,0.7528,LogisticRegression
0.1738,0.1788,0.7528,LogisticRegression
0.1811,0.1788,0.7487,LogisticRegression
0.1811,0.1854,0.7483,LogisticRegression
0.1865,0.1854,0.7443,LogisticRegression
0.1865,0.1921,0.743,LogisticRegression
0.1929,0.1921,0.741,LogisticRegression
0.1929,0.1987,0.7403,LogisticRegression
0.1975,0.1987,0.7377,LogisticRegression
0.1975,0.2053,0.7377,LogisticRegression
0.2002,0.2053,0.7358,LogisticRegression
