StudentId,SHAP_DepartmentId,SHAP_YearId,SHAP_SquadronId,SHAP_AdmissionYear,SHAP_EnrolledCourseCount,SHAP_AvgTimePerActivity,SHAP_Submissions,SHAP_AvgGrade,SHAP_LateRate,SHAP_AvgSubmitHour,SHAP_CommentsCount,SHAP_LikesGiven,SHAP_SocialIsolationScore,SHAP_WorkloadPressure,AtRisk
3860,-0.00778,-0.01233,-0.01407,-0.01098,-0.04664,-0.21333,-0.00335,-0.00799,-0.00014,-0.00757,-0.00273,-0.00508,-0.00493,-0.1622,0
589,-0.01018,-0.01232,-0.02799,-0.03436,-0.02887,-0.22497,-0.01525,-0.02062,-0.00158,-0.02252,-0.02501,-0.02918,-0.02418,0.00295,0
2482,0.00184,-0.00185,0.04042,0.00182,0.00848,0.05318,0.01566,0.01694,0.00364,0.00058,0.00346,-0.00688,0.00395,0.08964,1
4243,-0.00925,-0.00999,-0.00502,-0.01095,-0.02107,-0.21159,-0.01306,-0.01346,-0.00174,-0.01843,-0.003,-0.00565,-0.01751,-0.15839,0
3840,-0.01056,-0.02375,-0.04462,-0.0544,-0.03444,-0.20663,-0.01178,-0.01495,-0.00031,-0.02229,-0.00689,-0.01356,-0.01419,0.00925,0
1042,0.02284,0.00844,0.00067,0.00263,0.00956,0.17585,-0.00497,-0.01034,0.00711,0.02918,0.00126,0.00659,0.02456,0.08251,1
2079,-0.00697,-0.0111,-0.01335,-0.0234,0.00702,-0.22664,-0.00553,-0.01391,-0.02263,-0.02336,-0.00465,-0.00592,-0.02646,-0.12219,0
1898,-0.00508,-0.00523,-0.01611,-0.00685,-0.0135,-0.21111,-0.0024,-0.00815,2e-05,-0.00911,-0.01008,-0.01336,-0.0117,-0.18644,0
4996,-0.00295,-0.01268,-0.01769,-0.01146,0.00603,-0.29324,-0.0032,-0.00689,-0.00047,-0.00763,-0.00266,-0.00413,-0.00386,-0.13826,0
2557,-0.00646,-0.00838,-0.0072,-0.00806,-0.02103,-0.22573,-0.00214,-0.0073,-0.00025,-0.008,-0.00257,-0.00506,-0.00731,-0.18962,0
2162,-0.02697,-0.04359,-0.07073,-0.03181,-0.02785,-0.09782,-0.00701,-0.02008,-0.00065,-0.02001,-0.01091,-0.02181,-0.03483,-0.03003,0
512,-0.01465,0.00751,-0.00541,-0.0041,-0.02962,0.09099,-0.02458,-0.02653,-0.00278,-0.02821,-0.10346,-0.01724,-0.01718,-0.06885,0
2569,-0.00768,-0.00764,-0.01252,-0.00648,-0.0186,-0.18875,-0.0106,-0.01804,-0.03968,-0.02576,-0.00401,-0.00542,-0.01607,-0.13787,0
4449,-0.01783,-0.01908,-0.01507,-0.01606,-0.01835,-0.19251,-0.01237,-0.0495,-0.05086,-0.02881,-0.00487,-0.01054,-0.0223,0.01405,0
1490,0.00831,-0.03638,-0.02433,-0.02422,-0.02941,-0.04235,-0.03884,-0.03416,-0.00828,-0.04758,-0.02595,-0.03439,-0.0318,-0.02974,0
3083,-0.00678,-0.00681,-0.01716,-0.01462,-0.02116,-0.1987,-0.01001,-0.03347,-0.00344,-0.01454,-0.00267,-0.00672,-0.02082,-0.1422,0
3087,-0.00269,-0.02515,-0.01324,-0.01525,-0.02244,-0.23191,-0.00313,-0.0073,-0.0007,-0.00822,-0.00399,-0.00652,-0.0055,-0.15307,0
2666,-0.00487,-0.00925,-0.01405,-0.01147,-0.02168,-0.23413,-0.00199,-0.00729,-0.00013,-0.00791,-0.00316,-0.00566,-0.00522,-0.17231,0
2726,-0.00215,-0.00821,-0.01196,-0.00955,-0.01491,-0.19285,-0.00906,-0.00795,-0.04737,-0.013,-0.00355,-0.00555,-0.01202,-0.16098,0
