Precision,Recall,Threshold,Model
0.0496,1.0,0.0,LogisticRegression
0.0498,1.0,0.0004,LogisticRegression
0.05,1.0,0.0005,LogisticRegression
0.0502,1.0,0.0005,LogisticRegression
0.0504,1.0,0.0005,LogisticRegression
0.0506,1.0,0.0006,LogisticRegression
0.0508,1.0,0.0006,LogisticRegression
0.051,1.0,0.0006,LogisticRegression
0.0512,1.0,0.0006,LogisticRegression
0.0515,1.0,0.0006,LogisticRegression
0.0517,1.0,0.0007,LogisticRegression
0.0519,1.0,0.0007,LogisticRegression
0.0521,1.0,0.0007,LogisticRegression
0.0523,1.0,0.0007,LogisticRegression
0.0525,1.0,0.0007,LogisticRegression
0.0528,1.0,0.0007,LogisticRegression
0.053,1.0,0.0007,LogisticRegression
0.0532,1.0,0.0007,LogisticRegression
0.0534,1.0,0.0007,LogisticRegression
0.0537,1.0,0.0007,LogisticRegression
0.0539,1.0,0.0007,LogisticRegression
0.0542,1.0,0.0007,LogisticRegression
0.0544,1.0,0.0007,LogisticRegression
0.0547,1.0,0.0008,LogisticRegression
0.0549,1.0,0.0008,LogisticRegression
0.0553,1.0,0.0008,LogisticRegression
0.0555,1.0,0.0008,LogisticRegression
0.0558,1.0,0.0008,LogisticRegression
0.056,1.0,0.0008,LogisticRegression
0.0563,1.0,0.0008,LogisticRegression
0.0565,1.0,0.0008,LogisticRegression
0.0568,1.0,0.0008,LogisticRegression
0.057,1.0,0.0008,LogisticRegression
0.0573,1.0,0.0008,LogisticRegression
0.0576,1.0,0.0008,LogisticRegression
0.0578,1.0,0.0008,LogisticRegression
0.0581,1.0,0.0008,LogisticRegression
0.0584,1.0,0.0008,LogisticRegression
0.0587,1.0,0.0008,LogisticRegression
0.0589,1.0,0.0008,LogisticRegression
0.0592,1.0,0.0008,LogisticRegression
0.0595,1.0,0.0008,LogisticRegression
0.0598,1.0,0.0009,LogisticRegression
0.0601,1.0,0.0009,LogisticRegression
0.0604,1.0,0.0009,LogisticRegression
0.0607,1.0,0.0009,LogisticRegression
0.0613,1.0,0.0009,LogisticRegression
0.0616,1.0,0.0009,LogisticRegression
0.0619,1.0,0.0009,LogisticRegression
0.0622,1.0,0.0009,LogisticRegression
0.0625,1.0,0.0009,LogisticRegression
0.0628,1.0,0.0009,LogisticRegression
0.0631,1.0,0.0009,LogisticRegression
0.0639,1.0,0.0009,LogisticRegression
0.0642,1.0,0.0009,LogisticRegression
0.0646,1.0,0.0009,LogisticRegression
0.0649,1.0,0.0009,LogisticRegression
0.0653,1.0,0.0009,LogisticRegression
0.0656,1.0,0.0009,LogisticRegression
0.066,1.0,0.0009,LogisticRegression
0.0668,1.0,0.0009,LogisticRegression
0.0673,1.0,0.0009,LogisticRegression
0.0678,1.0,0.0009,LogisticRegression
0.0681,1.0,0.0009,LogisticRegression
0.0685,1.0,0.0009,LogisticRegression
0.0689,1.0,0.0009,LogisticRegression
0.0694,1.0,0.0009,LogisticRegression
0.0697,1.0,0.0009,LogisticRegression
0.0711,1.0,0.001,LogisticRegression
0.0715,1.0,0.001,LogisticRegression
0.0719,1.0,0.001,LogisticRegression
0.0723,1.0,0.001,LogisticRegression
0.0728,1.0,0.001,LogisticRegression
0.0732,1.0,0.001,LogisticRegression
0.074,1.0,0.001,LogisticRegression
0.0744,1.0,0.001,LogisticRegression
0.0755,1.0,0.001,LogisticRegression
0.0765,1.0,0.001,LogisticRegression
0.077,1.0,0.001,LogisticRegression
0.0775,1.0,0.001,LogisticRegression
0.078,1.0,0.001,LogisticRegression
0.0785,1.0,0.001,LogisticRegression
0.0797,1.0,0.001,LogisticRegression
0.0804,1.0,0.001,LogisticRegression
0.081,1.0,0.001,LogisticRegression
0.0819,1.0,0.001,LogisticRegression
0.0824,1.0,0.001,LogisticRegression
0.083,1.0,0.001,LogisticRegression
0.0836,1.0,0.001,LogisticRegression
0.0841,1.0,0.001,LogisticRegression
0.0847,1.0,0.001,LogisticRegression
0.0854,1.0,0.001,LogisticRegression
0.0862,1.0,0.001,LogisticRegression
0.0878,1.0,0.001,LogisticRegression
0.0884,1.0,0.001,LogisticRegression
0.0891,1.0,0.0011,LogisticRegression
0.0897,1.0,0.0011,LogisticRegression
0.0908,1.0,0.0011,LogisticRegression
0.0914,1.0,0.0011,LogisticRegression
0.0925,1.0,0.0011,LogisticRegression
0.0941,1.0,0.0011,LogisticRegression
0.0948,1.0,0.0011,LogisticRegression
0.0955,1.0,0.0011,LogisticRegression
0.0963,1.0,0.0011,LogisticRegression
0.097,1.0,0.0011,LogisticRegression
0.0978,1.0,0.0011,LogisticRegression
0.0992,1.0,0.0011,LogisticRegression
0.1,1.0,0.0011,LogisticRegression
0.1011,1.0,0.0011,LogisticRegression
0.1023,1.0,0.0011,LogisticRegression
0.1032,1.0,0.0011,LogisticRegression
0.104,1.0,0.0011,LogisticRegression
0.1049,1.0,0.0011,LogisticRegression
0.1063,1.0,0.0011,LogisticRegression
0.1084,1.0,0.0011,LogisticRegression
0.1093,1.0,0.0011,LogisticRegression
0.1103,1.0,0.0012,LogisticRegression
0.1113,1.0,0.0012,LogisticRegression
0.1123,1.0,0.0012,LogisticRegression
0.1133,1.0,0.0012,LogisticRegression
0.1155,1.0,0.0012,LogisticRegression
0.1179,1.0,0.0012,LogisticRegression
0.119,1.0,0.0012,LogisticRegression
0.1202,1.0,0.0012,LogisticRegression
0.1213,1.0,0.0012,LogisticRegression
0.1228,1.0,0.0012,LogisticRegression
0.1245,1.0,0.0012,LogisticRegression
0.1263,1.0,0.0012,LogisticRegression
0.1276,1.0,0.0012,LogisticRegression
0.1289,1.0,0.0012,LogisticRegression
0.1303,1.0,0.0012,LogisticRegression
0.1322,1.0,0.0013,LogisticRegression
0.1336,1.0,0.0013,LogisticRegression
0.1351,1.0,0.0013,LogisticRegression
0.1366,1.0,0.0013,LogisticRegression
0.1387,1.0,0.0013,LogisticRegression
0.1403,1.0,0.0013,LogisticRegression
0.1419,1.0,0.0013,LogisticRegression
0.1435,1.0,0.0014,LogisticRegression
0.1452,1.0,0.0014,LogisticRegression
0.1469,1.0,0.0014,LogisticRegression
0.1487,1.0,0.0015,LogisticRegression
0.1505,1.0,0.0015,LogisticRegression
0.1523,1.0,0.0015,LogisticRegression
0.1542,1.0,0.0017,LogisticRegression
0.1562,1.0,0.4905,LogisticRegression
0.1556,0.9839,0.5122,LogisticRegression
0.1576,0.9839,0.538,LogisticRegression
0.1597,0.9839,0.5832,LogisticRegression
0.1592,0.9677,0.605,LogisticRegression
0.1586,0.9516,0.6193,LogisticRegression
0.1608,0.9516,0.6241,LogisticRegression
0.163,0.9516,0.6402,LogisticRegression
0.1653,0.9516,0.6441,LogisticRegression
0.1648,0.9355,0.6506,LogisticRegression
0.1671,0.9355,0.6567,LogisticRegression
0.1696,0.9355,0.6628,LogisticRegression
0.1721,0.9355,0.673,LogisticRegression
0.1747,0.9355,0.6779,LogisticRegression
0.1774,0.9355,0.6826,LogisticRegression
0.1739,0.9032,0.6881,LogisticRegression
0.1767,0.9032,0.6924,LogisticRegression
0.1795,0.9032,0.6978,LogisticRegression
0.1824,0.9032,0.7037,LogisticRegression
0.1854,0.9032,0.7088,LogisticRegression
0.1886,0.9032,0.7112,LogisticRegression
0.1884,0.8871,0.7185,LogisticRegression
0.1916,0.8871,0.7231,LogisticRegression
0.195,0.8871,0.7247,LogisticRegression
0.1949,0.871,0.7274,LogisticRegression
0.1949,0.8548,0.73,LogisticRegression
0.1948,0.8387,0.7362,LogisticRegression
0.1985,0.8387,0.7399,LogisticRegression
0.1984,0.8226,0.7437,LogisticRegression
0.2024,0.8226,0.7458,LogisticRegression
0.2065,0.8226,0.7477,LogisticRegression
0.2107,0.8226,0.7525,LogisticRegression
0.2068,0.7903,0.754,LogisticRegression
0.1983,0.7419,0.7598,LogisticRegression
0.2026,0.7419,0.7655,LogisticRegression
0.2072,0.7419,0.7723,LogisticRegression
0.2074,0.7258,0.7739,LogisticRegression
0.2028,0.6935,0.7763,LogisticRegression
0.2077,0.6935,0.7783,LogisticRegression
0.2079,0.6774,0.7836,LogisticRegression
0.2132,0.6774,0.7881,LogisticRegression
0.2188,0.6774,0.7925,LogisticRegression
0.2246,0.6774,0.7951,LogisticRegression
0.2308,0.6774,0.7983,LogisticRegression
0.226,0.6452,0.8023,LogisticRegression
0.2267,0.629,0.8042,LogisticRegression
