FPR,TPR,Threshold,Model
0.0,0.0,inf,LogisticRegression
0.0008,0.0,0.9353,LogisticRegression
0.0025,0.0,0.9196,LogisticRegression
0.0025,0.0161,0.9157,LogisticRegression
0.0051,0.0161,0.9093,LogisticRegression
0.0051,0.0323,0.9088,LogisticRegression
0.0101,0.0323,0.8981,LogisticRegression
0.0101,0.0484,0.8958,LogisticRegression
0.0109,0.0484,0.8955,LogisticRegression
0.0109,0.0645,0.8952,LogisticRegression
0.0236,0.0645,0.8849,LogisticRegression
0.0236,0.0806,0.8844,LogisticRegression
0.0269,0.0806,0.8811,LogisticRegression
0.0269,0.129,0.8809,LogisticRegression
0.0311,0.129,0.88,LogisticRegression
0.0311,0.1452,0.8798,LogisticRegression
0.0337,0.1452,0.8769,LogisticRegression
0.0337,0.1613,0.8741,LogisticRegression
0.0345,0.1613,0.8726,LogisticRegression
0.0345,0.1774,0.8722,LogisticRegression
0.037,0.1774,0.8702,LogisticRegression
0.037,0.2097,0.8693,LogisticRegression
0.0421,0.2097,0.8635,LogisticRegression
0.0421,0.2258,0.8626,LogisticRegression
0.0438,0.2258,0.8621,LogisticRegression
0.0438,0.2419,0.8615,LogisticRegression
0.053,0.2419,0.8523,LogisticRegression
0.053,0.2903,0.8519,LogisticRegression
0.0547,0.2903,0.8492,LogisticRegression
0.0547,0.3226,0.8483,LogisticRegression
0.0589,0.3226,0.8451,LogisticRegression
0.0589,0.3387,0.8436,LogisticRegression
0.064,0.3387,0.8416,LogisticRegression
0.064,0.3871,0.8411,LogisticRegression
0.0673,0.3871,0.8393,LogisticRegression
0.0673,0.4194,0.8384,LogisticRegression
0.0715,0.4194,0.8361,LogisticRegression
0.0715,0.4516,0.8357,LogisticRegression
0.0749,0.4516,0.8349,LogisticRegression
0.0749,0.4677,0.8344,LogisticRegression
0.0766,0.4677,0.8315,LogisticRegression
0.0766,0.4839,0.8313,LogisticRegression
0.0791,0.4839,0.8296,LogisticRegression
0.0791,0.5,0.829,LogisticRegression
0.0833,0.5,0.8257,LogisticRegression
0.0833,0.5161,0.8254,LogisticRegression
0.0875,0.5161,0.8219,LogisticRegression
0.0875,0.5484,0.8197,LogisticRegression
0.0926,0.5484,0.8159,LogisticRegression
0.0926,0.5645,0.8156,LogisticRegression
0.0943,0.5645,0.8136,LogisticRegression
0.0943,0.5806,0.8135,LogisticRegression
0.1019,0.5806,0.8106,LogisticRegression
0.1019,0.5968,0.8102,LogisticRegression
0.1061,0.5968,0.8089,LogisticRegression
0.1061,0.6129,0.8085,LogisticRegression
0.112,0.6129,0.8053,LogisticRegression
0.112,0.6452,0.8041,LogisticRegression
0.1153,0.6452,0.8023,LogisticRegression
0.1153,0.6613,0.8016,LogisticRegression
0.1178,0.6613,0.7995,LogisticRegression
0.1178,0.6774,0.7983,LogisticRegression
0.1347,0.6774,0.7836,LogisticRegression
0.1347,0.6935,0.7826,LogisticRegression
0.1423,0.6935,0.7763,LogisticRegression
0.1423,0.7097,0.776,LogisticRegression
0.1448,0.7097,0.7748,LogisticRegression
0.1448,0.7419,0.7735,LogisticRegression
0.1566,0.7419,0.7598,LogisticRegression
0.1566,0.7581,0.7593,LogisticRegression
0.1574,0.7581,0.759,LogisticRegression
0.1574,0.7903,0.7541,LogisticRegression
0.1591,0.7903,0.7538,LogisticRegression
0.1591,0.8065,0.7537,LogisticRegression
0.1608,0.8065,0.7526,LogisticRegression
0.1608,0.8226,0.7525,LogisticRegression
0.1768,0.8226,0.7409,LogisticRegression
0.1768,0.8387,0.7399,LogisticRegression
0.1827,0.8387,0.7333,LogisticRegression
0.1827,0.8548,0.7324,LogisticRegression
0.1869,0.8548,0.7284,LogisticRegression
0.1869,0.871,0.7278,LogisticRegression
0.1902,0.871,0.7259,LogisticRegression
0.1902,0.8871,0.7255,LogisticRegression
0.2003,0.8871,0.7155,LogisticRegression
0.2003,0.9032,0.7128,LogisticRegression
0.2247,0.9032,0.6874,LogisticRegression
0.2247,0.9194,0.6843,LogisticRegression
0.2264,0.9194,0.6832,LogisticRegression
0.2264,0.9355,0.6826,LogisticRegression
0.2508,0.9355,0.6459,LogisticRegression
0.2508,0.9516,0.6441,LogisticRegression
0.2652,0.9516,0.6091,LogisticRegression
0.2652,0.9677,0.6085,LogisticRegression
0.2694,0.9677,0.5966,LogisticRegression
0.2694,0.9839,0.5897,LogisticRegression
0.282,0.9839,0.4984,LogisticRegression
0.282,1.0,0.4905,LogisticRegression
0.3274,1.0,0.0013,LogisticRegression
0.33,1.0,0.0013,LogisticRegression
0.3434,1.0,0.0013,LogisticRegression
0.3451,1.0,0.0012,LogisticRegression
0.3468,1.0,0.0012,LogisticRegression
0.3485,1.0,0.0012,LogisticRegression
0.3636,1.0,0.0012,LogisticRegression
0.3704,1.0,0.0012,LogisticRegression
0.3763,1.0,0.0012,LogisticRegression
0.3779,1.0,0.0012,LogisticRegression
0.3914,1.0,0.0012,LogisticRegression
0.3948,1.0,0.0012,LogisticRegression
0.3973,1.0,0.0012,LogisticRegression
0.3981,1.0,0.0012,LogisticRegression
0.3998,1.0,0.0012,LogisticRegression
0.4049,1.0,0.0012,LogisticRegression
0.431,1.0,0.0011,LogisticRegression
0.4335,1.0,0.0011,LogisticRegression
0.4343,1.0,0.0011,LogisticRegression
0.4386,1.0,0.0011,LogisticRegression
0.4394,1.0,0.0011,LogisticRegression
0.4419,1.0,0.0011,LogisticRegression
0.4436,1.0,0.0011,LogisticRegression
0.4613,1.0,0.0011,LogisticRegression
0.4638,1.0,0.0011,LogisticRegression
0.4672,1.0,0.0011,LogisticRegression
0.4756,1.0,0.0011,LogisticRegression
0.4806,1.0,0.0011,LogisticRegression
0.5042,1.0,0.0011,LogisticRegression
0.5084,1.0,0.0011,LogisticRegression
0.5109,1.0,0.0011,LogisticRegression
0.5118,1.0,0.0011,LogisticRegression
0.5168,1.0,0.0011,LogisticRegression
