StudentId,AnomalyType,AnomalyScore,QuizAttempts,AvgScore,PassRate,FailureRatio,CompletionRate,LearningVelocity,AbandonRate,LateRate,StudyConsistency,SocialIsolationScore
917,Behavioral Outlier,-0.6886,6.0,75.95,0.6667,0.3333,0.75,0.0061,0.0,0.5,2.8284271247461903,0.125
4596,Behavioral Outlier,-0.6818,6.0,89.0,0.3333,0.6667,0.4615,0.0057,0.4615,1.0,2.8284271247461903,1.0
2181,High Score / Low Completion,-0.6788,1.0,96.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2531,Behavioral Outlier,-0.6786,2.0,0.0,0.0,1.0,0.5,0.0233169999999996,0.0,1.0,0.0,1.0
4215,Behavioral Outlier,-0.6736,2.0,92.0,1.0,0.0,0.6667,0.0171,0.0,0.0,0.0,1.0
3834,Behavioral Outlier,-0.6681,3.0,78.75,0.6667,0.3333,0.5,0.0044,0.5,0.5,0.0,1.0
2601,Behavioral Outlier,-0.6662,6.0,84.25,0.6667,0.3333,0.3333,0.0013,0.6667,0.0,2.8284271247461903,0.0
3421,Behavioral Outlier,-0.6658,4.0,80.1,0.75,0.25,0.6923,0.0067,0.1538,1.0,0.0,1.0
2667,High Score / Low Completion,-0.6638,5.0,70.48,0.8,0.2,0.0,0.0,0.0,1.0,0.0,1.0
2909,Behavioral Outlier,-0.6615,12.0,40.15,0.1667,0.8333,0.25,0.0013,0.75,0.5,1.7320508075688772,1.0
4127,Behavioral Outlier,-0.6599,14.0,81.3714,0.4286,0.5714,0.65,0.01,0.15,0.6667,0.5773502691896258,1.0
2592,Behavioral Outlier,-0.6597,6.0,54.8,0.3333,0.6667,0.8,0.0123,0.2,0.3333,2.8284271247461903,1.0
4745,Behavioral Outlier,-0.6589,11.0,53.7286,0.3636,0.6364,1.0,0.0233169999999996,0.0,0.0,2.309401076758504,0.0
2686,High Score / Low Completion,-0.6569,6.0,82.85,0.3333,0.6667,0.0,0.0,0.0,1.0,2.8284271247461903,1.0
4265,High Score / Low Completion,-0.6544,6.0,33.4333,0.1667,0.8333,0.1429,0.0015,0.5714,0.5,2.8284271247461903,1.0
2108,Behavioral Outlier,-0.6527,8.0,25.5,0.0,1.0,0.6667,0.0092,0.2222,1.0,1.4142135623730951,1.0
3963,Behavioral Outlier,-0.6526,6.0,77.2,0.5,0.5,0.5714,0.0063,0.3571,0.25,2.8284271247461903,1.0
2843,Behavioral Outlier,-0.6514,6.0,55.8,0.1667,0.8333,0.7778,0.0055,0.2222,1.0,2.8284271247461903,1.0
2807,High Score / Low Completion,-0.6514,12.0,67.125,0.4167,0.5833,0.0,0.0,0.0,1.0,1.7320508075688772,1.0
1510,High Score / Low Completion,-0.6513,16.0,46.2167,0.375,0.625,0.0,0.0,0.0,1.0,2.0,0.5
471,Behavioral Outlier,-0.6513,7.0,72.36,0.5714,0.4286,0.6667,0.0015,0.3333,0.8,2.1213203435596424,0.1111
711,Behavioral Outlier,-0.6501,11.0,59.5143,0.3636,0.6364,1.0,0.0179,0.0,0.0,2.309401076758504,0.1429
2506,Behavioral Outlier,-0.65,2.0,60.5,0.5,0.5,1.0,0.0233169999999996,0.0,0.0,0.0,0.0
3764,Behavioral Outlier,-0.6498,2.0,93.6,0.5,0.5,0.375,0.0054,0.5,0.5,0.0,1.0
2119,Behavioral Outlier,-0.6478,4.0,65.0333,0.75,0.25,0.5,0.0021,0.5,0.25,0.0,1.0
4814,High Score / Low Completion,-0.6477,7.0,48.9,0.5714,0.4286,0.0,0.0,0.0,1.0,2.1213203435596424,1.0
2965,Behavioral Outlier,-0.6464,7.0,53.525,0.4286,0.5714,0.5333,0.0075,0.3333,1.0,2.1213203435596424,1.0
4058,Behavioral Outlier,-0.6453,6.0,48.6667,0.1667,0.8333,0.6667,0.008,0.25,1.0,2.8284271247461903,1.0
4688,Behavioral Outlier,-0.6445,14.0,59.7111,0.4286,0.5714,0.3571,0.0045,0.5714,0.5,0.5773502691896258,1.0
796,Behavioral Outlier,-0.6442,7.0,61.3,0.2857,0.7143,1.0,0.0109,0.0,0.25,2.1213203435596424,0.25
461,High Score / Low Completion,-0.6438,11.0,57.5444,0.5455,0.4545,0.0,0.0,1.0,0.0,2.309401076758504,0.1429
219,Behavioral Outlier,-0.6438,7.0,23.75,0.0,1.0,1.0,0.0043,0.0,0.3333,2.1213203435596424,0.2
1765,Behavioral Outlier,-0.6427,7.0,89.6,0.1429,0.8571,1.0,0.0152,0.0,0.0,2.1213203435596424,0.0769
1151,Behavioral Outlier,-0.6427,2.0,16.6,0.0,1.0,0.8,0.0055,0.2,1.0,0.0,0.5
666,Behavioral Outlier,-0.6419,6.0,54.525,0.3333,0.6667,0.8333,0.006,0.1667,0.6667,2.8284271247461903,0.2
1558,Behavioral Outlier,-0.6418,12.0,55.8667,0.4167,0.5833,0.8333,0.0057,0.1667,1.0,1.7320508075688772,0.2
645,Behavioral Outlier,-0.6417,6.0,71.1,0.3333,0.6667,0.375,0.0047,0.4375,0.75,2.8284271247461903,0.1
2156,Behavioral Outlier,-0.6416,8.0,62.6167,0.5,0.5,0.7143,0.0094,0.1429,0.6667,1.4142135623730951,1.0
4077,Behavioral Outlier,-0.6416,9.0,88.3,0.4444,0.5556,0.75,0.0096,0.25,0.3333,0.7071067811865476,1.0
2491,High Score / Low Completion,-0.6412,14.0,61.2429,0.5,0.5,0.0,0.0,0.6667,0.0,0.5773502691896258,1.0
3852,Behavioral Outlier,-0.6408,7.0,50.5,0.2857,0.7143,1.0,0.0233169999999996,0.0,0.0,2.1213203435596424,0.0
4900,Behavioral Outlier,-0.6403,6.0,88.5,0.3333,0.6667,0.5,0.0066,0.375,0.1667,2.8284271247461903,1.0
3985,Behavioral Outlier,-0.6402,4.0,68.6,0.25,0.75,0.5,0.0233169999999996,0.0,0.2,0.0,1.0
