Feature,Flagged_Avg,Safe_Avg,Gap,GapPct
ActivitiesCompleted,0.118,3.254,-3.136,-96.4
CompletionRate,0.014,0.326,-0.312,-95.7
LearningVelocity,0.0,0.003,-0.003,-95.3
WorkloadPressure,13.29,147.491,-134.201,-91.0
AvgTimePerActivity,4.294,28.973,-24.678,-85.2
RemainingActivities,0.589,2.528,-1.938,-76.7
AbandonRate,0.057,0.165,-0.108,-65.5
LateRate,0.076,0.082,-0.006,-7.3
SocialIsolationScore,0.28,0.299,-0.019,-6.4
Submissions,1.276,1.346,-0.069,-5.1
AvgGrade,7.437,7.822,-0.385,-4.9
AvgSubmitHour,4.317,4.52,-0.203,-4.5
YearId,2.068,2.103,-0.034,-1.6
EnrolledCourseCount,1.979,1.991,-0.012,-0.6
DepartmentId,1.547,1.547,-0.001,-0.0
AdmissionYear,2023.745,2023.689,0.056,0.0
SquadronId,3.214,3.209,0.005,0.2
LikesGiven,2.281,2.118,0.164,7.7
CommentsCount,0.919,0.836,0.083,9.9
QuizAttempts,6.824,1.336,5.488,410.7
StudyConsistency,0.893,0.172,0.721,419.4
FailureRatio,0.662,0.127,0.534,419.4
NightActivityRatio,0.238,0.045,0.193,424.0
ScoreStd,21.487,4.096,17.392,424.6
DifficultyExposure,0.319,0.061,0.258,426.1
AvgTimePerQuizMin,22.329,4.213,18.116,430.0
AvgAttemptsPerQuiz,1.343,0.252,1.091,432.0
WeekendRatio,0.273,0.051,0.221,432.4
DaytimeActivityRatio,0.707,0.131,0.576,439.3
AvgScore,46.535,8.546,37.989,444.5
AvgAttemptsBeforeSuccess,1.323,0.239,1.083,452.4
MinScore,22.484,3.999,18.485,462.2
PassRate,0.284,0.049,0.234,476.7
