StudentId,DepartmentId,YearId,SquadronId,CompletionRate,AvgScore,FailureRatio,LateRate,AbandonRate,LearningVelocity,SocialIsolationScore,StudyConsistency,Dropout_Probability,Dropout_Predicted,Dropout_Actual,Dropout_OptimalPredicted,AtRisk_Probability,AtRisk_Predicted,AtRisk_Actual,AtRisk_OptimalPredicted,HighPerformer_Probability,HighPerformer_Predicted,HighPerformer_Actual,HighPerformer_OptimalPredicted,ClusterLabel,AnomalyType,IsAnomaly,DepartmentName,CombinedRiskScore
3860,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0013
589,1,2,3,0.8333,0.0,0.0,0.0,0.0,0.005,0.1111,0.0,0.0004,0,0,0,0.025,0,0,0,0.001,0,0,0,Passive Learners,,0,Computer Science,0.0127
2482,1,4,1,0.4,0.0,0.0,0.0,0.4,0.0053,1.0,0.0,0.0006,0,0,0,0.73,1,1,1,0.001,0,0,0,Passive Learners,,0,Computer Science,0.3653
4243,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0035,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Computer Science,0.0018
3840,2,1,3,1.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0007,0,0,0,0.05,0,0,0,0.0009,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0254
1042,2,3,3,0.3333,0.0,0.0,0.0,0.3333,0.0053,0.25,0.0,0.0142,0,0,0,0.855,1,1,0,0.0011,0,0,0,Passive Learners,,0,Artificial Intelligence,0.4346
2079,1,1,2,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0029,0,0,1,0.0,0,0,0,0.0012,0,0,0,At-Risk Students,,0,Computer Science,0.0014
1898,1,2,2,0.0,56.0,0.5,0.0,0.0,0.0,0.1,0.0,0.9954,1,1,0,0.0,0,0,0,0.9091,1,0,0,Inconsistent Learners,,0,Computer Science,0.4977
4996,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0,0,1,0.0,0,0,0,0.0012,0,0,0,At-Risk Students,,0,Computer Science,0.0016
2557,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0,0,0,0.0,0,0,0,0.001,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0017
2162,3,2,2,0.7273,38.775,0.7273,0.0,0.2727,0.0094,0.0,2.3094,0.0001,0,0,0,0.055,0,0,0,0.7705,1,0,0,High Achievers,,0,Cyber Security,0.0276
512,1,2,1,0.6,0.0,0.0,0.0,0.4,0.0031,0.0909,0.0,0.0186,0,0,0,0.255,0,0,0,0.001,0,0,0,Passive Learners,,0,Computer Science,0.1368
2569,1,2,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0031,0,0,0,0.0,0,0,0,0.0004,0,0,0,At-Risk Students,,0,Computer Science,0.0016
4449,1,1,5,0.7273,0.0,0.0,0.6,0.0909,0.0079,1.0,0.0,0.0005,0,0,0,0.055,0,0,0,0.0008,0,0,0,Passive Learners,,0,Computer Science,0.0278
1490,2,1,5,0.5455,0.0,0.0,0.0,0.0909,0.0106,0.125,0.0,0.0006,0,0,0,0.1,0,0,0,0.0012,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0503
3083,1,3,4,0.0,49.4,1.0,0.0,0.0,0.0,1.0,0.0,0.996,1,1,0,0.0,0,0,0,0.8405,1,0,0,Inconsistent Learners,,0,Computer Science,0.498
3087,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0,0,0,0.0,0,0,0,0.0012,0,0,1,At-Risk Students,,0,Computer Science,0.0013
2666,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0,0,1,0.0,0,0,0,0.0011,0,0,0,At-Risk Students,,0,Computer Science,0.0014
2726,2,1,4,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0015,0,0,0,0.0,0,0,0,0.0007,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0008
1813,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0026,0,0,0,0.005,0,0,0,0.0007,0,0,1,At-Risk Students,,0,Cyber Security,0.0038
2467,1,3,5,0.6667,44.6,1.0,0.0,0.0,0.0116,0.0,0.0,0.0023,0,0,0,0.085,0,0,1,0.889,1,0,0,High Achievers,,0,Computer Science,0.0436
683,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0028,0,0,1,0.0,0,0,1,0.0012,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0014
3621,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0,0,1,0.0,0,0,0,0.0008,0,0,1,At-Risk Students,,0,Computer Science,0.0061
2327,1,1,4,0.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0028,0,0,0,0.0,0,0,1,0.0008,0,0,0,At-Risk Students,,0,Computer Science,0.0014
1276,2,1,5,0.0,18.15,1.0,0.0,0.0,0.0,0.1667,0.0,0.9987,1,1,0,0.0,0,0,0,0.8098,1,0,0,Inconsistent Learners,,0,Artificial Intelligence,0.4994
1749,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0027,0,0,0,0.0,0,0,0,0.0012,0,0,1,At-Risk Students,,0,Computer Science,0.0014
3289,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0,0,1,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Computer Science,0.0013
4619,3,3,5,0.0,73.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.9985,1,1,0,0.0,0,0,0,0.872,1,0,1,Inconsistent Learners,,0,Cyber Security,0.4992
1509,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0028,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Computer Science,0.0014
2529,2,1,1,0.7,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0011,0,0,0,0.65,1,0,0,0.0013,0,0,0,Passive Learners,,0,Artificial Intelligence,0.3256
4906,1,4,3,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0016,0,0,0,0.0,0,0,0,0.0008,0,0,0,At-Risk Students,,0,Computer Science,0.0008
1948,1,2,5,0.6111,69.675,0.625,0.0,0.2778,0.0082,0.1429,1.4142,0.0004,0,0,0,0.055,0,0,0,0.7038,1,1,1,High Achievers,,0,Computer Science,0.0277
4425,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0,0,0,0.0,0,0,0,0.0011,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0018
3282,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0,0,1,0.0,0,0,0,0.0011,0,0,1,At-Risk Students,,0,Computer Science,0.0013
1966,1,1,5,0.6111,0.0,0.0,0.0,0.2778,0.0091,0.2,0.0,0.0006,0,0,0,0.06,0,0,0,0.0009,0,0,0,Passive Learners,,0,Computer Science,0.0303
3985,1,2,1,0.5,68.6,0.75,0.2,0.0,0.0233,1.0,0.0,0.1425,0,0,0,0.04,0,0,0,0.8894,1,0,0,High Achievers,Behavioral Outlier,1,Computer Science,0.0912
4366,3,4,4,0.625,0.0,0.0,0.5,0.1875,0.0086,1.0,0.0,0.0006,0,0,1,0.14,0,0,0,0.0012,0,0,0,Passive Learners,,0,Cyber Security,0.0703
4380,1,2,5,0.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0015,0,0,0,0.0,0,0,0,0.0008,0,0,0,At-Risk Students,,0,Computer Science,0.0008
4108,1,2,1,0.6,0.0,0.0,0.2,0.2,0.0052,1.0,0.0,0.0131,0,0,0,0.47,0,0,0,0.0009,0,0,0,Passive Learners,,0,Computer Science,0.2416
3339,2,1,5,0.8,0.0,0.0,0.25,0.2,0.0036,1.0,0.0,0.0293,0,0,0,0.055,0,0,1,0.0008,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0422
3742,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0,0,0,0.0,0,0,0,0.001,0,0,0,At-Risk Students,,0,Computer Science,0.0014
1516,2,3,4,0.7,69.75,0.5714,0.0,0.1,0.007,0.1,2.1213,0.0002,0,0,0,0.045,0,0,1,0.8445,1,1,0,High Achievers,,0,Artificial Intelligence,0.0226
4961,2,1,4,0.5,0.0,0.0,0.0,0.5,0.0032,0.0,0.0,0.0009,0,0,0,0.17,0,0,1,0.0011,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0855
3865,1,1,4,0.5,0.0,0.0,0.0,0.25,0.007,0.0,0.0,0.0005,0,0,0,0.045,0,0,0,0.0009,0,0,0,Passive Learners,,0,Computer Science,0.0228
4038,2,1,3,0.0,36.5286,0.8462,0.0,0.0,0.0,0.0,1.1547,0.9987,1,1,1,0.0,0,0,0,0.7031,1,0,0,Inconsistent Learners,,0,Artificial Intelligence,0.4994
3786,1,3,4,0.8333,0.0,0.0,0.0,0.1667,0.0037,0.0,0.0,0.0034,0,0,0,0.02,0,0,0,0.001,0,0,0,Passive Learners,,0,Computer Science,0.0117
