StudentId,DepartmentName,ClusterLabel,CombinedRiskScore,Dropout_Probability,AtRisk_Probability,CompletionRate,AvgScore,FailureRatio,LateRate,IsAnomaly,AnomalyType
4199,Artificial Intelligence,High Achievers,0.6576,0.8302,0.485,0.2222,51.6167,0.6364,0.0,0,
2704,Cyber Security,Passive Learners,0.6278,0.7407,0.515,0.2222,0.0,1.0,0.0,0,
1265,Artificial Intelligence,High Achievers,0.6,0.7801,0.42,0.1667,48.0,1.0,0.0,0,
3931,Artificial Intelligence,Passive Learners,0.5992,0.6833,0.515,0.2,0.0,0.0,0.0,0,
3229,Artificial Intelligence,Passive Learners,0.597,0.5289,0.665,0.2857,0.0,0.0,0.0,0,
3727,Cyber Security,High Achievers,0.5696,0.8641,0.275,0.2,62.6,0.5,0.2,1,Behavioral Outlier
1789,Computer Science,High Achievers,0.5382,0.8414,0.235,0.2,34.925,1.0,0.0,0,
1596,Computer Science,Inconsistent Learners,0.5208,0.8366,0.205,0.0,36.05,1.0,0.0,0,
3846,Artificial Intelligence,Passive Learners,0.5172,0.3144,0.72,0.4,0.0,0.0,0.0,0,
3658,Artificial Intelligence,High Achievers,0.5148,0.6795,0.35,0.2,27.475,1.0,0.0,0,
3518,Artificial Intelligence,Inconsistent Learners,0.5142,0.9984,0.03,0.0,54.41,0.5714,0.0,0,
4835,Computer Science,High Achievers,0.5136,0.8922,0.135,0.5714,24.9,1.0,0.1667,0,
4506,Artificial Intelligence,Inconsistent Learners,0.5098,0.9995,0.02,0.0,26.2429,0.8667,0.1667,0,
840,Cyber Security,Inconsistent Learners,0.5095,0.9941,0.025,0.0,43.9375,0.7273,0.0,0,
518,Computer Science,Inconsistent Learners,0.5072,0.9993,0.015,0.0,41.5667,0.7143,0.5,0,
1343,Artificial Intelligence,Inconsistent Learners,0.5067,0.9984,0.015,0.0,53.73,0.5714,0.0,0,
3877,Cyber Security,Inconsistent Learners,0.5061,0.9972,0.015,0.0,58.0833,0.625,0.3333,0,
4333,Computer Science,Inconsistent Learners,0.506,0.9971,0.015,0.0,46.9333,0.75,0.0,0,
1094,Computer Science,Inconsistent Learners,0.5051,0.9952,0.015,0.0,50.3333,0.7,0.2,0,
2931,Computer Science,Inconsistent Learners,0.505,0.9249,0.085,0.0,41.3286,0.75,0.0,0,
4101,Computer Science,Inconsistent Learners,0.5049,0.9998,0.01,0.0,54.875,0.5833,0.0,0,
1900,Computer Science,Inconsistent Learners,0.5048,0.9995,0.01,0.0,36.925,0.8462,0.0,0,
2944,Computer Science,Inconsistent Learners,0.5048,0.9995,0.01,0.0,84.84,0.375,0.0,1,High Score / Low Completion
2620,Computer Science,Inconsistent Learners,0.5046,0.9993,0.01,0.0,61.6,0.5833,0.2,0,
780,Computer Science,Inconsistent Learners,0.5045,0.9941,0.015,0.0,32.8,1.0,1.0,0,
830,Computer Science,Inconsistent Learners,0.5045,0.9991,0.01,0.0,67.5,0.2,0.0,0,
966,Computer Science,Inconsistent Learners,0.5045,0.8989,0.11,0.0,78.0,0.6667,0.0,0,
4145,Cyber Security,Inconsistent Learners,0.5042,0.9985,0.01,0.0,81.54,0.4444,0.1667,1,High Score / Low Completion
2973,Computer Science,Inconsistent Learners,0.5038,0.9926,0.015,0.0,53.4,0.625,0.3333,0,
4872,Computer Science,Inconsistent Learners,0.5035,0.9971,0.01,0.0,71.1333,0.2857,0.5,1,High Score / Low Completion
2044,Computer Science,Inconsistent Learners,0.5034,0.9968,0.01,0.0,68.1333,0.5,0.0,0,
3519,Computer Science,Inconsistent Learners,0.5031,0.9962,0.01,0.0,50.1333,0.8889,0.0,0,
3364,Cyber Security,Inconsistent Learners,0.503,0.9959,0.01,0.0,68.3,0.7,0.0,0,
1201,Computer Science,Inconsistent Learners,0.5025,0.995,0.01,0.0,20.8,1.0,0.1667,0,
1690,Artificial Intelligence,Inconsistent Learners,0.5023,0.9996,0.005,0.0,52.8857,0.75,0.2,0,
3227,Cyber Security,Inconsistent Learners,0.5022,0.9994,0.005,0.0,34.9,0.5,0.2,0,
1510,Computer Science,Inconsistent Learners,0.5022,0.9993,0.005,0.0,46.2167,0.625,1.0,1,High Score / Low Completion
858,Computer Science,Inconsistent Learners,0.5022,0.9994,0.005,0.0,50.0,0.5,0.0,0,
3771,Computer Science,Inconsistent Learners,0.5022,0.9994,0.005,0.0,49.0,0.8571,0.0,0,
877,Computer Science,Inconsistent Learners,0.5022,0.9995,0.005,0.0,57.9429,0.6923,0.0,0,
407,Artificial Intelligence,Inconsistent Learners,0.5021,0.9992,0.005,0.0,71.2,0.625,0.0,0,
1974,Artificial Intelligence,Inconsistent Learners,0.5021,0.9942,0.01,0.0,28.375,0.9,0.0,0,
927,Computer Science,Inconsistent Learners,0.502,0.9989,0.005,0.0,61.0,0.8571,0.0,0,
756,Computer Science,Inconsistent Learners,0.502,0.999,0.005,0.0,33.075,1.0,0.0,0,
2942,Computer Science,Inconsistent Learners,0.502,0.9989,0.005,0.0,46.3571,0.75,1.0,1,High Score / Low Completion
1874,Artificial Intelligence,Inconsistent Learners,0.502,0.999,0.005,0.0,81.1167,0.4545,0.0,0,
303,Artificial Intelligence,Inconsistent Learners,0.502,0.999,0.005,0.0,47.95,0.6667,0.0,0,
45,Artificial Intelligence,Inconsistent Learners,0.5017,0.9984,0.005,0.0,32.1,1.0,0.0,0,
2994,Computer Science,Inconsistent Learners,0.5016,0.9983,0.005,0.0,64.54,0.4286,0.1667,0,
59,Computer Science,Inconsistent Learners,0.5016,0.9982,0.005,0.0,45.6167,0.7692,0.0,0,
1581,Computer Science,Inconsistent Learners,0.5015,0.9981,0.005,0.0,48.7333,0.8333,0.3333,0,
2226,Artificial Intelligence,Inconsistent Learners,0.5015,0.9981,0.005,0.0,56.2556,0.5833,0.0,0,
4172,Artificial Intelligence,Inconsistent Learners,0.5014,0.9978,0.005,0.0,64.2,0.75,0.0,0,
2922,Computer Science,Inconsistent Learners,0.5014,0.9978,0.005,0.0,33.9,1.0,0.5,0,
625,Computer Science,Inconsistent Learners,0.5012,0.9974,0.005,0.0,31.08,0.8571,0.0,0,
4977,Computer Science,At-Risk Students,0.5012,0.9974,0.005,0.0,0.0,1.0,0.3333,0,
4692,Computer Science,Inconsistent Learners,0.5012,0.9973,0.005,0.0,36.65,0.8333,0.0,0,
2943,Computer Science,Inconsistent Learners,0.5011,0.9972,0.005,0.0,56.9,0.3333,0.0,1,High Score / Low Completion
3739,Computer Science,Inconsistent Learners,0.501,0.9971,0.005,0.0,85.95,0.2,0.0,1,High Score / Low Completion
2940,Computer Science,Inconsistent Learners,0.5009,0.9968,0.005,0.0,67.8,0.5455,0.0,0,
1231,Cyber Security,Inconsistent Learners,0.5008,0.9965,0.005,0.0,86.05,0.3333,0.0,0,
3899,Cyber Security,Inconsistent Learners,0.5008,0.9966,0.005,0.0,31.75,0.9,0.3333,0,
1470,Artificial Intelligence,Inconsistent Learners,0.5006,0.9962,0.005,0.0,40.9,0.7,0.5,0,
1559,Computer Science,Inconsistent Learners,0.5006,0.9963,0.005,0.0,57.22,0.6667,0.0,0,
2746,Artificial Intelligence,Passive Learners,0.5005,0.226,0.775,0.4167,0.0,0.0,0.0,0,
1896,Computer Science,Inconsistent Learners,0.5004,0.9957,0.005,0.0,70.82,0.7273,0.0,0,
1055,Cyber Security,Inconsistent Learners,0.5004,0.9957,0.005,0.0,57.3625,0.5,0.3333,0,
2880,Artificial Intelligence,High Achievers,0.5004,0.1107,0.89,0.3333,38.8111,0.7143,0.0,1,Behavioral Outlier
1746,Computer Science,Inconsistent Learners,0.5002,0.9953,0.005,0.0,34.8,0.7143,0.0,0,
4572,Computer Science,Inconsistent Learners,0.5002,0.9954,0.005,0.0,54.4,0.625,0.4,0,
948,Artificial Intelligence,Inconsistent Learners,0.5,0.9999,0.0,0.0,38.6,0.9333,0.0,0,
834,Computer Science,Inconsistent Learners,0.5,0.9949,0.005,0.0,40.375,0.75,0.25,0,
