Id,StudentProfileId,CourseId,EnrolledById,EnrollmentDate,EnrollmentDate_Year,EnrollmentDate_Month,EnrollmentDate_Weekday,DaysSinceEnrollment,CreditHours,DepartmentId,IsArchived,TotalCreditLoad,DepartmentName
9561,2163,141,2,2025-01-11 01:29:07,2025,1,5,427,4,3,True,7,Cyber Security
1867,4722,178,2,2024-11-28 03:23:11,2024,11,3,471,2,3,False,9,Cyber Security
1925,2543,56,2,2023-08-28 03:21:27,2023,8,0,929,4,1,False,11,Computer Science
4156,3264,181,3,2024-01-23 12:19:10,2024,1,1,781,3,2,False,12,Artificial Intelligence
8057,184,187,2,2023-09-27 04:52:45,2023,9,2,899,2,3,False,4,Cyber Security
1091,4793,180,3,2025-12-30 22:49:27,2025,12,1,74,2,2,True,8,Artificial Intelligence
853,1122,169,3,2022-09-19 00:39:25,2022,9,0,1272,3,1,True,9,Computer Science
726,32,121,3,2025-06-21 02:19:57,2025,6,5,266,4,1,False,4,Computer Science
8234,3544,140,-1,2022-11-12 16:24:50,2022,11,5,1218,3,3,True,15,Cyber Security
8123,4796,154,2,2025-02-04 06:37:05,2025,2,1,403,4,3,False,5,Cyber Security
9691,1116,107,3,2025-08-15 11:16:32,2025,8,4,211,2,2,False,6,Artificial Intelligence
2290,2714,137,2,2026-01-14 02:12:17,2026,1,2,59,4,1,False,11,Computer Science
9116,2147,37,1,2023-07-24 05:03:32,2023,7,0,964,6,3,True,10,Cyber Security
3798,694,89,-1,2023-08-20 06:39:08,2023,8,6,937,4,1,False,10,Computer Science
2942,3910,43,1,2025-09-12 02:42:40,2025,9,4,183,2,3,False,8,Cyber Security
9163,3997,24,-1,2025-07-30 08:32:01,2025,7,2,227,3,2,True,4,Artificial Intelligence
1431,747,79,2,2025-02-22 08:28:34,2025,2,5,385,3,1,False,8,Computer Science
3138,3700,188,2,2024-06-28 10:39:26,2024,6,4,624,3,2,False,9,Artificial Intelligence
7973,2150,136,3,2026-03-12 23:43:00,2026,3,3,1,1,2,True,12,Artificial Intelligence
411,2292,145,1,2023-05-09 18:17:38,2023,5,1,1040,1,2,True,39,Artificial Intelligence
1371,3405,62,2,2025-12-30 02:09:46,2025,12,1,74,4,1,False,11,Computer Science
2777,3237,26,2,2022-07-28 00:55:05,2022,7,3,1325,6,1,False,10,Computer Science
2734,4728,94,2,2022-09-02 22:01:42,2022,9,4,1289,2,2,False,14,Artificial Intelligence
3800,4318,48,2,2023-05-06 23:34:29,2023,5,5,1042,4,3,True,13,Cyber Security
3888,1355,26,2,2022-06-08 12:57:14,2022,6,2,1375,6,1,False,12,Computer Science
921,2284,62,2,2026-01-30 06:31:01,2026,1,4,43,4,1,False,11,Computer Science
6790,2365,53,1,2025-12-24 15:21:35,2025,12,2,80,1,2,False,4,Artificial Intelligence
619,2685,101,2,2025-08-28 00:52:05,2025,8,3,198,3,3,False,15,Cyber Security
10006,3436,62,3,2025-05-15 13:15:52,2025,5,3,303,4,1,False,57,Computer Science
251,3064,16,1,2025-06-20 08:02:33,2025,6,4,267,3,2,True,44,Artificial Intelligence
8052,4108,56,3,2024-02-14 05:13:57,2024,2,2,759,4,1,False,6,Computer Science
4171,2519,119,3,2024-11-13 21:22:08,2024,11,2,486,3,1,True,49,Computer Science
6560,4420,164,2,2025-07-25 13:47:43,2025,7,4,232,4,2,False,4,Artificial Intelligence
982,4529,1,3,2024-11-12 04:33:14,2024,11,1,487,4,1,False,14,Computer Science
7317,1176,108,3,2025-08-02 05:40:38,2025,8,5,224,2,1,True,13,Computer Science
9221,4666,84,3,2024-03-08 23:53:34,2024,3,4,735,1,2,True,9,Artificial Intelligence
7228,771,18,2,2024-12-25 09:01:04,2024,12,2,444,3,3,True,7,Cyber Security
7472,2212,73,1,2024-03-23 11:58:37,2024,3,5,721,4,2,False,9,Artificial Intelligence
1866,55,109,1,2025-10-05 13:05:35,2025,10,6,160,4,1,False,9,Computer Science
8899,2823,78,1,2023-06-22 04:30:42,2023,6,3,996,2,2,False,3,Artificial Intelligence
5660,1301,160,3,2025-10-20 21:49:47,2025,10,0,145,4,1,False,6,Computer Science
8448,2522,126,1,2025-09-10 23:05:48,2025,9,2,185,3,2,True,3,Artificial Intelligence
8805,3952,157,3,2023-01-29 17:58:40,2023,1,6,1140,2,3,True,13,Cyber Security
4070,705,56,3,2023-08-05 19:49:39,2023,8,5,952,4,1,False,4,Computer Science
6779,1522,62,2,2025-07-05 01:13:14,2025,7,5,252,4,1,False,8,Computer Science
4659,3864,118,2,2023-09-17 04:25:45,2023,9,6,909,2,1,False,6,Computer Science
5588,3194,7,2,2023-11-12 20:23:05,2023,11,6,853,2,3,False,2,Cyber Security
1367,4700,31,-1,2023-12-16 05:55:28,2023,12,5,819,4,3,True,12,Cyber Security
8613,793,110,1,2025-02-08 03:42:47,2025,2,5,399,2,2,True,8,Artificial Intelligence
8355,1144,3,1,2024-02-23 07:57:50,2024,2,4,750,2,3,True,8,Cyber Security
4062,3760,126,1,2025-06-04 22:44:44,2025,6,2,283,3,2,True,9,Artificial Intelligence
6262,3527,124,2,2023-10-20 16:09:00,2023,10,4,876,3,2,False,3,Artificial Intelligence
8627,3821,18,2,2024-10-04 11:09:42,2024,10,4,526,3,3,True,5,Cyber Security
5929,2573,86,3,2025-07-29 14:44:56,2025,7,1,228,3,3,False,7,Cyber Security
9740,3025,24,1,2025-09-01 13:16:46,2025,9,0,194,3,2,True,7,Artificial Intelligence
